"environment.time","calcium.Ca_i","calcium.Ca_sr","membrane.V","ryr.J_serca","ryr.J_SRleak"
 0.00000000000000000e+00, 1.19913045388880427e-04, 3.51512900433487596e-01,-7.92198586777051617e+01, 2.04517157970199483e-04, 2.34830781241004271e-06
 1.28999681936704830e-01, 1.19907610559026598e-04, 3.51519587469146744e-01,-7.92198908261650558e+01, 2.04495242278287181e-04, 2.34835253504867276e-06
 7.37196563175226749e-01, 1.19882360527563494e-04, 3.51551730893035541e-01,-7.92200421650162099e+01, 2.04393378493582213e-04, 2.34856750430546646e-06
 5.85300823896853295e+00, 1.19673194502563189e-04, 3.51820488965829181e-01,-7.92212986878184324e+01, 2.03550197863605425e-04, 2.35036490038915290e-06
 1.09688199147618395e+01, 1.19466302120256937e-04, 3.52087659891125226e-01,-7.92225388706040405e+01, 2.02717463484020739e-04, 2.35215167533519279e-06
 2.00000000000000000e+01, 1.19108449116146113e-04, 3.52553984021208966e-01,-7.92246752372528533e+01, 2.01280076802231401e-04, 2.35527031877366871e-06
 2.00008924850595946e+01, 1.19108413464812218e-04, 3.52554017317405044e-01,-7.91443564704900950e+01, 2.01279934495841368e-04, 2.35527053792292698e-06
 2.00017849701191892e+01, 1.19108377820468635e-04, 3.52554053098438958e-01,-7.90640423394486334e+01, 2.01279792086214498e-04, 2.35527077045835386e-06
 2.00037843192307854e+01, 1.19108298006421174e-04, 3.52554139375650943e-01,-7.88841375449116100e+01, 2.01279472881592942e-04, 2.35527132295950375e-06
 2.00057836683423815e+01, 1.19108218256162111e-04, 3.52554231660611894e-01,-7.87042528348589912e+01, 2.01279153612323852e-04, 2.35527190483217204e-06
 2.00088073971309761e+01, 1.19108097823254365e-04, 3.52554378574727101e-01,-7.84322439708299584e+01, 2.01278671078354907e-04, 2.35527281639029139e-06
 2.00118311259195707e+01, 1.19107977645598154e-04, 3.52554530883445516e-01,-7.81602837786190605e+01, 2.01278189267107486e-04, 2.35527374711343876e-06
 2.00148548547081653e+01, 1.19107857764589415e-04, 3.52554685765520515e-01,-7.78883712480278092e+01, 2.01277708490328313e-04, 2.35527468253201799e-06
 2.00204204494893396e+01, 1.19107637978398852e-04, 3.52554973115965009e-01,-7.73879981715148091e+01, 2.01276826871274781e-04, 2.35527639774743962e-06
 2.00259860442705140e+01, 1.19107419401676809e-04, 3.52555261165257150e-01,-7.68877739082781773e+01, 2.01275949985166216e-04, 2.35527809905130774e-06
