"environment.time","calcium.Ca_i","calcium.Ca_sr","membrane.V","ryr.J_serca","ryr.J_SRleak"
 0.00000000000000000e+00, 1.34413069330262562e-04, 5.14450766519017000e-01,-7.58483542492601117e+01, 2.53437665626122166e-04, 2.74987582835186480e-06
 2.78152962950315892e-02, 1.34411563034702409e-04, 5.14453340069376930e-01,-7.58483744906546207e+01, 2.53430806839064979e-04, 2.74988959644070328e-06
 5.56305925900631784e-02, 1.34410047225098922e-04, 5.14455657013853207e-01,-7.58483947267733072e+01, 2.53423930322485569e-04, 2.74990199266251630e-06
 1.28697039460888785e-01, 1.34406015272125172e-04, 5.14461654662645262e-01,-7.58484478684524817e+01, 2.53405654997137370e-04, 2.74993408232441605e-06
 3.19425685663469294e-01, 1.34395309494313278e-04, 5.14477294672920804e-01,-7.58485865037018527e+01, 2.53357158446599056e-04, 2.75001776247904222e-06
 1.08661305704885436e+00, 1.34351653549055181e-04, 5.14540136046954033e-01,-7.58491428602230684e+01, 2.53159517612289544e-04, 2.75035398841442010e-06
 6.54055955991563032e+00, 1.34043754728597494e-04, 5.14983455732465734e-01,-7.58530364637015282e+01, 2.51766971289965505e-04, 2.75272591779041750e-06
 1.19945060627824063e+01, 1.33739624459620015e-04, 5.15423477656184237e-01,-7.58568698126095029e+01, 2.50393676166236676e-04, 2.75508019614199559e-06
 1.74484525656491840e+01, 1.33439278523443276e-04, 5.15860245393871431e-01,-7.58606438065060047e+01, 2.49039618152052818e-04, 2.75741705591465052e-06
 2.00000000000000000e+01, 1.33301560524305034e-04, 5.16062156774726111e-01,-7.58623657191672010e+01, 2.48419372219810849e-04, 2.75849734645205031e-06
 2.00008750219247418e+01, 1.33301512373480452e-04, 5.16062214231028937e-01,-7.57836163289389191e+01, 2.48419156683473970e-04, 2.75849765143775212e-06
 2.00017500438494835e+01, 1.33301464228877212e-04, 5.16062273995181675e-01,-7.57048689035227227e+01, 2.48418940957274750e-04, 2.75849796652953574e-06
