"environment.time","Ca_Concentrations.Ca_i","membrane.V","SR_Ca_Concentrations.Ca_sr","SR_Fluxes.J_serca","SR_Fluxes.J_SRleak"
 0.00000000000000000e+00, 1.47240493473714914e-04,-7.41408615570075682e+01, 6.08963027723008588e-01,-3.51795976378158353e-04, 3.25521038702797693e-06
 2.71337051678641854e-02, 1.47240519148483025e-04,-7.41408602108680128e+01, 6.08963416878419705e-01,-3.51796596414763907e-04, 3.25521246790462546e-06
 6.88530454960327304e-02, 1.47240558127571022e-04,-7.41408581507305087e+01, 6.08963983634578154e-01,-3.51797492569495981e-04, 3.25521549854316144e-06
 1.61217273195076505e-01, 1.47240642525324158e-04,-7.41408535904455022e+01, 6.08965232050745708e-01,-3.51799472882018452e-04, 3.25522217433539577e-06
 4.47176210823135856e-01, 1.47240896910708253e-04,-7.41408394298325675e+01, 6.08969094709140513e-01,-3.51805629191579545e-04, 3.25524282957616877e-06
 1.94032017053140504e+00, 1.47242223179140273e-04,-7.41407643244021841e+01, 6.08989218957509459e-01,-3.51837699442687551e-04, 3.25535044208631457e-06
 1.19994103396052694e+01, 1.47252084949654386e-04,-7.41402103460844870e+01, 6.09122883927564529e-01,-3.52046174616979740e-04, 3.25606519100520892e-06
 2.00000000000000000e+01, 1.47260481272881434e-04,-7.41397422631593059e+01, 6.09228087573466248e-01,-3.52207531930444351e-04, 3.25662774083224176e-06
 2.00009079321735150e+01, 1.47260482229513072e-04,-7.40943466483861926e+01, 6.09228099097538389e-01,-3.52207549446906156e-04, 3.25662780057891899e-06
 2.00018158643470301e+01, 1.47260483190949867e-04,-7.40489520718592189e+01, 6.09228110700103520e-01,-3.52207567090062190e-04, 3.25662785904487477e-06
 2.00039191203370130e+01, 1.47260485446092663e-04,-7.39437976467672797e+01, 6.09228137783590862e-01,-3.52207608226876630e-04, 3.25662799032847977e-06
 2.00060223763269960e+01, 1.47260487750570994e-04,-7.38386480497542834e+01, 6.09228165068071648e-01,-3.52207649528233876e-04, 3.25662811662815858e-06
 2.00081256323169789e+01, 1.47260490122064376e-04,-7.37335036071939243e+01, 6.09228192498647680e-01,-3.52207690814684751e-04, 3.25662823823128364e-06
 2.00123318017938985e+01, 1.47260495132194030e-04,-7.35232474073159210e+01, 6.09228247566321324e-01,-3.52207772622157222e-04, 3.25662847051970513e-06
 2.00165379712708180e+01, 1.47260500540405723e-04,-7.33130115190172376e+01, 6.09228302796540944e-01,-3.52207853016283257e-04, 3.25662869128025893e-06
 2.00250356486019285e+01, 1.47260512851770081e-04,-7.28883337867423791e+01, 6.09228414503819704e-01,-3.52208009692352620e-04, 3.25662911566809102e-06
 2.00335333259330390e+01, 1.47260527128624085e-04,-7.24637320060516714e+01, 6.09228526230285117e-01,-3.52208157918701675e-04, 3.25662952225029784e-06
 2.00420310032641495e+01, 1.47260543433451718e-04,-7.20392012637257579e+01, 6.09228637930112948e-01,-3.52208297339486000e-04, 3.25662991944680362e-06
 2.00505286805952601e+01, 1.47260561764059339e-04,-7.16147361688106230e+01, 6.09228749620058019e-01,-3.52208427995647183e-04, 3.25663031045090690e-06
 2.00590263579263706e+01, 1.47260582089685178e-04,-7.11903308888360158e+01, 6.09228861313893644e-01,-3.52208550045865639e-04, 3.25663069558695015e-06
 2.00675240352574811e+01, 1.47260604376326135e-04,-7.07659790741809616e+01, 6.09228973011917918e-01,-3.52208663637503471e-04, 3.25663107444479663e-06
 2.00825086241859800e+01, 1.47260648341358867e-04,-7.00177881630153252e+01, 6.09229169977580587e-01,-3.52208843800458230e-04, 3.25663172625419753e-06
 2.01068352021162937e+01, 1.47260732108665056e-04,-6.88032928550733942e+01, 6.09229489739836261e-01,-3.52209082780704954e-04, 3.25663273861847873e-06
 2.01311617800466074e+01, 1.47260830897217806e-04,-6.75887623501430994e+01, 6.09229809504749031e-01,-3.52209256913401498e-04, 3.25663369102379337e-06
 2.01554883579769211e+01, 1.47260944360527761e-04,-6.63738106253824043e+01, 6.09230129275021293e-01,-3.52209367699482599e-04, 3.25663457804895231e-06
 2.01798149359072347e+01, 1.47261072243631553e-04,-6.51578609225299914e+01, 6.09230449053415835e-01,-3.52209416244835178e-04, 3.25663539271839780e-06
 2.02041415138375484e+01, 1.47261214401421948e-04,-6.39400640850134181e+01, 6.09230768842550452e-01,-3.52209403180772868e-04, 3.25663612647572277e-06
 2.02284680917678621e+01, 1.47261370809370553e-04,-6.27191897963913263e+01, 6.09231088644972885e-01,-3.52209328617882772e-04, 3.25663676895209918e-06
 2.02527946696981758e+01, 1.47261541574860002e-04,-6.14934882723935274e+01, 6.09231408463203783e-01,-3.52209192097178308e-04, 3.25663730758870251e-06
 2.02771212476284894e+01, 1.47261726952830707e-04,-6.02605196363355375e+01, 6.09231728299762576e-01,-3.52208992522593531e-04, 3.25663772712848858e-06
 2.03014478255588031e+01, 1.47261927367942406e-04,-5.90169481820372752e+01, 6.09232048157193118e-01,-3.52208728065347228e-04, 3.25663800894987894e-06
 2.03257744034891168e+01, 1.47262143445226780e-04,-5.77582982509705687e+01, 6.09232368038094108e-01,-3.52208396031657731e-04, 3.25663813018406271e-06
 2.03501009814194305e+01, 1.47262376051580446e-04,-5.64786669645743373e+01, 6.09232687945157947e-01,-3.52207992683667686e-04, 3.25663806252562172e-06
 2.03744275593497441e+01, 1.47262626351242330e-04,-5.51703860546395504e+01, 6.09233007881216149e-01,-3.52207513000004887e-04, 3.25663777060027137e-06
 2.03987541372800578e+01, 1.47262895879699961e-04,-5.38236199675539737e+01, 6.09233327849297068e-01,-3.52206950356796279e-04, 3.25663720968118904e-06
 2.04230807152103715e+01, 1.47263186642533612e-04,-5.24258794984717511e+01, 6.09233647852697957e-01,-3.52206296101039340e-04, 3.25663632242810201e-06
 2.04474072931406852e+01, 1.47263501249004640e-04,-5.09614181352939468e+01, 6.09233967895078665e-01,-3.52205538974002927e-04, 3.25663503412874785e-06
 2.04717338710709988e+01, 1.47263843095554378e-04,-4.94104598349623885e+01, 6.09234287980580880e-01,-3.52204664319181484e-04, 3.25663324559023128e-06
 2.04960604490013125e+01, 1.47264216623282170e-04,-4.77481787935186617e+01, 6.09234608113986997e-01,-3.52203652970912951e-04, 3.25663082224380750e-06
 2.05203870269316262e+01, 1.47264627688635177e-04,-4.59433114221380805e+01, 6.09234928300934619e-01,-3.52202479654295855e-04, 3.25662757696733487e-06
 2.05447136048619399e+01, 1.47265084112933246e-04,-4.39562398620923531e+01, 6.09235248548210651e-01,-3.52201110613115846e-04, 3.25662324215361039e-06
 2.05690401827922535e+01, 1.47265596522580593e-04,-4.17364406734727709e+01, 6.09235568864167631e-01,-3.52199499982920985e-04, 3.25661742280809333e-06
 2.05933667607225672e+01, 1.47266179672230824e-04,-3.92193456281036390e+01, 6.09235889259331587e-01,-3.52197584079237886e-04, 3.25660951540804137e-06
 2.06067384726844232e+01, 1.47266534924531329e-04,-3.76870928750989975e+01, 6.09236065409428873e-01,-3.52196381164212972e-04, 3.25660414582141399e-06
 2.06201101846462791e+01, 1.47266920983530144e-04,-3.60232300903004159e+01, 6.09236241589550254e-01,-3.52195045296063095e-04, 3.25659757213219173e-06
 2.06334818966081350e+01, 1.47267343466919644e-04,-3.42060250574061797e+01, 6.09236417802895058e-01,-3.52193552225862417e-04, 3.25658964811624173e-06
 2.06468536085699910e+01, 1.47267809193539457e-04,-3.22105534096817223e+01, 6.09236594053175651e-01,-3.52191872519479752e-04, 3.25658001762237791e-06
 2.06602253205318469e+01, 1.47268325659545622e-04,-3.00084260977087069e+01, 6.09236770344668277e-01,-3.52189973819230589e-04, 3.25656872580613759e-06
 2.06735970324937028e+01, 1.47268904788875888e-04,-2.75697000072212894e+01, 6.09236946682812697e-01,-3.52187804652214116e-04, 3.25655368032478037e-06
 2.06869687444555588e+01, 1.47269562098553225e-04,-2.48709132959147041e+01, 6.09237123074247044e-01,-3.52185298033901896e-04, 3.25653448036711954e-06
 2.06935013331861803e+01, 1.47269913961513976e-04,-2.34602741655902562e+01, 6.09237209268872926e-01,-3.52183940761376893e-04, 3.25652487086435634e-06
 2.07000339219168019e+01, 1.47270288862321315e-04,-2.19898935460704372e+01, 6.09237295478726848e-01,-3.52182484048571282e-04, 3.25651392705898260e-06
 2.07065665106474235e+01, 1.47270689249757032e-04,-2.04629924349025067e+01, 6.09237381704974212e-01,-3.52180917324514424e-04, 3.25650137391602704e-06
 2.07130990993780451e+01, 1.47271118003212541e-04,-1.88853425946250688e+01, 6.09237467948846478e-01,-3.52179228159083901e-04, 3.25648711491395715e-06
 2.07196316881086666e+01, 1.47271578323831918e-04,-1.72647195589176938e+01, 6.09237554211677801e-01,-3.52177402733044084e-04, 3.25647105299515200e-06
