"environment.time","Ca_Concentrations.Ca_i","membrane.V","SR_Ca_Concentrations.Ca_sr","SR_Fluxes.J_serca","SR_Fluxes.J_SRleak"
 0.00000000000000000e+00, 2.10967511278229960e-04,-7.33375460792214824e+01, 5.18038854042462527e-01, 1.18124737937099321e-04, 2.76876931311764190e-06
 7.11371403616800346e-02, 2.10965602241534363e-04,-7.33376059825934874e+01, 5.18040207579680945e-01, 1.18112552799881835e-04, 2.76877656103885008e-06
 2.25310001158296996e-01, 2.10961522442167776e-04,-7.33377357258137437e+01, 5.18043316826036437e-01, 1.18086129208009100e-04, 2.76879320855373847e-06
 8.02212644669648145e-01, 2.10946511393575350e-04,-7.33382201236667584e+01, 5.18054942561904652e-01, 1.17988580225446732e-04, 2.76885545467849865e-06
 4.87590687089009123e+00, 2.10842628776233051e-04,-7.33415867469163771e+01, 5.18135803461413191e-01, 1.17312832707369656e-04, 2.76928839725863182e-06
 1.48247084315679327e+01, 2.10597616855890318e-04,-7.33494998406609255e+01, 5.18326188526256337e-01, 1.15719973803889246e-04, 2.77030775343130371e-06
 2.00000000000000000e+01, 2.10474491021492825e-04,-7.33534613739602861e+01, 5.18421669639459681e-01, 1.14920037075170669e-04, 2.77081897861184475e-06
 2.00009338141006197e+01, 2.10474468366708852e-04,-7.33067724618962444e+01, 5.18421686080301036e-01, 1.14919891893790283e-04, 2.77081906404098191e-06
 2.00018676282012393e+01, 2.10474445726305384e-04,-7.32600846023296270e+01, 5.18421702736308276e-01, 1.14919746405674236e-04, 2.77081914826036756e-06
 2.00040743035274069e+01, 2.10474392311288969e-04,-7.31497614101314184e+01, 5.18421742674169739e-01, 1.14919402024090019e-04, 2.77081934281330142e-06
 2.00062809788535745e+01, 2.10474339046720188e-04,-7.30394432646243104e+01, 5.18421783168923511e-01, 1.14919057428946786e-04, 2.77081953167079845e-06
 2.00084876541797421e+01, 2.10474285984480581e-04,-7.29291304782933736e+01, 5.18421824060588454e-01, 1.14918713169019824e-04, 2.77081971485589709e-06
 2.00129806422009970e+01, 2.10474178764773456e-04,-7.27045402993108638e+01, 5.18421907883212407e-01, 1.14918015430147164e-04, 2.77082007350668291e-06
 2.00174736302222520e+01, 2.10474072757351133e-04,-7.24799716068244777e+01, 5.18421992132054088e-01, 1.14917323151021890e-04, 2.77082041664862920e-06
 2.00266149764024028e+01, 2.10473861271135278e-04,-7.20231310417354536e+01, 5.18422163839423078e-01, 1.14915935627212337e-04, 2.77082108505207807e-06
 2.00357563225825537e+01, 2.10473655671432759e-04,-7.15663687909806896e+01, 5.18422335566917081e-01, 1.14914578238034336e-04, 2.77082172911729644e-06
 2.00448976687627045e+01, 2.10473456071384870e-04,-7.11096773370873194e+01, 5.18422507217336515e-01, 1.14913251735195083e-04, 2.77082236072290410e-06
 2.00540390149428553e+01, 2.10473262421216595e-04,-7.06530482826234305e+01, 5.18422678843161289e-01, 1.14911955770761361e-04, 2.77082298421931309e-06
 2.00631803611230062e+01, 2.10473074612335084e-04,-7.01964722854935133e+01, 5.18422850477543773e-01, 1.14910689729518436e-04, 2.77082359981866027e-06
 2.00723217073031570e+01, 2.10472892538642536e-04,-6.97399388757629026e+01, 5.18423022117781573e-01, 1.14909453072438000e-04, 2.77082420678147994e-06
 2.00885046787844139e+01, 2.10472583918256670e-04,-6.89317882535870439e+01, 5.18423325960786663e-01, 1.14907334079481191e-04, 2.77082525864414287e-06
 2.01127826625143769e+01, 2.10472152966678942e-04,-6.77193297279097948e+01, 5.18423781762251901e-01, 1.14904319426010473e-04, 2.77082678056167682e-06
 2.01370606462443398e+01, 2.10471759528386797e-04,-6.65064786220990669e+01, 5.18424237530760945e-01, 1.14901497096521609e-04, 2.77082823119428843e-06
 2.01613386299743027e+01, 2.10471402535164460e-04,-6.52926716258869249e+01, 5.18424693268280667e-01, 1.14898861612286641e-04, 2.77082960413321968e-06
 2.01856166137042656e+01, 2.10471081080901946e-04,-6.40770722939050899e+01, 5.18425148976569994e-01, 1.14896408325825509e-04, 2.77083089111400020e-06
 2.02098945974342286e+01, 2.10470794464501438e-04,-6.28584643861481354e+01, 5.18425604657163142e-01, 1.14894133640834145e-04, 2.77083208194837792e-06
 2.02341725811641915e+01, 2.10470542215757464e-04,-6.16351138189726342e+01, 5.18426060311503512e-01, 1.14892035144584573e-04, 2.77083316419837324e-06
