"environment.time","Ca_Concentrations.Ca_i","membrane.V","SR_Ca_Concentrations.Ca_sr","SR_Fluxes.J_serca","SR_Fluxes.J_SRleak"
 0.00000000000000000e+00, 1.70387309907594114e-04,-7.38916867061810763e+01, 5.77432307302106707e-01,-1.88891042710939824e-04, 3.08651559074526239e-06
 6.24905690457862387e-02, 1.70387014325117136e-04,-7.38916942726622352e+01, 5.77432966937954317e-01,-1.88893641838680331e-04, 3.08651912064482111e-06
 1.94719811122762848e-01, 1.70386426966862410e-04,-7.38917102686362881e+01, 5.77434664485521720e-01,-1.88899521111800326e-04, 3.08652820263633142e-06
 6.69651405366169072e-01, 1.70384475337576307e-04,-7.38917674517470715e+01, 5.77440783650368217e-01,-1.88919940589807442e-04, 3.08656094003769465e-06
 3.77790819138969391e+00, 1.70372418275187450e-04,-7.38921298397853121e+01, 5.77480449232504411e-01,-1.89049530091667148e-04, 3.08677314767716338e-06
 1.39891475843618682e+01, 1.70335936670947349e-04,-7.38931975542042778e+01, 5.77606844441567624e-01,-1.89453415670423094e-04, 3.08744933532459298e-06
 2.00000000000000000e+01, 1.70316134395505142e-04,-7.38937579222326519e+01, 5.77679069061536654e-01,-1.89679328267886748e-04, 3.08783571344428038e-06
 2.00009156068723364e+01, 1.70316131275516255e-04,-7.38479787207733125e+01, 5.77679079789321315e-01,-1.89679362657939945e-04, 3.08783576870049503e-06
 2.00018312137446728e+01, 1.70316128163339479e-04,-7.38022005620709081e+01, 5.77679090596185052e-01,-1.89679397157620157e-04, 3.08783582244377372e-06
 2.00039656129569394e+01, 1.70316120954138849e-04,-7.36954894195466750e+01, 5.77679115997393744e-01,-1.89679477753671040e-04, 3.08783594279373598e-06
 2.00061000121692061e+01, 1.70316113825207046e-04,-7.35887831755873094e+01, 5.77679141601883606e-01,-1.89679558350477748e-04, 3.08783605726455267e-06
 2.00082344113814727e+01, 1.70316106804754060e-04,-7.34820821540398867e+01, 5.77679167353260747e-01,-1.89679638712115422e-04, 3.08783616623404411e-06
