"environment.time","Ca_Concentrations.Ca_i","membrane.V","SR_Ca_Concentrations.Ca_sr","SR_Fluxes.J_serca","SR_Fluxes.J_SRleak"
 0.00000000000000000e+00, 2.11000368721161086e-04,-7.33364287682220208e+01, 5.18141894353908228e-01, 1.18111157464387756e-04, 2.76932009542685722e-06
 2.30047876434291115e-01, 2.10994324956853058e-04,-7.33366222507187899e+01, 5.18146487505983244e-01, 1.18072033994792974e-04, 2.76934468844550143e-06
 1.22900916466679044e+00, 2.10968461768785173e-04,-7.33374591607533972e+01, 5.18166572137629955e-01, 1.17903857055577494e-04, 2.76945222484795688e-06
 9.15106974867124556e+00, 2.10769446826864436e-04,-7.33438964911523357e+01, 5.18321262893572499e-01, 1.16609678863679295e-04, 2.77028046613206435e-06
 1.70731303326756993e+01, 2.10575872068580661e-04,-7.33501399780386407e+01, 5.18471499594574947e-01, 1.15351579725613530e-04, 2.77108486199165754e-06
 2.00000000000000000e+01, 2.10506989158013643e-04,-7.33523528013981405e+01, 5.18524826403447103e-01, 1.14904199476562163e-04, 2.77137038521628212e-06
 2.00009338533540664e+01, 2.10506966500686836e-04,-7.33056619263619069e+01, 5.18524842815433207e-01, 1.14904054323777623e-04, 2.77137047048987312e-06
 2.00018677067081327e+01, 2.10506943857745305e-04,-7.32589721038277872e+01, 5.18524859445630537e-01, 1.14903908858867256e-04, 2.77137055456888296e-06
 2.00040745358197931e+01, 2.10506890435296142e-04,-7.31486412220429258e+01, 5.18524899331797684e-01, 1.14903564508261283e-04, 2.77137074883558575e-06
 2.00062813649314535e+01, 2.10506837163379858e-04,-7.30383153871720765e+01, 5.18524939782753269e-01, 1.14903219930529145e-04, 2.77137093744467343e-06
 2.00084881940431139e+01, 2.10506784093912797e-04,-7.29279949116647970e+01, 5.18524980636240085e-01, 1.14902875678690169e-04, 2.77137112040755721e-06
 2.00129816167585588e+01, 2.10506676857106747e-04,-7.27033830003555721e+01, 5.18525064391360924e-01, 1.14902177926138753e-04, 2.77137147864982455e-06
 2.00174750394740038e+01, 2.10506570833396699e-04,-7.24787925767478924e+01, 5.18525148578735662e-01, 1.14901485627117692e-04, 2.77137182140668043e-06
 2.00266172227528365e+01, 2.10506359317918498e-04,-7.20219101641330326e+01, 5.18525320164355263e-01, 1.14900098078064660e-04, 2.77137248903172763e-06
 2.00357594060316693e+01, 2.10506153692782656e-04,-7.15651060638193428e+01, 5.18525491770428171e-01, 1.14898740684462193e-04, 2.77137313231086130e-06
 2.00449015893105020e+01, 2.10505954071157518e-04,-7.11083727539997881e+01, 5.18525663298411987e-01, 1.14897414200579605e-04, 2.77137376312109825e-06
 2.00540437725893348e+01, 2.10505760403196997e-04,-7.06517018322077490e+01, 5.18525834801534802e-01, 1.14896118276773228e-04, 2.77137438581806272e-06
 2.00631859558681676e+01, 2.10505572580212266e-04,-7.01950839504222870e+01, 5.18526006313411392e-01, 1.14894852296481114e-04, 2.77137500061588125e-06
 2.00723281391470003e+01, 2.10505390496019707e-04,-6.97385086316981528e+01, 5.18526177831295954e-01, 1.14893615720280099e-04, 2.77137560677434574e-06
 2.00885132442215912e+01, 2.10505081853507497e-04,-6.89302511776225657e+01, 5.18526481469914202e-01, 1.14891496834907005e-04, 2.77137665724520987e-06
 2.01127914440704494e+01, 2.10504650941790083e-04,-6.77177810823012436e+01, 5.18526936908743297e-01, 1.14888482826002204e-04, 2.77137817686404378e-06
 2.01370696439193075e+01, 2.10504257560214451e-04,-6.65049178004362318e+01, 5.18527392314611424e-01, 1.14885661238811639e-04, 2.77137962517969671e-06
 2.01613478437681657e+01, 2.10503900639920106e-04,-6.52910977174741163e+01, 5.18527847689491561e-01, 1.14883026590969855e-04, 2.77138099578165009e-06
 2.01856260436170238e+01, 2.10503579274238861e-04,-6.40754839461101824e+01, 5.18528303035145965e-01, 1.14880574231855640e-04, 2.77138228040310376e-06
 2.02099042434658820e+01, 2.10503292761623714e-04,-6.28568596257478376e+01, 5.18528758353110186e-01, 1.14878300562649198e-04, 2.77138346885282074e-06
 2.02341824433147401e+01, 2.10503040631545505e-04,-6.16334898254886170e+01, 5.18529213644827958e-01, 1.14876203168820217e-04, 2.77138454868899578e-06
 2.02584606431635983e+01, 2.10502822671677713e-04,-6.04029500200245337e+01, 5.18529668911691721e-01, 1.14874280959390137e-04, 2.77138550470549690e-06
 2.02827388430124564e+01, 2.10502638964225902e-04,-5.91619183648393872e+01, 5.18530124155051286e-01, 1.14872534353119635e-04, 2.77138631823998304e-06
 2.03070170428613146e+01, 2.10502489935903857e-04,-5.79059282880006378e+01, 5.18530579376223377e-01, 1.14870965534643560e-04, 2.77138696625845071e-06
 2.03312952427101727e+01, 2.10502376425506649e-04,-5.66290763481848813e+01, 5.18531034576503846e-01, 1.14869578800793820e-04, 2.77138742012837796e-06
 2.03555734425590309e+01, 2.10502299773701601e-04,-5.53236772442462907e+01, 5.18531489757184105e-01, 1.14868381020796984e-04, 2.77138764394431470e-06
 2.03798516424078890e+01, 2.10502261941188654e-04,-5.39798526757714185e+01, 5.18531944919570886e-01, 1.14867382241872387e-04, 2.77138759219712674e-06
 2.04041298422567472e+01, 2.10502265663954348e-04,-5.25850326071491168e+01, 5.18532400065010113e-01, 1.14866596484954699e-04, 2.77138720646047190e-06
 2.04284080421056053e+01, 2.10502314658504654e-04,-5.11233349879578540e+01, 5.18532855194917985e-01, 1.14866042796569736e-04, 2.77138641057235529e-06
 2.04526862419544635e+01, 2.10502413896715727e-04,-4.95747707068143697e+01, 5.18533310310817730e-01, 1.14865746657539540e-04, 2.77138510345472722e-06
 2.04769644418033216e+01, 2.10502569981088720e-04,-4.79141906846996335e+01, 5.18533765414389336e-01, 1.14865741906294556e-04, 2.77138314812361780e-06
 2.05012426416521798e+01, 2.10502791669968999e-04,-4.61098477745875215e+01, 5.18534220507531285e-01, 1.14866073430829323e-04, 2.77138035436747417e-06
 2.05255208415010379e+01, 2.10503090634406488e-04,-4.41213957593956536e+01, 5.18534675592442817e-01, 1.14866801047927420e-04, 2.77137645055713737e-06
 2.05497990413498961e+01, 2.10503482582677446e-04,-4.18971776250772692e+01, 5.18535130671733846e-01, 1.14868005266846203e-04, 2.77137103620939694e-06
 2.05740772411987543e+01, 2.10503988976145756e-04,-3.93709633883668388e+01, 5.18535585748574057e-01, 1.14869796083936742e-04, 2.77136349966692886e-06
