"environment.time","Ca_Concentrations.Ca_i","membrane.V","SR_Ca_Concentrations.Ca_sr","SR_Fluxes.J_serca","SR_Fluxes.J_SRleak"
 0.00000000000000000e+00, 2.22792838420551008e-04,-7.31414613155622817e+01, 5.09037072020964709e-01, 1.95223563353273872e-04, 2.72059234163022714e-06
 1.85853946318160795e-01, 2.22789360201358796e-04,-7.31415879755160319e+01, 5.09038842237717670e-01, 1.95202277553565125e-04, 2.72060182724254641e-06
 7.97495954075724378e-01, 2.22777893781248650e-04,-7.31420037154945959e+01, 5.09044614575285492e-01, 1.95132217786126198e-04, 2.72063275862778469e-06
 5.16299100690231949e+00, 2.22697272410356045e-04,-7.31449165978058318e+01, 5.09084681455461041e-01, 1.94640557867980320e-04, 2.72084746475604178e-06
 1.51300349784141481e+01, 2.22519892510720076e-04,-7.31512965327546567e+01, 5.09170509601427845e-01, 1.93563069206990809e-04, 2.72130741918995732e-06
 2.00000000000000000e+01, 2.22436946816920530e-04,-7.31542638950604527e+01, 5.09209316171438942e-01, 1.93061624616558874e-04, 2.72151540037149475e-06
 2.00009409904233664e+01, 2.22436930330534679e-04,-7.31072160329549092e+01, 5.09209323835410288e-01, 1.93061525040202328e-04, 2.72151543866734846e-06
 2.00018819808467327e+01, 2.22436913860614064e-04,-7.30601692261392799e+01, 5.09209331537193499e-01, 1.93061425483614691e-04, 2.72151547464860968e-06
 2.00041166483104256e+01, 2.22436874847285661e-04,-7.29484461917079159e+01, 5.09209349929649724e-01, 1.93061189397008724e-04, 2.72151555251740139e-06
 2.00063513157741184e+01, 2.22436836007897684e-04,-7.28367282523275321e+01, 5.09209368420111663e-01, 1.93060954047527908e-04, 2.72151562159723481e-06
 2.00085859832378112e+01, 2.22436797402237349e-04,-7.27250157138516045e+01, 5.09209386980000067e-01, 1.93060719797659463e-04, 2.72151568269433455e-06
 2.00131585021338800e+01, 2.22436719361906586e-04,-7.24964491135782367e+01, 5.09209425054565457e-01, 1.93060245292883334e-04, 2.72151578958158056e-06
 2.00177310210299488e+01, 2.22436642731821415e-04,-7.22679042425199043e+01, 5.09209463202395796e-01, 1.93059778028573759e-04, 2.72151587775864168e-06
 2.00270186663153886e+01, 2.22436491935463620e-04,-7.18037493282270418e+01, 5.09209540735084842e-01, 1.93058854206042319e-04, 2.72151602380192241e-06
 2.00363063116008284e+01, 2.22436347933679815e-04,-7.13396722516003621e+01, 5.09209618266666664e-01, 1.93057965888647471e-04, 2.72151614403438215e-06
 2.00455939568862682e+01, 2.22436210842640936e-04,-7.08756646551333205e+01, 5.09209695781492111e-01, 1.93057113710809626e-04, 2.72151625153977925e-06
 2.00548816021717080e+01, 2.22436080594637988e-04,-7.04117171637402208e+01, 5.09209773289134304e-01, 1.93056297301935962e-04, 2.72151635057963050e-06
 2.00641692474571478e+01, 2.22435957058140143e-04,-6.99478192819490943e+01, 5.09209850795330654e-01, 1.93055515964675635e-04, 2.72151644112947824e-06
 2.00734568927425876e+01, 2.22435840106534246e-04,-6.94839591724497438e+01, 5.09209928299608205e-01, 1.93054769038259328e-04, 2.72151652238038229e-06
 2.00900508711362598e+01, 2.22435647107772932e-04,-6.86552270493733374e+01, 5.09210066765392821e-01, 1.93053517911760404e-04, 2.72151664292783664e-06
 2.01066448495299319e+01, 2.22435474212219183e-04,-6.78264659189022296e+01, 5.09210205220304357e-01, 1.93052371847782852e-04, 2.72151673144521315e-06
 2.01232388279236041e+01, 2.22435320959095178e-04,-6.69975566923303347e+01, 5.09210343665028264e-01, 1.93051328437390476e-04, 2.72151678644158943e-06
 2.01506262776282270e+01, 2.22435109817383696e-04,-6.56286960998253761e+01, 5.09210572140239681e-01, 1.93049824764115281e-04, 2.72151679877725719e-06
 2.01780137273328499e+01, 2.22434949382059951e-04,-6.42579663806593260e+01, 5.09210800592799107e-01, 1.93048586081426065e-04, 2.72151670379054118e-06
 2.02054011770374728e+01, 2.22434838250364634e-04,-6.28837864984010437e+01, 5.09211029025683937e-01, 1.93047605054231744e-04, 2.72151648841257090e-06
 2.02327886267420958e+01, 2.22434775399196462e-04,-6.15037450871474647e+01, 5.09211257441798737e-01, 1.93046876331417935e-04, 2.72151613497185256e-06
 2.02601760764467187e+01, 2.22434760303440084e-04,-6.01143166325966760e+01, 5.09211485843900302e-01, 1.93046397164257666e-04, 2.72151562102326707e-06
 2.02875635261513416e+01, 2.22434792994806137e-04,-5.87104983255944859e+01, 5.09211714234620860e-01, 1.93046167713819416e-04, 2.72151491875027491e-06
 2.03430591392994771e+01, 2.22435010193949059e-04,-5.57882818179610993e+01, 5.09212177001897914e-01, 1.93046491592165380e-04, 2.72151275208329023e-06
