"environment.time","Ca_Concentrations.Ca_i","membrane.V","SR_Ca_Concentrations.Ca_sr","SR_Fluxes.J_serca","SR_Fluxes.J_SRleak"
 0.00000000000000000e+00, 2.10970322649532357e-04,-7.33375651731688833e+01, 5.18143212081320192e-01, 1.17954696315491963e-04, 2.76932729802540382e-06
 3.74350793391604764e-01, 2.10960685034903395e-04,-7.33378777782859714e+01, 5.18150748025807073e-01, 1.17891937345991746e-04, 2.76936764649166860e-06
 2.16802021402645417e+00, 2.10914706556059354e-04,-7.33393652522194657e+01, 5.18186564281837070e-01, 1.17592781183368286e-04, 2.76955941227456940e-06
 1.21131143011446554e+01, 2.10668297908244388e-04,-7.33473083708015423e+01, 5.18378012452220149e-01, 1.15990707509086791e-04, 2.77058446036574899e-06
 2.00000000000000000e+01, 2.10479500807201605e-04,-7.33533747079904970e+01, 5.18524388017731264e-01, 1.14764084881141545e-04, 2.77136818498538863e-06
 2.00009338173606004e+01, 2.10479478238348650e-04,-7.33066856286740318e+01, 5.18524404540452899e-01, 1.14763939991615956e-04, 2.77136827085148087e-06
 2.00018676347212008e+01, 2.10479455683865169e-04,-7.32599976018469761e+01, 5.18524421248215517e-01, 1.14763794848534456e-04, 2.77136835534623566e-06
 2.00040743224429463e+01, 2.10479402471705447e-04,-7.31496737797852603e+01, 5.18524461227473754e-01, 1.14763451424355510e-04, 2.77136855011566648e-06
 2.00062810101646917e+01, 2.10479349409880927e-04,-7.30393550043580859e+01, 5.18524501685638572e-01, 1.14763107923863760e-04, 2.77136873877089754e-06
 2.00084876978864372e+01, 2.10479296550238374e-04,-7.29290415880227414e+01, 5.18524542485117479e-01, 1.14762764856094526e-04, 2.77136892145492199e-06
 2.00129807207492689e+01, 2.10479189742244474e-04,-7.27044496458933907e+01, 5.18524626041207082e-01, 1.14762069679858478e-04, 2.77136927866057854e-06
 2.00174737436121006e+01, 2.10479084145733203e-04,-7.24798791896861729e+01, 5.18524709963675279e-01, 1.14761380065068374e-04, 2.77136962003429569e-06
 2.00266151565984423e+01, 2.10478873493015630e-04,-7.20230352375669867e+01, 5.18524880964893131e-01, 1.14759998023730435e-04, 2.77137028461019961e-06
 2.00357565695847839e+01, 2.10478668723267136e-04,-7.15662695951171344e+01, 5.18525051982664187e-01, 1.14758646105480439e-04, 2.77137092482557192e-06
 2.00448979825711255e+01, 2.10478469949706645e-04,-7.11095747433127485e+01, 5.18525222933406971e-01, 1.14757325038363953e-04, 2.77137155263395798e-06
 2.00540393955574672e+01, 2.10478277122696074e-04,-7.06529422828967597e+01, 5.18525393862271922e-01, 1.14756034488099588e-04, 2.77137217234713158e-06
 2.00631808085438088e+01, 2.10478090133786393e-04,-7.01963628695825150e+01, 5.18525564797786664e-01, 1.14754773848377433e-04, 2.77137278415242549e-06
 2.00723222215301504e+01, 2.10477908877011830e-04,-6.97398260308047213e+01, 5.18525735737641824e-01, 1.14753542580145056e-04, 2.77137338731235311e-06
 2.00885053448282704e+01, 2.10477601695205932e-04,-6.89316676172312697e+01, 5.18526038341496909e-01, 1.14751433087482082e-04, 2.77137443244361768e-06
 2.01127833049857720e+01, 2.10477172890617361e-04,-6.77192097928347607e+01, 5.18526492279560602e-01, 1.14748432638631836e-04, 2.77137594424422653e-06
 2.01370612651432737e+01, 2.10476781581456722e-04,-6.65063591010941195e+01, 5.18526946184900139e-01, 1.14745624423808680e-04, 2.77137738475689844e-06
 2.01613392253007753e+01, 2.10476426701256951e-04,-6.52925520645281807e+01, 5.18527400059429322e-01, 1.14743002973287438e-04, 2.77137874757234984e-06
 2.01856171854582769e+01, 2.10476107345555210e-04,-6.40769519834803702e+01, 5.18527853904879432e-01, 1.14740563648032303e-04, 2.77138002442556355e-06
 2.02098951456157785e+01, 2.10475822814774736e-04,-6.28583422431124532e+01, 5.18528307722780135e-01, 1.14738302859507734e-04, 2.77138120512767302e-06
 2.02341731057732801e+01, 2.10475572640112039e-04,-6.16349882210201159e+01, 5.18528761514574832e-01, 1.14736218202148279e-04, 2.77138227723983678e-06
 2.02584510659307817e+01, 2.10475356610720777e-04,-6.04044657628425554e+01, 5.18529215281654743e-01, 1.14734308592618584e-04, 2.77138322555957609e-06
 2.02827290260882833e+01, 2.10475174810039714e-04,-5.91634534503697793e+01, 5.18529669025368900e-01, 1.14732574455982483e-04, 2.77138403142907856e-06
 2.03070069862457849e+01, 2.10475027665763187e-04,-5.79074851777457482e+01, 5.18530122747032252e-01, 1.14731017981798786e-04, 2.77138467181996329e-06
 2.03312849464032865e+01, 2.10474916017402411e-04,-5.66306579840036903e+01, 5.18530576447939873e-01, 1.14729643470365308e-04, 2.77138511810673490e-06
 2.03555629065607882e+01, 2.10474841206057900e-04,-5.53252870260403569e+01, 5.18531030129381842e-01, 1.14728457792798695e-04, 2.77138533439276728e-06
 2.03798408667182898e+01, 2.10474805192553276e-04,-5.39814943902623625e+01, 5.18531483792663783e-01, 1.14727470996469963e-04, 2.77138527518010155e-06
 2.04041188268757914e+01, 2.10474810712652681e-04,-5.25867102938693023e+01, 5.18531937439130730e-01, 1.14726697100495911e-04, 2.77138488205668880e-06
