"environment.time","Ca_Concentrations.Ca_i","membrane.V","SR_Ca_Concentrations.Ca_sr","SR_Fluxes.J_serca","SR_Fluxes.J_SRleak"
 0.00000000000000000e+00, 2.01893613318643539e-04,-7.34681167644544502e+01, 5.38756271425420485e-01, 3.50127555459377337e-05, 2.87958509419164444e-06
 4.83367231254131224e-01, 2.01889267013583517e-04,-7.34682703975270925e+01, 5.38759992040188651e-01, 3.49841393498007372e-05, 2.87960501854697885e-06
 3.08385138792007751e+00, 2.01866221749462469e-04,-7.34690837247584199e+01, 5.38779718103729599e-01, 3.48324144194520982e-05, 2.87971065419532287e-06
 1.31405177965937696e+01, 2.01781386137633043e-04,-7.34720427761008068e+01, 5.38851560844351374e-01, 3.42753086562935032e-05, 2.88009538764502963e-06
 2.00000000000000000e+01, 2.01726285364408318e-04,-7.34739411697227069e+01, 5.38897688292407584e-01, 3.39144641193253973e-05, 2.88034241451195189e-06
 2.00009295954099287e+01, 2.01726277773237462e-04,-7.34274627228940915e+01, 5.38897694495685586e-01, 3.39144146808433483e-05, 2.88034244521218673e-06
 2.00018591908198573e+01, 2.01726270194699567e-04,-7.33809853257159972e+01, 5.38897700732499429e-01, 3.39143652457440576e-05, 2.88034247380727999e-06
 2.00040492903188181e+01, 2.01726252415115257e-04,-7.32714897621976178e+01, 5.38897715516063913e-01, 3.39142489959101204e-05, 2.88034253438230335e-06
 2.00062393898177788e+01, 2.01726234767258720e-04,-7.31619992101722403e+01, 5.38897730386285856e-01, 3.39141332544749330e-05, 2.88034258706679128e-06
 2.00084294893167396e+01, 2.01726217296756109e-04,-7.30525139853703251e+01, 5.38897745318438148e-01, 3.39140182959974355e-05, 2.88034263256886589e-06
 2.00128757731165230e+01, 2.01726182544707512e-04,-7.28302562508182376e+01, 5.38897775721298267e-01, 3.39137883631894735e-05, 2.88034270874178328e-06
 2.00173220569163064e+01, 2.01726148851918936e-04,-7.26080198275762143e+01, 5.38897806190678286e-01, 3.39135636523240730e-05, 2.88034276816150664e-06
 2.00263709969862340e+01, 2.01726083953550166e-04,-7.21557933662272148e+01, 5.38897868246956846e-01, 3.39131247628641756e-05, 2.88034285907973366e-06
 2.00354199370561616e+01, 2.01726024213538671e-04,-7.17036452337167702e+01, 5.38897930305004880e-01, 3.39127118825585677e-05, 2.88034292632397681e-06
 2.00444688771260893e+01, 2.01725969733252693e-04,-7.12515684014186945e+01, 5.38897992349006483e-01, 3.39123255510208029e-05, 2.88034298179186245e-06
 2.00535178171960169e+01, 2.01725920467577495e-04,-7.07995550398114517e+01, 5.38898054387169645e-01, 3.39119655259765410e-05, 2.88034302951542283e-06
 2.00625667572659445e+01, 2.01725876317357340e-04,-7.03475964753785661e+01, 5.38898116424948337e-01, 3.39116312975898680e-05, 2.88034306960505600e-06
 2.00716156973358721e+01, 2.01725837184875742e-04,-6.98956830291966185e+01, 5.38898178462139721e-01, 3.39113223734599793e-05, 2.88034310137989570e-06
 2.00875759753857892e+01, 2.01725780065684231e-04,-6.90986730946745382e+01, 5.38898287876562909e-01, 3.39108375274838135e-05, 2.88034313588382855e-06
 2.01118358231668992e+01, 2.01725721578592136e-04,-6.78871891747464531e+01, 5.38898454177028308e-01, 3.39102434601974153e-05, 2.88034313391785279e-06
