"environment.time","Ca_Concentrations.Ca_i","membrane.V","SR_Ca_Concentrations.Ca_sr","SR_Fluxes.J_serca","SR_Fluxes.J_SRleak"
 0.00000000000000000e+00, 2.10973329255509156e-04,-7.33371410720561983e+01, 5.18080515408863240e-01, 1.18080943910137899e-04, 2.76899204369963155e-06
 2.54888621235850425e-02, 2.10972669841208107e-04,-7.33371625540973326e+01, 5.18081031947990267e-01, 1.18076648264743832e-04, 2.76899480931343967e-06
 5.09777242471700850e-02, 2.10972010414537639e-04,-7.33371840479458257e+01, 5.18081546739694643e-01, 1.18072355648066800e-04, 2.76899756558164571e-06
 1.16580490180444196e-01, 2.10970313203828074e-04,-7.33372393681343056e+01, 5.18082870756996883e-01, 1.18061309123788707e-04, 2.76900465456518806e-06
 2.84338959467492547e-01, 2.10965974224601379e-04,-7.33373807436319396e+01, 5.18086254304472194e-01, 1.18033070783296636e-04, 2.76902277057906803e-06
 9.37469038343728855e-01, 2.10949114308687261e-04,-7.33379297284882483e+01, 5.18099395294585374e-01, 1.17923358189545016e-04, 2.76909312940172766e-06
 5.69398978425537727e+00, 2.10828332613344807e-04,-7.33418536697734282e+01, 5.18193422753417510e-01, 1.17137659960467731e-04, 2.76959656750644826e-06
 1.56650566316968973e+01, 2.10583704816884678e-04,-7.33497681502957590e+01, 5.18383434738262538e-01, 1.15547443352419254e-04, 2.77061392667247185e-06
 2.00000000000000000e+01, 2.10480962926150333e-04,-7.33530788785189714e+01, 5.18463069400105780e-01, 1.14880005489334516e-04, 2.77104030713797787e-06
 2.00009338277292628e+01, 2.10480940293905270e-04,-7.33063892858435509e+01, 5.18463085879570129e-01, 1.14879860352748512e-04, 2.77104039277318333e-06
 2.00018676554585255e+01, 2.10480917676039220e-04,-7.32597007456590887e+01, 5.18463102562837896e-01, 1.14879714929497462e-04, 2.77104047713753655e-06
 2.00040743840085575e+01, 2.10480864313762302e-04,-7.31493748942868933e+01, 5.18463142534952182e-01, 1.14879370751847214e-04, 2.77104067187042764e-06
 2.00062811125585895e+01, 2.10480811101916674e-04,-7.30390540896221552e+01, 5.18463183034546859e-01, 1.14879026412534495e-04, 2.77104086074927752e-06
 2.00084878411086216e+01, 2.10480758092378481e-04,-7.29287386441205570e+01, 5.18463223910081483e-01, 1.14878682445395761e-04, 2.77104104384244387e-06
 2.00129809794610019e+01, 2.10480650978899208e-04,-7.27041409531366867e+01, 5.18463307670832707e-01, 1.14877985348492095e-04, 2.77104140214755935e-06
 2.00174741178133822e+01, 2.10480545077612255e-04,-7.24795647485723578e+01, 5.18463391835224718e-01, 1.14877293750830089e-04, 2.77104174482055643e-06
 2.00266157534379836e+01, 2.10480333807424008e-04,-7.20227097184728535e+01, 5.18463563354588208e-01, 1.14875907642816036e-04, 2.77104241217993005e-06
 2.00357573890625851e+01, 2.10480128423355531e-04,-7.15659329988243371e+01, 5.18463734892715467e-01, 1.14874551670184373e-04, 2.77104305519125139e-06
 2.00448990246871865e+01, 2.10479929038571756e-04,-7.11092270698602533e+01, 5.18463906357554793e-01, 1.14873226575674045e-04, 2.77104368576215028e-06
 2.00540406603117880e+01, 2.10479735603325393e-04,-7.06525835314727715e+01, 5.18464077798823864e-01, 1.14871932016371352e-04, 2.77104430822849733e-06
 2.00631822959363895e+01, 2.10479548009051104e-04,-7.01959930383920607e+01, 5.18464249247928777e-01, 1.14870667380282537e-04, 2.77104492279288968e-06
 2.00723239315609909e+01, 2.10479366149677596e-04,-6.97394451169018907e+01, 5.18464420702314244e-01, 1.14869432128247872e-04, 2.77104552871648548e-06
 2.00885076305553909e+01, 2.10479057904117606e-04,-6.89312580035262101e+01, 5.18464724220373707e-01, 1.14867315592803948e-04, 2.77104657875024292e-06
 2.01127856647124403e+01, 2.10478627532185205e-04,-6.77187965088695307e+01, 5.18465179514921992e-01, 1.14864304751260621e-04, 2.77104809785159560e-06
 2.01370636988694898e+01, 2.10478234670265506e-04,-6.65059420658945868e+01, 5.18465634776584805e-01, 1.14861486219111370e-04, 2.77104954566259265e-06
 2.01613417330265392e+01, 2.10477878250640328e-04,-6.52921311651299447e+01, 5.18466090007309255e-01, 1.14858854520148858e-04, 2.77105091577367943e-06
 2.01856197671835886e+01, 2.10477557367684298e-04,-6.40765270643749716e+01, 5.18466545208843721e-01, 1.14856405009339935e-04, 2.77105219991941822e-06
 2.02098978013406381e+01, 2.10477271320768354e-04,-6.28579130951218090e+01, 5.18467000382721199e-01, 1.14854134092742005e-04, 2.77105338791035420e-06
 2.02341758354976875e+01, 2.10477019640148161e-04,-6.16345545709375173e+01, 5.18467455530384869e-01, 1.14852039359962966e-04, 2.77105446730692888e-06
 2.02584538696547369e+01, 2.10476802114143249e-04,-6.04040272658378470e+01, 5.18467910653226616e-01, 1.14850119723387738e-04, 2.77105542290582582e-06
 2.02827319038117864e+01, 2.10476618825459268e-04,-5.91630096878224734e+01, 5.18468365752595806e-01, 1.14848375604321404e-04, 2.77105623604823905e-06
 2.03070099379688358e+01, 2.10476470201153128e-04,-5.79070356638229100e+01, 5.18468820829807941e-01, 1.14846809189058077e-04, 2.77105688370461834e-06
 2.03312879721258852e+01, 2.10476357080190092e-04,-5.66302021849518411e+01, 5.18469275886158543e-01, 1.14845424775100933e-04, 2.77105733724807198e-06
 2.03555660062829347e+01, 2.10476280803213034e-04,-5.53248243968787463e+01, 5.18469730922938243e-01, 1.14844229231231829e-04, 2.77105756078029843e-06
 2.03798440404399841e+01, 2.10476243330674073e-04,-5.39810244344764101e+01, 5.18470185941453221e-01, 1.14843232602930811e-04, 2.77105750880129957e-06
 2.04041220745970335e+01, 2.10476247398051368e-04,-5.25862326530131625e+01, 5.18470640943048955e-01, 1.14842448907870819e-04, 2.77105712289650785e-06
 2.04284001087540830e+01, 2.10476296721033237e-04,-5.11245673082565517e+01, 5.18471095929140646e-01, 1.14841897187496991e-04, 2.77105632691926982e-06
 2.04526781429111324e+01, 2.10476396270305085e-04,-4.95760394614102609e+01, 5.18471550901251077e-01, 1.14841602915336180e-04, 2.77105501981179132e-06
 2.04769561770681818e+01, 2.10476552646719154e-04,-4.79155000106636209e+01, 5.18472005861059682e-01, 1.14841599919784078e-04, 2.77105306461727952e-06
 2.05012342112252313e+01, 2.10476774606398171e-04,-4.61112015004248263e+01, 5.18472460810464275e-01, 1.14841933075342313e-04, 2.77105027116131716e-06
 2.05255122453822807e+01, 2.10477073817436116e-04,-4.41227969409407450e+01, 5.18472915751663432e-01, 1.14842662180844563e-04, 2.77104636786649817e-06
 2.05497902795393301e+01, 2.10477465984201757e-04,-4.18986275887643913e+01, 5.18473370687266066e-01, 1.14843867721752332e-04, 2.77104095432303754e-06
 2.05740683136963796e+01, 2.10477972562890910e-04,-3.93724611878304600e+01, 5.18473825620441309e-01, 1.14845659662777692e-04, 2.77103341897931675e-06
 2.05872951977326579e+01, 2.10478303215910875e-04,-3.78469289486475233e+01, 5.18474073471872798e-01, 1.14846916100932694e-04, 2.77102828602372130e-06
 2.06005220817689363e+01, 2.10478680948761516e-04,-3.61899007341467964e+01, 5.18474321324324472e-01, 1.14848413836474416e-04, 2.77102196567379203e-06
 2.06137489658052147e+01, 2.10479113314123725e-04,-3.43795291879781715e+01, 5.18474569178663303e-01, 1.14850191578146535e-04, 2.77101430487483599e-06
 2.06269758498414930e+01, 2.10479609373938017e-04,-3.23905765756028856e+01, 5.18474817035867064e-01, 1.14852295770111477e-04, 2.77100495212028756e-06
 2.06402027338777714e+01, 2.10480179360612900e-04,-3.01938900663375946e+01, 5.18475064897003124e-01, 1.14854778855653889e-04, 2.77099392445717397e-06
 2.06534296179140497e+01, 2.10480838154316301e-04,-2.77586788284981125e+01, 5.18475312763506557e-01, 1.14857717099012063e-04, 2.77097923460871734e-06
 2.06666565019503281e+01, 2.10481604758442617e-04,-2.50599149358106281e+01, 5.18475560636971644e-01, 1.14861207897575671e-04, 2.77096045163291871e-06
 2.06731635518797638e+01, 2.10482024658322837e-04,-2.36373461966749794e+01, 5.18475682582704933e-01, 1.14863144395287625e-04, 2.77095091514321353e-06
 2.06796706018091996e+01, 2.10482476579279467e-04,-2.21522390550477724e+01, 5.18475804530654560e-01, 1.14865245009409088e-04, 2.77094004403203522e-06
 2.06861776517386353e+01, 2.10482963555074957e-04,-2.06076175772420207e+01, 5.18475926481106741e-01, 1.14867525288890696e-04, 2.77092756817979171e-06
 2.06926847016680711e+01, 2.10483489015703904e-04,-1.90092533209048611e+01, 5.18476048434340142e-01, 1.14870002813607816e-04, 2.77091338571688482e-06
 2.06991917515975068e+01, 2.10484056692490559e-04,-1.73650604924684835e+01, 5.18476170390630764e-01, 1.14872696707964115e-04, 2.77089739166397428e-06
 2.07056988015269425e+01, 2.10484670506429797e-04,-1.56844406200082283e+01, 5.18476292350255386e-01, 1.14875627068613208e-04, 2.77087947315763663e-06
 2.07122058514563783e+01, 2.10485334480815063e-04,-1.39776171071785615e+01, 5.18476414313488898e-01, 1.14878814516671402e-04, 2.77085952371450558e-06
 2.07187129013858140e+01, 2.10486052669546422e-04,-1.22550300805492185e+01, 5.18476536280598199e-01, 1.14882279830301172e-04, 2.77083746031259004e-06
