"environment.time","Ca_Concentrations.Ca_i","membrane.V","SR_Ca_Concentrations.Ca_sr","SR_Fluxes.J_serca","SR_Fluxes.J_SRleak"
 0.00000000000000000e+00, 2.19464761038028655e-04,-7.31988176092057188e+01, 5.12884567764541832e-01, 1.71113200985587114e-04, 2.74117800191036035e-06
 2.85680493176898274e-02, 2.19464243906162572e-04,-7.31988362400240078e+01, 5.12884861429209526e-01, 1.71109994418075896e-04, 2.74117957515656243e-06
 5.71360986353796549e-02, 2.19463726695131732e-04,-7.31988548549845746e+01, 5.12885151265787487e-01, 1.71106794173311096e-04, 2.74118112795369933e-06
 1.35570790111508188e-01, 2.19462306285151044e-04,-7.31989059316806987e+01, 5.12885945324901282e-01, 1.71098008761294079e-04, 2.74118538215870203e-06
 3.50051889982869735e-01, 2.19458422204421040e-04,-7.31990454633159260e+01, 5.12888113717377636e-01, 1.71073990497104441e-04, 2.74119699943519529e-06
 1.27740126065066262e+00, 2.19441677705788747e-04,-7.31996462859813448e+01, 5.12897436926058714e-01, 1.70970491375018688e-04, 2.74124694921901144e-06
 8.90065263208843760e+00, 2.19307987087983419e-04,-7.32044248134811539e+01, 5.12970661773163861e-01, 1.70146347948482452e-04, 2.74163926965503109e-06
 1.65239040035262121e+01, 2.19178155926831093e-04,-7.32090481881115522e+01, 5.13040582168404202e-01, 1.69348219693530612e-04, 2.74201389869531747e-06
 2.00000000000000000e+01, 2.19120656365178899e-04,-7.32110880054517281e+01, 5.13071006564106202e-01, 1.68995739112294362e-04, 2.74217691670881188e-06
 2.00009389185325297e+01, 2.19120640566761339e-04,-7.31641437072154588e+01, 5.13071014777265577e-01, 1.68995642526283715e-04, 2.74217695798414887e-06
 2.00018778370650594e+01, 2.19120624784137162e-04,-7.31172004633778840e+01, 5.13071023033598639e-01, 1.68995545946442585e-04, 2.74217699701495232e-06
 2.00041044466392783e+01, 2.19120587451470474e-04,-7.30058802270588103e+01, 5.13071042729717930e-01, 1.68995317201128500e-04, 2.74217708222487651e-06
 2.00063310562134973e+01, 2.19120550285344746e-04,-7.28945650717665785e+01, 5.13071062537692302e-01, 1.68995089124940166e-04, 2.74217715889164757e-06
