"environment.time","Ca_Concentrations.Ca_i","membrane.V","SR_Ca_Concentrations.Ca_sr","SR_Fluxes.J_serca","SR_Fluxes.J_SRleak"
 0.00000000000000000e+00, 2.10986277662399287e-04,-7.33369544494440646e+01, 5.18126106617315618e-01, 1.18066778837355520e-04, 2.76923575269279268e-06
 9.10191702677227016e-02, 2.10983920836623216e-04,-7.33370308181257542e+01, 5.18127942724051271e-01, 1.18051443084663020e-04, 2.76924558348388532e-06
 3.10048849925335324e-01, 2.10978253853928992e-04,-7.33372144306596425e+01, 5.18132357802241428e-01, 1.18014568191133112e-04, 2.76926922247494223e-06
 1.27761668669119777e+00, 2.10953305360025620e-04,-7.33380224858341165e+01, 5.18151791175384013e-01, 1.17852238634161188e-04, 2.76937327171280685e-06
 9.30709757190362730e+00, 2.10751942683023427e-04,-7.33445253540813127e+01, 5.18308351224132435e-01, 1.16542747728524127e-04, 2.77021152105537005e-06
 1.73365784571160546e+01, 2.10556128610943735e-04,-7.33508313585990237e+01, 5.18460344738366552e-01, 1.15270097032159935e-04, 2.77102532315901168e-06
 2.00000000000000000e+01, 2.10492960539731985e-04,-7.33528597988207167e+01, 5.18509288525595857e-01, 1.14859771260340931e-04, 2.77128737840525762e-06
 2.00009338357945197e+01, 2.10492937931795087e-04,-7.33061697998741835e+01, 5.18509305259698183e-01, 1.14859625794387385e-04, 2.77128746540159505e-06
 2.00018676715890393e+01, 2.10492915338219883e-04,-7.32594808534260835e+01, 5.18509322145364715e-01, 1.14859480134040686e-04, 2.77128755084726163e-06
 2.00040744311300429e+01, 2.10492862032954191e-04,-7.31491534455142869e+01, 5.18509362455537803e-01, 1.14859135642044152e-04, 2.77128774738395089e-06
 2.00062811906710465e+01, 2.10492808877945774e-04,-7.30388310843880220e+01, 5.18509403157952686e-01, 1.14858791226612336e-04, 2.77128793734175261e-06
 2.00084879502120501e+01, 2.10492755925017653e-04,-7.29285140825000440e+01, 5.18509444139892306e-01, 1.14858447352675361e-04, 2.77128812099688043e-06
 2.00129811757117011e+01, 2.10492648925363941e-04,-7.27039120207913214e+01, 5.18509527980712370e-01, 1.14857750679737652e-04, 2.77128847971249179e-06
 2.00174744012113521e+01, 2.10492543136677347e-04,-7.24793314459213462e+01, 5.18509612121390684e-01, 1.14857059683385297e-04, 2.77128882223815427e-06
 2.00266162044278957e+01, 2.10492332091807074e-04,-7.20224680105093569e+01, 5.18509783519387590e-01, 1.14855674909172830e-04, 2.77128948890281899e-06
