"environment.time","Ca_Concentrations.Ca_i","membrane.V","SR_Ca_Concentrations.Ca_sr","SR_Fluxes.J_serca","SR_Fluxes.J_SRleak"
 0.00000000000000000e+00, 2.17669768400849953e-04,-7.32273908931735633e+01, 5.15404775332797160e-01, 1.57351124481872122e-04, 2.75466065272196563e-06
 4.15082163820594541e-02, 2.17668870003833966e-04,-7.32274169663963050e+01, 5.15404915365135552e-01, 1.57346217226390624e-04, 2.75466140691627878e-06
 1.12720392035943306e-01, 2.17667398264560817e-04,-7.32274617017996547e+01, 5.15405613378660754e-01, 1.57337352155679415e-04, 2.75466514706814291e-06
 2.97439598726665144e-01, 2.17663845785573732e-04,-7.32275776595268155e+01, 5.15407484243414871e-01, 1.57315625854564944e-04, 2.75467517011186721e-06
 1.02604844028804765e+00, 2.17650858279533577e-04,-7.32280336038865016e+01, 5.15414835933530213e-01, 1.57235294933464676e-04, 2.75471455592357723e-06
 6.30955370169903773e+00, 2.17560862809022278e-04,-7.32312618728821576e+01, 5.15466491033088281e-01, 1.56677430596077489e-04, 2.75499129323441166e-06
 1.62558961013626337e+01, 2.17398187754236848e-04,-7.32370715126013891e+01, 5.15558122223829685e-01, 1.55672265990468457e-04, 2.75548221493947112e-06
 2.00000000000000000e+01, 2.17339403178782827e-04,-7.32391577013128767e+01, 5.15590489206059877e-01, 1.55310401708606946e-04, 2.75565563158105849e-06
 2.00009379024172915e+01, 2.17339388046391936e-04,-7.31922641859594023e+01, 5.15590497501217881e-01, 1.55310308625415536e-04, 2.75565567331439594e-06
 2.00018758048345831e+01, 2.17339372929461957e-04,-7.31453717245211976e+01, 5.15590505826943324e-01, 1.55310215568490523e-04, 2.75565571275588374e-06
 2.00040984556129899e+01, 2.17339337198287319e-04,-7.30342493619075412e+01, 5.15590525639761821e-01, 1.55309995378506141e-04, 2.75565579876648657e-06
 2.00063211063913968e+01, 2.17339301629912305e-04,-7.29231320732045560e+01, 5.15590545531721234e-01, 1.55309775893064926e-04, 2.75565587614252406e-06
 2.00085437571698037e+01, 2.17339266280412881e-04,-7.28120201673115304e+01, 5.15590565479855156e-01, 1.55309557443398204e-04, 2.75565594568791305e-06
 2.00130820343187281e+01, 2.17339194993173776e-04,-7.25851650631563103e+01, 5.15590606289780484e-01, 1.55309115883289658e-04, 2.75565606998679669e-06
 2.00176203114676525e+01, 2.17339125022883933e-04,-7.23583315859882532e+01, 5.15590647159079096e-01, 1.55308681046559342e-04, 2.75565617603102554e-06
 2.00268466403431695e+01, 2.17338987317351788e-04,-7.18972412038224462e+01, 5.15590730284917420e-01, 1.55307820515375217e-04, 2.75565635929723394e-06
 2.00360729692186865e+01, 2.17338855979833914e-04,-7.14362289248271907e+01, 5.15590813409524507e-01, 1.55306993002919333e-04, 2.75565651728908076e-06
 2.00452992980942035e+01, 2.17338731123803669e-04,-7.09752867667538396e+01, 5.15590896519797059e-01, 1.55306199120602541e-04, 2.75565666280538376e-06
 2.00545256269697205e+01, 2.17338612688333362e-04,-7.05144057916838278e+01, 5.15590979623437029e-01, 1.55305438538931709e-04, 2.75565680004779863e-06
 2.00637519558452375e+01, 2.17338500550970110e-04,-7.00535760205747806e+01, 5.15591062725193727e-01, 1.55304710614629791e-04, 2.75565692902548984e-06
 2.00729782847207545e+01, 2.17338394593150959e-04,-6.95927862290650268e+01, 5.15591145824753405e-01, 1.55304014733516289e-04, 2.75565704896383941e-06
 2.00893900430460413e+01, 2.17338220982932201e-04,-6.87731776764291567e+01, 5.15591293633204106e-01, 1.55302854000443318e-04, 2.75565723855699683e-06
 2.01058018013713280e+01, 2.17338066077484845e-04,-6.79535566251733627e+01, 5.15591441431041742e-01, 1.55301790265295988e-04, 2.75565739724420984e-06
 2.01222135596966147e+01, 2.17337929451344864e-04,-6.71338116716101894e+01, 5.15591589218929336e-01, 1.55300821320922413e-04, 2.75565752388237996e-06
 2.01386253180219015e+01, 2.17337810696953697e-04,-6.63137958200191093e+01, 5.15591736997620620e-01, 1.55299945052855706e-04, 2.75565761641935768e-06
 2.01550370763471882e+01, 2.17337709444836926e-04,-6.54933158057605880e+01, 5.15591884767815700e-01, 1.55299159544188453e-04, 2.75565767277880097e-06
 2.01714488346724750e+01, 2.17337625370635820e-04,-6.46721196402055938e+01, 5.15592032530175048e-01, 1.55298463112004775e-04, 2.75565769041358901e-06
 2.01878605929977617e+01, 2.17337558197976404e-04,-6.38498814854037704e+01, 5.15592180285337487e-01, 1.55297854322222192e-04, 2.75565766637873352e-06
