"environment.time","Ca_Concentrations.Ca_i","membrane.V","SR_Ca_Concentrations.Ca_sr","SR_Fluxes.J_serca","SR_Fluxes.J_SRleak"
 0.00000000000000000e+00, 2.11000656394069529e-04,-7.33370096421146371e+01, 5.18161261108807558e-01, 1.18078398824526915e-04, 2.76942364760396205e-06
 9.83787742903163842e-02, 2.10998111094855891e-04,-7.33370912044798899e+01, 5.18163248523803577e-01, 1.18061828332363157e-04, 2.76943428844824219e-06
 3.42707331808403404e-01, 2.10991791607126095e-04,-7.33372935802649408e+01, 5.18168173632214013e-01, 1.18020703583811721e-04, 2.76946065819417693e-06
 1.47376585553723283e+00, 2.10962640095893584e-04,-7.33382265229490002e+01, 5.18190876669545553e-01, 1.17831029841316786e-04, 2.76958221368875159e-06
 1.04799045065693868e+01, 2.10737609151453385e-04,-7.33454158630849236e+01, 5.18365747730149207e-01, 1.16367773138006990e-04, 2.77051850391114347e-06
 1.94860431576015429e+01, 2.10519507639612307e-04,-7.33523719240529175e+01, 5.18534914826965232e-01, 1.14950525016838166e-04, 2.77142425763794123e-06
 2.00000000000000000e+01, 2.10507443157899885e-04,-7.33527559415566657e+01, 5.18544253199236360e-01, 1.14872173830181160e-04, 2.77147425731094935e-06
 2.00009338397722018e+01, 2.10507420556345251e-04,-7.33060657376131815e+01, 5.18544270165801180e-01, 1.14872027981970156e-04, 2.77147434554992562e-06
 2.00018676795444037e+01, 2.10507397969142337e-04,-7.32593765861739001e+01, 5.18544287238804524e-01, 1.14871882019105910e-04, 2.77147443199647217e-06
 2.00040744540718336e+01, 2.10507344678731434e-04,-7.31490484145645325e+01, 5.18544327870453237e-01, 1.14871537025533287e-04, 2.77147463024866234e-06
 2.00062812285992635e+01, 2.10507291538454587e-04,-7.30387252897874788e+01, 5.18544368777518194e-01, 1.14871192314479342e-04, 2.77147482129566627e-06
 2.00084880031266934e+01, 2.10507238600092397e-04,-7.29284075242943572e+01, 5.18544409880821067e-01, 1.14870848291361623e-04, 2.77147500559327111e-06
 2.00129812706474048e+01, 2.10507131629176521e-04,-7.27038033327446698e+01, 5.18544493850593868e-01, 1.14870151518987627e-04, 2.77147536498218473e-06
 2.00174745381681163e+01, 2.10507025868306001e-04,-7.24792206282673703e+01, 5.18544578030574299e-01, 1.14869460577152440e-04, 2.77147570769899459e-06
 2.00266164218637037e+01, 2.10506814877122871e-04,-7.20223531111697781e+01, 5.18544749445437048e-01, 1.14868076011085703e-04, 2.77147637441110163e-06
 2.00357583055592912e+01, 2.10506609762604863e-04,-7.15655639052784380e+01, 5.18544920867452075e-01, 1.14866721553916532e-04, 2.77147701670765125e-06
 2.00449001892548786e+01, 2.10506410638154373e-04,-7.11088454896409559e+01, 5.18545092248586359e-01, 1.14865397871801469e-04, 2.77147764673518020e-06
 2.00540420729504660e+01, 2.10506217454419875e-04,-7.06521894627716023e+01, 5.18545263614866747e-01, 1.14864104665729741e-04, 2.77147826870362477e-06
 2.00631839566460535e+01, 2.10506030103248812e-04,-7.01955864777817169e+01, 5.18545434982751519e-01, 1.14862841352225383e-04, 2.77147888273538925e-06
 2.00723258403416409e+01, 2.10505848478949987e-04,-6.97390260590439368e+01, 5.18545606350955146e-01, 1.14861607391806485e-04, 2.77147948809817131e-06
 2.00885101523339706e+01, 2.10505540628075393e-04,-6.89308081174488478e+01, 5.18545909719910214e-01, 1.14859493030119287e-04, 2.77148053714714453e-06
 2.01127882408257825e+01, 2.10505110823254726e-04,-6.77183434979998680e+01, 5.18546364775125945e-01, 1.14856485357077269e-04, 2.77148205471009014e-06
 2.01370663293175944e+01, 2.10504718482390014e-04,-6.65054857780131528e+01, 5.18546819797747749e-01, 1.14853669766065979e-04, 2.77148350097526731e-06
 2.01613444178094063e+01, 2.10504362542804618e-04,-6.52916713707487020e+01, 5.18547274789553203e-01, 1.14851040806756535e-04, 2.77148486953170049e-06
 2.01856225063012182e+01, 2.10504042103606655e-04,-6.40760634228357731e+01, 5.18547729752201092e-01, 1.14848593858313770e-04, 2.77148615211274963e-06
 2.02099005947930301e+01, 2.10503756468514633e-04,-6.28574451112723054e+01, 5.18548184687210645e-01, 1.14846325348932235e-04, 2.77148733852794047e-06
 2.02341786832848420e+01, 2.10503505171754973e-04,-6.16340815411331135e+01, 5.18548639596026373e-01, 1.14844232888453924e-04, 2.77148841633648084e-06
 2.02584567717766539e+01, 2.10503288005279117e-04,-6.04035482122964353e+01, 5.18549094480039829e-01, 1.14842315407828784e-04, 2.77148937033342969e-06
 2.02827348602684658e+01, 2.10503105055133064e-04,-5.91625232804498253e+01, 5.18549549340599270e-01, 1.14840573345505761e-04, 2.77149018185784524e-06
 2.03070129487602777e+01, 2.10502956751473563e-04,-5.79065401284284462e+01, 5.18550004179019086e-01, 1.14839008903773663e-04, 2.77149082787737190e-06
 2.03312910372520896e+01, 2.10502843936178805e-04,-5.66296951961385773e+01, 5.18550458996593799e-01, 1.14837626395275410e-04, 2.77149127976143972e-06
 2.03555691257439015e+01, 2.10502767952674432e-04,-5.53243029526441887e+01, 5.18550913794612822e-01, 1.14836432703386600e-04, 2.77149150160690677e-06
 2.03798472142357134e+01, 2.10502730764126943e-04,-5.39804847074775580e+01, 5.18551368574381666e-01, 1.14835437887983937e-04, 2.77149144790737182e-06
 2.04041253027275253e+01, 2.10502735108729176e-04,-5.25856698101792404e+01, 5.18551823337245255e-01, 1.14834655981327409e-04, 2.77149106023974106e-06
 2.04284033912193372e+01, 2.10502784704963820e-04,-5.11239752853719409e+01, 5.18552278084617901e-01, 1.14834106040100629e-04, 2.77149026244586469e-06
 2.04526814797111491e+01, 2.10502884526485827e-04,-4.95754106714294451e+01, 5.18552732818022388e-01, 1.14833813554271968e-04, 2.77148895345222465e-06
 2.04769595682029610e+01, 2.10503041177411619e-04,-4.79148249525437464e+01, 5.18553187539137261e-01, 1.14833812370592267e-04, 2.77148699628005694e-06
 2.05012376566947729e+01, 2.10503263417580080e-04,-4.61104682192472097e+01, 5.18553642249860558e-01, 1.14834147384762007e-04, 2.77148420072348295e-06
 2.05255157451865848e+01, 2.10503562919469353e-04,-4.41219902813871130e+01, 5.18554096952390520e-01, 1.14834878420955229e-04, 2.77148029515860845e-06
 2.05497938336783967e+01, 2.10503955392808960e-04,-4.18977282559006809e+01, 5.18554551649336171e-01, 1.14836085995969863e-04, 2.77147487910455276e-06
 2.05740719221702086e+01, 2.10504462300597247e-04,-3.93714437325934696e+01, 5.18555006343866642e-01, 1.14837880114659129e-04, 2.77146734089662563e-06
 2.05872984139468507e+01, 2.10504793133021854e-04,-3.78458851046927478e+01, 5.18555254057386783e-01, 1.14839137767180560e-04, 2.77146220639355096e-06
 2.06005249057234927e+01, 2.10505171052624042e-04,-3.61888277677713077e+01, 5.18555501771930882e-01, 1.14840636766312237e-04, 2.77145588437170147e-06
 2.06137513975001347e+01, 2.10505603613458687e-04,-3.43784244808917094e+01, 5.18555749488365914e-01, 1.14842415829696437e-04, 2.77144822176401923e-06
 2.06269778892767768e+01, 2.10506099878993619e-04,-3.23894381051681961e+01, 5.18555997207669539e-01, 1.14844521411552051e-04, 2.77143886703740361e-06
 2.06402043810534188e+01, 2.10506670083260804e-04,-3.01927183668276129e+01, 5.18556244930909349e-01, 1.14847005965999159e-04, 2.77142783726740483e-06
 2.06534308728300608e+01, 2.10507329108354957e-04,-2.77574782797263317e+01, 5.18556492659520085e-01, 1.14849945770810542e-04, 2.77141314499775365e-06
 2.06666573646067029e+01, 2.10508095959713385e-04,-2.50586978531646984e+01, 5.18556740395096361e-01, 1.14853438238517923e-04, 2.77139435931605449e-06
 2.06731641043801950e+01, 2.10508515979503411e-04,-2.36361550157209734e+01, 5.18556862270800667e-01, 1.14855375562963362e-04, 2.77138482168248764e-06
 2.06796708441536872e+01, 2.10508968023517666e-04,-2.21510838266516039e+01, 5.18556984148722089e-01, 1.14857477027822139e-04, 2.77137394944543356e-06
 2.06861775839271793e+01, 2.10509455125455877e-04,-2.06065093988251427e+01, 5.18557106029146841e-01, 1.14859758182469423e-04, 2.77136147248196921e-06
 2.06926843237006715e+01, 2.10509980715171155e-04,-1.90082037956330474e+01, 5.18557227912353480e-01, 1.14862236606898976e-04, 2.77134728893783833e-06
 2.06991910634741636e+01, 2.10510548523770746e-04,-1.73640810340922194e+01, 5.18557349798618006e-01, 1.14864931425318794e-04, 2.77133129386455971e-06
 2.07056978032476557e+01, 2.10511162471950557e-04,-1.56835417470301923e+01, 5.18557471688216975e-01, 1.14867862733814832e-04, 2.77131337443673788e-06
 2.07122045430211479e+01, 2.10511826582617597e-04,-1.39768078732634162e+01, 5.18557593581425169e-01, 1.14871051152511621e-04, 2.77129342421091958e-06
 2.07187112827946400e+01, 2.10512544909199597e-04,-1.22543177153056710e+01, 5.18557715478509373e-01, 1.14874517458146710e-04, 2.77127136020264535e-06
 2.07252180225681322e+01, 2.10513320981964243e-04,-1.05258876359070559e+01, 5.18557837379678532e-01, 1.14878279746222328e-04, 2.77124769573051144e-06
 2.07353843016337684e+01, 2.10514657416473660e-04,-7.83398807194598934e+00, 5.18558027849582825e-01, 1.14884792993363594e-04, 2.77120532498332529e-06
 2.07455505806994047e+01, 2.10516158516586252e-04,-5.18141970391672935e+00, 5.18558218330839593e-01, 1.14892150254081852e-04, 2.77115766478853938e-06
 2.07557168597650410e+01, 2.10517837592269405e-04,-2.59728759700819678e+00, 5.18558408823803774e-01, 1.14900419756853246e-04, 2.77110680030046728e-06
 2.07658831388306773e+01, 2.10519701410804866e-04,-1.01502261990031623e-01, 5.18558599328484693e-01, 1.14909636196691323e-04, 2.77105320832663255e-06
 2.07666203305969184e+01, 2.10519843857453446e-04, 7.56047641215988608e-02, 5.18558613143085934e-01, 1.14910341903449274e-04, 2.77104915112856046e-06
 2.07673575223631595e+01, 2.10519987253015390e-04, 2.52230157435908042e-01, 5.18558626957747237e-01, 1.14911052474112212e-04, 2.77104502480491728e-06
 2.07680947141294006e+01, 2.10520131632376532e-04, 4.28330881812024555e-01, 5.18558640772469714e-01, 1.14911768087494701e-04, 2.77104087043827099e-06
 2.07697053694270473e+01, 2.10520450534084036e-04, 8.11225533279298916e-01, 5.18558670955812873e-01, 1.14913349302089344e-04, 2.77103171706469636e-06
 2.07713160247246940e+01, 2.10520774243679406e-04, 1.19148100199123630e+00, 5.18558701139445133e-01, 1.14914955160826522e-04, 2.77102252095184415e-06
 2.07741843629509333e+01, 2.10521362662795681e-04, 1.86205000484148320e+00, 5.18558754892719187e-01, 1.14917876160682144e-04, 2.77100601737498100e-06
 2.07770527011771726e+01, 2.10521966451810018e-04, 2.52398918867621402e+00, 5.18558808646872094e-01, 1.14920875943584936e-04, 2.77098938596264167e-06
 2.07799210394034120e+01, 2.10522585665614734e-04, 3.17711240858806843e+00, 5.18558862401881204e-01, 1.14923954791188492e-04, 2.77097268108502615e-06
 2.07847472443235084e+01, 2.10523662228498767e-04, 4.25589127208200768e+00, 5.18558952850776356e-01, 1.14929312994387458e-04, 2.77094438891665873e-06
 2.07929613056345097e+01, 2.10525593699811652e-04, 6.03310573314187604e+00, 5.18559106797197078e-01, 1.14938940950199190e-04, 2.77089574614073372e-06
 2.08011753669455111e+01, 2.10527648014708664e-04, 7.73530571682492063e+00, 5.18559260749265172e-01, 1.14949198595259405e-04, 2.77084705307854295e-06
 2.08093894282565124e+01, 2.10529821455454673e-04, 9.36232944997206928e+00, 5.18559414706045163e-01, 1.14960066881822018e-04, 2.77079898067670258e-06
 2.08230279464342054e+01, 2.10533678747718564e-04, 1.19016554446179637e+01, 5.18559670341112278e-01, 1.14979386489918911e-04, 2.77072093096044336e-06
 2.08366664646118984e+01, 2.10537822620211729e-04, 1.42460475905494945e+01, 5.18559925980212721e-01, 1.15000175190278818e-04, 2.77064597755874996e-06
 2.08503049827895914e+01, 2.10542223535670447e-04, 1.64069467022750324e+01, 5.18560181616830151e-01, 1.15022281622130846e-04, 2.77057462293084881e-06
 2.08639435009672845e+01, 2.10546851127369335e-04, 1.83978434742244197e+01, 5.18560437243735461e-01, 1.15045550171435896e-04, 2.77050702678515746e-06
 2.08850213415748982e+01, 2.10554381110551866e-04, 2.11732635899143062e+01, 5.18560832268552430e-01, 1.15083450008532631e-04, 2.77040983111059790e-06
 2.09060991821825120e+01, 2.10562282856281442e-04, 2.36284331946031187e+01, 5.18561227220990295e-01, 1.15123256164665830e-04, 2.77032095803965086e-06
 2.09271770227901257e+01, 2.10570468852502732e-04, 2.58123576300511530e+01, 5.18561622069008465e-01, 1.15164520177302163e-04, 2.77023973672510161e-06
 2.09597820131660235e+01, 2.10583523630475107e-04, 2.87550343937754391e+01, 5.18562232570847104e-01, 1.15230361959239877e-04, 2.77012744355427303e-06
 2.09923870035419213e+01, 2.10596865428151926e-04, 3.12873512765156647e+01, 5.18562842620048814e-01, 1.15297677454201831e-04, 2.77002947281410658e-06
 2.10000000000000000e+01, 2.10600002745756824e-04, 3.18315227619544707e+01, 5.18562984983121589e-01, 1.15313508822811249e-04, 2.77000853323023508e-06
 2.10038610850897918e+01, 2.10601598555798796e-04, 3.19067903665443886e+01, 5.18563057168593300e-01, 1.15321561953834366e-04, 2.76999440011950212e-06
 2.10077221701795835e+01, 2.10603199171874024e-04, 3.19787615514265156e+01, 5.18563129345416041e-01, 1.15329639760998009e-04, 2.76997777205326609e-06
 2.10182850780820836e+01, 2.10607616844477215e-04, 3.21602596596711834e+01, 5.18563326756388610e-01, 1.15351937664502291e-04, 2.76992529946613316e-06
 2.10288479859845836e+01, 2.10612100034344004e-04, 3.23226277047961332e+01, 5.18563524102512829e-01, 1.15374571734372462e-04, 2.76986766456286817e-06
 2.10394108938870836e+01, 2.10616665779672771e-04, 3.24658934074999408e+01, 5.18563721372976349e-01, 1.15397629344961514e-04, 2.76980744560537354e-06
 2.10568250000562180e+01, 2.10624395047143701e-04, 3.26646262646651664e+01, 5.18564046402670620e-01, 1.15436679369607090e-04, 2.76970672230985477e-06
 2.10742391062253525e+01, 2.10632377100852889e-04, 3.28216149351007758e+01, 5.18564371168414917e-01, 1.15477026359605111e-04, 2.76960521147783508e-06
 2.10916532123944869e+01, 2.10640608114103401e-04, 3.29427103243576198e+01, 5.18564695636423934e-01, 1.15518650810776934e-04, 2.76950355417157530e-06
 2.11090673185636213e+01, 2.10649080350397135e-04, 3.30331170112459063e+01, 5.18565019770977575e-01, 1.15561513177954219e-04, 2.76940179313854383e-06
 2.11404158048632098e+01, 2.10664912661068357e-04, 3.31329715089285912e+01, 5.18565602302491269e-01, 1.15641654055160143e-04, 2.76921827525424711e-06
 2.11717642911627983e+01, 2.10681461162183416e-04, 3.31667628883969456e+01, 5.18566183409384984e-01, 1.15725471724605674e-04, 2.76903384116504598e-06
 2.12031127774623869e+01, 2.10698690235172344e-04, 3.31506562860529996e+01, 5.18566762845560136e-01, 1.15812784315325124e-04, 2.76884893558435259e-06
 2.12344612637619754e+01, 2.10716566627913379e-04, 3.30970967584622713e+01, 5.18567340340941096e-01, 1.15903422123319539e-04, 2.76866376855824651e-06
 2.12658097500615639e+01, 2.10735060998730488e-04, 3.30148147603400943e+01, 5.18567915611081842e-01, 1.15997235511451643e-04, 2.76847834489661365e-06
 2.12971582363611525e+01, 2.10754147792298184e-04, 3.29099104419468986e+01, 5.18568488358310820e-01, 1.16094094272560451e-04, 2.76829274576854568e-06
 2.13285067226607410e+01, 2.10773804255867859e-04, 3.27867971886882827e+01, 5.18569058271120542e-01, 1.16193882587533619e-04, 2.76810709053578001e-06
 2.13598552089603295e+01, 2.10794009767140264e-04, 3.26487794522883874e+01, 5.18569625023781566e-01, 1.16296495580430818e-04, 2.76792143835285429e-06
 2.13912036952599180e+01, 2.10814745805150091e-04, 3.24983778807161912e+01, 5.18570188276298749e-01, 1.16401839170092680e-04, 2.76773577926880598e-06
 2.14225521815595066e+01, 2.10835996133130528e-04, 3.23375293894389273e+01, 5.18570747674532040e-01, 1.16509831008765726e-04, 2.76755006898012227e-06
 2.14539006678590951e+01, 2.10857746824306177e-04, 3.21677298967653513e+01, 5.18571302850349025e-01, 1.16620400615485682e-04, 2.76736425165796798e-06
 2.14852491541586836e+01, 2.10879986111320013e-04, 3.19901444099451027e+01, 5.18571853421733842e-01, 1.16733488605179491e-04, 2.76717826473192571e-06
 2.15331387586425116e+01, 2.10914881983974523e-04, 3.17057690308755440e+01, 5.18572684708673903e-01, 1.16911002694628557e-04, 2.76689363750805781e-06
