"environment.time","calcium.Ca_i","calcium.Ca_sr","membrane.V","ryr.J_serca","ryr.J_SRleak"
 0.00000000000000000e+00, 1.21748042307779974e-04, 3.50232419331586498e-01,-7.92094109641205648e+01, 2.04072146075694557e-04, 2.33974080301987829e-06
 1.30095825632630287e-02, 1.21747493292627109e-04, 3.50233103866393392e-01,-7.92094143141641496e+01, 2.04069981012503383e-04, 2.33974538110031284e-06
 2.60191651265260573e-02, 1.21746944395370496e-04, 3.50233789261386097e-01,-7.92094176653931186e+01, 2.04067816370628619e-04, 2.33974996494125202e-06
 5.15203270822836498e-02, 1.21745868909129158e-04, 3.50235133145921862e-01,-7.92094242353070257e+01, 2.04063575038410512e-04, 2.33975895267062753e-06
 1.00875245392382767e-01, 1.21743788866964024e-04, 3.50237734057591399e-01,-7.92094369498837381e+01, 2.04055372101898228e-04, 2.33977634722174125e-06
 2.24895861721133961e-01, 1.21738568414773440e-04, 3.50244268766873312e-01,-7.92094688896781918e+01, 2.04034784717220828e-04, 2.33982005047451391e-06
 6.94761851065317071e-01, 1.21718832035031845e-04, 3.50269012369419985e-01,-7.92095897519701140e+01, 2.03956957537593795e-04, 2.33998553228823946e-06
 3.96841604472045084e+00, 1.21582311351968542e-04, 3.50440735458518116e-01,-7.92104249622560559e+01, 2.03418895347291231e-04, 2.34113399022866816e-06
 9.66470804604646716e+00, 1.21347524965098453e-04, 3.50737557845846426e-01,-7.92118582016795472e+01, 2.02494751588215875e-04, 2.34311908600966004e-06
 2.00000000000000000e+01, 1.20930594950851940e-04, 3.51269678231491522e-01,-7.92143938918089674e+01, 2.00857429130550435e-04, 2.34667778936003741e-06
 2.00008923824658247e+01, 1.20930558699622952e-04, 3.51269711165047793e-01,-7.91340843600862058e+01, 2.00857287690952988e-04, 2.34667800604159140e-06
 2.00017847649316494e+01, 1.20930522455814989e-04, 3.51269746620429313e-01,-7.90537794582491955e+01, 2.00857146147954908e-04, 2.34667823631502357e-06
 2.00037844417943340e+01, 1.20930441278403882e-04, 3.51269832284032191e-01,-7.88738451517873358e+01, 2.00856828798476046e-04, 2.34667878439364038e-06
 2.00057841186570187e+01, 1.20930360168551893e-04, 3.51269924046635984e-01,-7.86939309155246178e+01, 2.00856511390231800e-04, 2.34667936230812031e-06
 2.00088069466020677e+01, 1.20930237746189065e-04, 3.51270070212286900e-01,-7.84220029844605904e+01, 2.00856031912252669e-04, 2.34668026795696555e-06
 2.00118297745471168e+01, 1.20930115593224834e-04, 3.51270221848321240e-01,-7.81501236454927835e+01, 2.00855553186573752e-04, 2.34668119306257560e-06
 2.00148526024921658e+01, 1.20929993753006961e-04, 3.51270376093675007e-01,-7.78782918900810870e+01, 2.00855075530060614e-04, 2.34668212294392427e-06
 2.00204213970986586e+01, 1.20929770212340772e-04, 3.51270662553477164e-01,-7.73776306060833576e+01, 2.00854198991719788e-04, 2.34668382938074979e-06
 2.00259901917051515e+01, 1.20929547946180597e-04, 3.51270949722534753e-01,-7.68771181431781372e+01, 2.00853327329738641e-04, 2.34668552171382072e-06
 2.00345512488476274e+01, 1.20929208865351928e-04, 3.51271391083694373e-01,-7.61079371134321718e+01, 2.00851997387032765e-04, 2.34668810191151317e-06
 2.00431123059901033e+01, 1.20928873042422784e-04, 3.51271831837278281e-01,-7.53390571112548741e+01, 2.00850680035599314e-04, 2.34669066470826262e-06
 2.00516733631325792e+01, 1.20928540499875276e-04, 3.51272272474044300e-01,-7.45704491732337118e+01, 2.00849375336290030e-04, 2.34669321738618453e-06
 2.00602344202750551e+01, 1.20928211227031246e-04, 3.51272713289918381e-01,-7.38020856808847441e+01, 2.00848083232358152e-04, 2.34669576165364018e-06
 2.00687954774175310e+01, 1.20927885213042952e-04, 3.51273154226819206e-01,-7.30339403723103828e+01, 2.00846803684940180e-04, 2.34669829645938459e-06
 2.01018034207485812e+01, 1.20926658731918067e-04, 3.51274854312096985e-01,-7.00738975757066385e+01, 2.00841987830722247e-04, 2.34670797130325571e-06
 2.01272764345466832e+01, 1.20925745289592355e-04, 3.51276166154598668e-01,-6.77906636697791782e+01, 2.00838398780125706e-04, 2.34671532106428801e-06
 2.01527494483447853e+01, 1.20924860759041513e-04, 3.51277477983274578e-01,-6.55076256570732198e+01, 2.00834921178329195e-04, 2.34672255770668117e-06
 2.01782224621428874e+01, 1.20924005385147917e-04, 3.51278789803233460e-01,-6.32238009168412489e+01, 2.00831555966504553e-04, 2.34672966329477259e-06
 2.02036954759409895e+01, 1.20923179575538068e-04, 3.51280101590258853e-01,-6.09374670447705711e+01, 2.00828304714603195e-04, 2.34673661288864614e-06
 2.02291684897390915e+01, 1.20922383953333596e-04, 3.51281413340481186e-01,-5.86452880167408424e+01, 2.00825169822031643e-04, 2.34674337291413332e-06
 2.02546415035371936e+01, 1.20921619441081778e-04, 3.51282725057305345e-01,-5.63407079497591852e+01, 2.00822154841767496e-04, 2.34674989715960554e-06
 2.02801145173352957e+01, 1.20920887406699164e-04, 3.51284036741987049e-01,-5.40111295503630231e+01, 2.00819265043261240e-04, 2.34675612054577360e-06
 2.03055875311333978e+01, 1.20920189918697618e-04, 3.51285348394545505e-01,-5.16331739827306961e+01, 2.00816508395933570e-04, 2.34676194921324484e-06
 2.03310605449314998e+01, 1.20919530188215039e-04, 3.51286660015213748e-01,-4.91650089138952779e+01, 2.00813897272518509e-04, 2.34676724339986053e-06
 2.03565335587296019e+01, 1.20918913334472421e-04, 3.51287971604438698e-01,-4.65342296867497112e+01, 2.00811451398844721e-04, 2.34677178575970274e-06
 2.03820065725277040e+01, 1.20918347727562222e-04, 3.51289283162704191e-01,-4.36189491128230387e+01, 2.00809203028442075e-04, 2.34677521805575702e-06
 2.04074795863258061e+01, 1.20917847418496141e-04, 3.51290594690598701e-01,-4.02190097065661121e+01, 2.00807206307031277e-04, 2.34677690135491240e-06
 2.04329526001239081e+01, 1.20917436773017284e-04, 3.51291906189010683e-01,-3.60189066080941345e+01, 2.00805555129549587e-04, 2.34677556619669101e-06
 2.04488859592535910e+01, 1.20917240694934478e-04, 3.51292726516209464e-01,-3.27936504040061578e+01, 2.00804756550424424e-04, 2.34677289080547565e-06
 2.04648193183832738e+01, 1.20917108588362323e-04, 3.51293546832848136e-01,-2.89231014732391429e+01, 2.00804204498322285e-04, 2.34676745809806654e-06
 2.04807526775129567e+01, 1.20917064317270579e-04, 3.51294367139816599e-01,-2.42308014630108026e+01, 2.00803990936423678e-04, 2.34675645861532448e-06
 2.04898181584661963e+01, 1.20917089275561330e-04, 3.51294833859566280e-01,-2.11349937215372208e+01, 2.00804062677699684e-04, 2.34674819684260661e-06
 2.04988836394194358e+01, 1.20917159655531018e-04, 3.51295300576669356e-01,-1.77037167786782419e+01, 2.00804309459597688e-04, 2.34673737354690065e-06
 2.05000000000000000e+01, 1.20917171888073702e-04, 3.51295358049961481e-01,-1.72576980653135301e+01, 2.00804353590274123e-04, 2.34673584075274537e-06
 2.05011625454124378e+01, 1.20917185904487315e-04, 3.51295417900915230e-01,-1.68885384095555970e+01, 2.00804404470913506e-04, 2.34673421700833760e-06
 2.05023250908248755e+01, 1.20917200824607142e-04, 3.51295477751830787e-01,-1.65133438141713960e+01, 2.00804458834154221e-04, 2.34673251324288713e-06
 2.05057988219112630e+01, 1.20917250921406531e-04, 3.51295656588486715e-01,-1.53567448682742889e+01, 2.00804642526348083e-04, 2.34672698105157272e-06
 2.05092725529976505e+01, 1.20917308613569007e-04, 3.51295835424863812e-01,-1.41535086470947569e+01, 2.00804855488745420e-04, 2.34672090053737286e-06
 2.05127462840840380e+01, 1.20917374908844822e-04, 3.51296014260945921e-01,-1.29010366518394655e+01, 2.00805101604938573e-04, 2.34671427309535422e-06
 2.05162200151704255e+01, 1.20917450501617288e-04, 3.51296193096729881e-01,-1.15998465602999534e+01, 2.00805383550915474e-04, 2.34670711289061733e-06
 2.05196937462568130e+01, 1.20917536004433283e-04, 3.51296371932216078e-01,-1.02518073601221076e+01, 2.00805703687305338e-04, 2.34669943369113386e-06
 2.05251798578621951e+01, 1.20917692474923710e-04, 3.51296654368971006e-01,-8.03321783313289117e+00, 2.00806291886419265e-04, 2.34668629141346881e-06
 2.05306659694675773e+01, 1.20917877167401724e-04, 3.51296936804984195e-01,-5.71601401178706148e+00, 2.00806988845356307e-04, 2.34667198625170361e-06
 2.05361520810729594e+01, 1.20918092437928009e-04, 3.51297219240245207e-01,-3.31648813439826728e+00, 2.00807803644155106e-04, 2.34665664686459404e-06
 2.05416381926783416e+01, 1.20918340321927415e-04, 3.51297501674728230e-01,-8.53039118831478316e-01, 2.00808744127357273e-04, 2.34664043622013099e-06
 2.05471243042837237e+01, 1.20918622383733984e-04, 3.51297784108389188e-01, 1.65501252800905663e+00, 2.00809816324205425e-04, 2.34662356615519830e-06
 2.05526104158891059e+01, 1.20918939741715769e-04, 3.51298066541162746e-01, 4.18784146384389100e+00, 2.00811024545465526e-04, 2.34660631837296635e-06
 2.05580965274944880e+01, 1.20919293052251288e-04, 3.51298348972961083e-01, 6.72553157267409496e+00, 2.00812371321668510e-04, 2.34658903551920392e-06
 2.05635826390998702e+01, 1.20919682432313674e-04, 3.51298631403675454e-01, 9.24870329225766241e+00, 2.00813857104754239e-04, 2.34657207989722828e-06
 2.05722277281363297e+01, 1.20920367547643282e-04, 3.51299076459309301e-01, 1.31527751465330134e+01, 2.00816474072243575e-04, 2.34654690233135547e-06
 2.05808728171727893e+01, 1.20921135903076814e-04, 3.51299521511409363e-01, 1.69152275971512012e+01, 2.00819411844484436e-04, 2.34652437481365308e-06
 2.05895179062092488e+01, 1.20921980275453072e-04, 3.51299966559464716e-01, 2.04868862161871057e+01, 2.00822642590493805e-04, 2.34650489566179401e-06
 2.05981629952457084e+01, 1.20922891607934516e-04, 3.51300411602999518e-01, 2.38334767733126043e+01, 2.00826131412392800e-04, 2.34648846563619743e-06
 2.06068080842821679e+01, 1.20923860186249955e-04, 3.51300856641585391e-01, 2.69352409320931194e+01, 2.00829840878078645e-04, 2.34647488256203521e-06
 2.06154531733186275e+01, 1.20924876536712214e-04, 3.51301301674843469e-01, 2.97847552819320036e+01, 2.00833734481833758e-04, 2.34646379111480340e-06
 2.06285884266901007e+01, 1.20926493088083616e-04, 3.51301977842556012e-01, 3.36371974880359019e+01, 2.00839929157578426e-04, 2.34645057641544231e-06
 2.06417236800615740e+01, 1.20928174547955183e-04, 3.51302653996213410e-01, 3.69458177577394267e+01, 2.00846374070660482e-04, 2.34643971639593133e-06
 2.06548589334330472e+01, 1.20929901430703079e-04, 3.51303330134844216e-01, 3.97690130908715247e+01, 2.00852994132177899e-04, 2.34642998972180414e-06
 2.06679941868045205e+01, 1.20931659520405138e-04, 3.51304006257360080e-01, 4.21703530519986813e+01, 2.00859734559468410e-04, 2.34642091000829069e-06
 2.06811294401759938e+01, 1.20933437931216304e-04, 3.51304682362535592e-01, 4.42130046301139501e+01, 2.00866553401665352e-04, 2.34641209715064718e-06
 2.06942646935474670e+01, 1.20935228152502878e-04, 3.51305358449023275e-01, 4.59512524094391424e+01, 2.00873417860223730e-04, 2.34640304659177060e-06
