"environment.time","Ca_Concentrations.Ca_i","I_Ca.I_Ca_tot","membrane.I_tot","membrane.V","SR_Ca_Concentrations.Ca_sr","SR_Fluxes.J_SRCarel","SR_Fluxes.Ry_Ro"
 0.00000000000000000e+00, 1.75640855056246773e-04,-1.24340394209046870e-03, 1.49424293658115270e-03,-7.52944382901814748e+01, 4.90770991452730510e-01, 1.94473528970742560e-05, 1.58598614877625242e-06
 1.04312585742521099e-01, 1.75633068207039833e-04,-1.24337634428537541e-03, 1.49367900281932586e-03,-7.52945940997030050e+01, 4.90779405546428238e-01, 1.94475961515756877e-05, 1.58597876315323830e-06
 4.17710056447749167e-01, 1.75609449989191653e-04,-1.24329227079383355e-03, 1.49224386542678999e-03,-7.52950617651723491e+01, 4.90804241351101289e-01, 1.94483098934849416e-05, 1.58595661483803142e-06
 2.26510904548317393e+00, 1.75469878501703468e-04,-1.24279144458157688e-03, 1.48397246841364128e-03,-7.52978032538120203e+01, 4.90950186997838267e-01, 1.94525139880140218e-05, 1.58582731007768530e-06
 1.33500390391224073e+01, 1.74652333786866440e-04,-1.23987453464369972e-03, 1.43739836286024825e-03,-7.53137367162344447e+01, 4.91810955801743166e-01, 1.94776128224603902e-05, 1.58509097272697804e-06
 2.00000000000000000e+01, 1.74173028462885600e-04,-1.23817792203454510e-03, 1.41025989282034248e-03,-7.53230259358227130e+01, 4.92319751156750196e-01, 1.94926075635391711e-05, 1.58466987332941972e-06
 2.00008744032692469e+01, 1.74172964436534756e-04,-1.23748957368457709e-03, 2.61239699869059150e-03,-7.52793080566487447e+01, 4.92319804304549191e-01, 1.94926089686430351e-05, 1.58466981733865196e-06
 2.00017488065384939e+01, 1.74172900419040298e-04,-1.23681963069497661e-03, 3.80632044481341025e-03,-7.52355912214543565e+01, 4.92319860082022165e-01, 1.94926104702082918e-05, 1.58466976171083677e-06
 2.00037141327142010e+01, 1.74172756577553237e-04,-1.23537610163903752e-03, 6.46200989069231624e-03,-7.51373358728680643e+01, 4.92319992040481491e-01, 1.94926140949976812e-05, 1.58466963867193559e-06
 2.00056794588899081e+01, 1.74172612814345383e-04,-1.23401589352488969e-03, 9.08109554246858131e-03,-7.50390851157473548e+01, 4.92320130540813583e-01, 1.94926179809350633e-05, 1.58466951918290228e-06
 2.00086369493724021e+01, 1.74172396687410322e-04,-1.23214303942988253e-03, 1.29552320402017973e-02,-7.48912433542051730e+01, 4.92320347063556818e-01, 1.94926242052477851e-05, 1.58466934944158213e-06
 2.00115944398548962e+01, 1.74172180861935317e-04,-1.23048255074763627e-03, 1.67515588065903498e-02,-7.47434127793153777e+01, 4.92320569636812033e-01, 1.94926307834825410e-05, 1.58466919438918824e-06
 2.00145519303373902e+01, 1.74171965382787257e-04,-1.22903786703943731e-03, 2.04728897714299973e-02,-7.45955932694725306e+01, 4.92320795201401762e-01, 1.94926376440543881e-05, 1.58466905673267527e-06
 2.00201367908487029e+01, 1.74171559525617011e-04,-1.22690728130429535e-03, 2.73034463860819532e-02,-7.43164835948766154e+01, 4.92321224032837956e-01, 1.94926512935412769e-05, 1.58466885146471428e-06
 2.00257216513600156e+01, 1.74171155120298615e-04,-1.22556770789284926e-03, 3.38818484625594274e-02,-7.40374114134008039e+01, 4.92321653886528987e-01, 1.94926658636555502e-05, 1.58466872440013973e-06
 2.00313065118713283e+01, 1.74170752224520758e-04,-1.22503307263163285e-03, 4.02126304173068549e-02,-7.37583753636684634e+01, 4.92322083505715768e-01, 1.94926814149432960e-05, 1.58466868178200500e-06
 2.00368913723826410e+01, 1.74170350857128420e-04,-1.22531875707961339e-03, 4.62967717015559943e-02,-7.34793740280427841e+01, 4.92322512884553753e-01, 1.94926980156661167e-05, 1.58466872771733484e-06
 2.00424762328939536e+01, 1.74169951014094493e-04,-1.22644082704830926e-03, 5.21317214720230238e-02,-7.32004059878296260e+01, 4.92322942253128337e-01, 1.94927157143876774e-05, 1.58466886482001405e-06
 2.00480610934052663e+01, 1.74169552683072843e-04,-1.22841603473992228e-03, 5.77125969385833548e-02,-7.29214698217060970e+01, 4.92323371696386236e-01, 1.94927345406395786e-05, 1.58466909502308256e-06
 2.00594556742935133e+01, 1.74168744594588993e-04,-1.23521330951224004e-03, 6.82830508375575906e-02,-7.23524572402105832e+01, 4.92324247944013749e-01, 1.94927765672959713e-05, 1.58466986341248990e-06
 2.00852117007710511e+01, 1.74166940225309758e-04,-1.26538232636538568e-03, 8.77324286939480669e-02,-7.10666437858578917e+01, 4.92326228583977732e-01, 1.94928904892694292e-05, 1.58467316319785694e-06
 2.01109677272485889e+01, 1.74165165954299426e-04,-1.31749701015700148e-03, 9.96781615781124897e-02,-6.97812172440039404e+01, 4.92328209167684328e-01, 1.94930320362876932e-05, 1.58467874364632057e-06
 2.01367237537261268e+01, 1.74163420825189358e-04,-1.39423074177211378e-03, 1.01306712712784824e-01,-6.84959484803389813e+01, 4.92330189658983397e-01, 1.94932033537210501e-05, 1.58468678175929606e-06
 2.01624797802036646e+01, 1.74161703998470510e-04,-1.49897625245096655e-03, 8.78515355196999304e-02,-6.72105023022036505e+01, 4.92332170070706843e-01, 1.94934068417380072e-05, 1.58469747619804774e-06
 2.01882358066812024e+01, 1.74160014792567913e-04,-1.63589355553283590e-03, 5.17300322912020438e-02,-6.59243778260205886e+01, 4.92334150408680116e-01, 1.94936451710983131e-05, 1.58471104856194717e-06
 2.02139918331587403e+01, 1.74158352699238950e-04,-1.81001924426468677e-03,-1.85392881122873887e-02,-6.46368217000066494e+01, 4.92336130674024541e-01, 1.94939213303040322e-05, 1.58472774728411307e-06
 2.02397478596362781e+01, 1.74156717394340158e-04,-2.02742018335075585e-03,-1.39638958235670241e-01,-6.33467098786004073e+01, 4.92338110867107548e-01, 1.94942386907122048e-05, 1.58474785311278148e-06
 2.02655038861138159e+01, 1.74155108752586013e-04,-2.29539535331125524e-03,-3.34954403725315930e-01,-6.20523930978787988e+01, 4.92340090988362400e-01, 1.94946010892097750e-05, 1.58477168610715967e-06
 2.02912599125913538e+01, 1.74153526870385561e-04,-2.62274147117052842e-03,-6.36244218527367233e-01,-6.07515016070750491e+01, 4.92342071038248674e-01, 1.94950129317444260e-05, 1.58479961441146291e-06
 2.03170159390688916e+01, 1.74151972099671802e-04,-3.02010946159223664e-03,-1.08545390576427869e+00,-5.94407052883290774e+01, 4.92344051017195417e-01, 1.94954793233065154e-05, 1.58483206528838762e-06
 2.03427719655464294e+01, 1.74150445095744202e-04,-3.50049407273427980e-03,-1.73668067172353879e+00,-5.81154253440779200e+01, 4.92346030925591649e-01, 1.94960062326484181e-05, 1.58486953913081958e-06
 2.03685279920239672e+01, 1.74148946882832830e-04,-4.07992155896493014e-03,-2.65835949218097856e+00,-5.67694925220084983e+01, 4.92348010763789423e-01, 1.94966007037310991e-05, 1.58491262749328300e-06
 2.03942840185015051e+01, 1.74147478942293253e-04,-4.77843544888058649e-03,-3.93583425166777134e+00,-5.53947436337240831e+01, 4.92349990532108428e-01, 1.94972711313482958e-05, 1.58496203666292568e-06
 2.04200400449790429e+01, 1.74146043330271116e-04,-5.62153647156214426e-03,-5.67460509029776006e+00,-5.39805421027106220e+01, 4.92351970230839542e-01, 1.94980276267714001e-05, 1.58501861902820679e-06
 2.04457960714565807e+01, 1.74144642834787183e-04,-6.64232488174699726e-03,-8.00471680143020592e+00,-5.25131984202731203e+01, 4.92353949860250051e-01, 1.94988825125149654e-05, 1.58508341567357516e-06
 2.04715520979341186e+01, 1.74143281179755236e-04,-7.88481420906260964e-03,-1.10896195670759425e+01,-5.09751780851120415e+01, 4.92355929420589755e-01, 1.94998509585749241e-05, 1.58515771035991975e-06
 2.04973081244116564e+01, 1.74141963341178176e-04,-9.40875387251487172e-03,-1.51283151724145508e+01,-4.93443213094025239e+01, 4.92357908912098685e-01, 1.95009520956785790e-05, 1.58524313116148847e-06
 2.05000000000000000e+01, 1.74141828517339613e-04,-9.59014950091325279e-03,-1.56162036025188122e+01,-4.91668816993190845e+01, 4.92358115793501971e-01, 1.95010762396539758e-05, 1.58525282009060420e-06
 2.05036593648731973e+01, 1.74141645854674319e-04,-9.86317849220934642e-03,-1.63117177367529038e+01,-4.91071911724117811e+01, 4.92358397028392902e-01, 1.95012477083698531e-05, 1.58526620189589467e-06
 2.05073187297463946e+01, 1.74141463719550008e-04,-1.01366695231527321e-02,-1.70150917559906070e+01,-4.90449255700931417e+01, 4.92358678261882676e-01, 1.95014223776868712e-05, 1.58527984078761721e-06
 2.05162925873463493e+01, 1.74141018593120721e-04,-1.08097566254853148e-02,-1.87756681124526459e+01,-4.88817008297491142e+01, 4.92359367924940228e-01, 1.95018633918828958e-05, 1.58531431390802761e-06
 2.05252664449463040e+01, 1.74140575148550025e-04,-1.14866353471477032e-02,-2.05896275499433514e+01,-4.87041045462525588e+01, 4.92360057580522370e-01, 1.95023212553251888e-05, 1.58535015923982154e-06
 2.05342403025462588e+01, 1.74140133373706756e-04,-1.21692375655259033e-02,-2.24518374773761415e+01,-4.85105888287011027e+01, 4.92360747227957973e-01, 1.95027974489394840e-05, 1.58538750400735890e-06
 2.05494883394247516e+01, 1.74139387055584246e-04,-1.33493870765191772e-02,-2.57334681766856654e+01,-4.81425462707101701e+01, 4.92361919031109319e-01, 1.95036509217256958e-05, 1.58545460182563378e-06
 2.05647363763032445e+01, 1.74138647071940929e-04,-1.45616712120522039e-02,-2.91718088002798588e+01,-4.77234599746854897e+01, 4.92363090809495862e-01, 1.95045618344992275e-05, 1.58552642853086630e-06
 2.05882078190478452e+01, 1.74137523117350046e-04,-1.65112326902509196e-02,-3.48159820840433412e+01,-4.69733910331648090e+01, 4.92364894489734417e-01, 1.95060814355436512e-05, 1.58564668058829301e-06
 2.06116792617924460e+01, 1.74136422396225772e-04,-1.86027179190905931e-02,-4.10015059435818614e+01,-4.60858472768781482e+01, 4.92366698109899747e-01, 1.95077532478455279e-05, 1.58577952544606351e-06
 2.06351507045370468e+01, 1.74135351732755781e-04,-2.09006065365071221e-02,-4.79184800001774249e+01,-4.50447200848277731e+01, 4.92368501669243230e-01, 1.95095924829646325e-05, 1.58592626960906310e-06
 2.06586221472816476e+01, 1.74134318958614535e-04,-2.34888348387318723e-02,-5.57947505021526737e+01,-4.38295504738943862e+01, 4.92370305167179112e-01, 1.95116188413535208e-05, 1.58608860691463053e-06
