"environment.time","Ca_Concentrations.Ca_i","I_Ca.I_Ca_tot","membrane.I_tot","membrane.V","SR_Ca_Concentrations.Ca_sr","SR_Fluxes.J_SRCarel","SR_Fluxes.Ry_Ro"
 0.00000000000000000e+00, 2.03380807808370374e-04,-1.31697745372458589e-03, 7.03744488363078347e-04,-7.49046060299596377e+01, 4.91974353381423257e-01, 2.21098504357215913e-05, 1.79877738654965128e-06
 8.24257631998897011e-02, 2.03378790625770544e-04,-1.31696973431832259e-03, 7.03297897083399182e-04,-7.49046639998293529e+01, 4.91976518817221320e-01, 2.21099157650664711e-05, 1.79877477346903910e-06
 2.89271755848087286e-01, 2.03373514335186494e-04,-1.31694752163207408e-03, 7.02679118913945855e-04,-7.49048093461972826e+01, 4.91981396698469409e-01, 2.21100548760508843e-05, 1.79876822937193078e-06
 1.19359131744679070e+00, 2.03349666556908756e-04,-1.31683312180643484e-03, 7.00121943233766864e-04,-7.49054424801790333e+01, 4.92002615435551127e-01, 2.21106599855527440e-05, 1.79873976164117912e-06
 8.81700613996720506e+00, 2.03152035843667128e-04,-1.31583132668353455e-03, 6.79932682209616335e-04,-7.49106258426535732e+01, 4.92177113588922133e-01, 2.21156226021553146e-05, 1.79850462884858458e-06
 2.00000000000000000e+01, 2.02873398258810242e-04,-1.31442090665207802e-03, 6.51879821173623197e-04,-7.49179034327056712e+01, 4.92423697800100535e-01, 2.21225618797197799e-05, 1.79816667851228916e-06
 2.00008841104356385e+01, 2.02873376191236074e-04,-1.31367855703349115e-03, 1.82796879713328919e-03,-7.48736995270499932e+01, 4.92423717095431812e-01, 2.21225624036765666e-05, 1.79816665202545349e-06
 2.00017682208712770e+01, 2.02873354134575784e-04,-1.31295606251242828e-03, 2.99512964228626499e-03,-7.48294966533042611e+01, 4.92423736433923287e-01, 2.21225629186991310e-05, 1.79816662601392083e-06
 2.00037766967145636e+01, 2.02873304087244596e-04,-1.31138334287986074e-03, 5.61611150636773249e-03,-7.47290823862467590e+01, 4.92423780475958139e-01, 2.21225640763198696e-05, 1.79816656958458589e-06
 2.00057851725578502e+01, 2.02873254144638989e-04,-1.30990246089864319e-03, 8.19708512884007034e-03,-7.46286727449553382e+01, 4.92423824626347484e-01, 2.21225652390078405e-05, 1.79816651789744663e-06
 2.00077936484011367e+01, 2.02873204343394318e-04,-1.30852153898653161e-03, 1.07386743514256422e-02,-7.45282680485990596e+01, 4.92423868856493696e-01, 2.21225664325033620e-05, 1.79816647273316771e-06
 2.00117497626032268e+01, 2.02873106794564573e-04,-1.30610708739689694e-03, 1.56366031407485229e-02,-7.43305145421450248e+01, 4.92423956092742976e-01, 2.21225689934354599e-05, 1.79816640981855635e-06
 2.00157058768053169e+01, 2.02873010050318278e-04,-1.30410060773888405e-03, 2.03951950084240441e-02,-7.41327800198268818e+01, 4.92424043418813351e-01, 2.21225719238559603e-05, 1.79816638633060737e-06
 2.00235285079350014e+01, 2.02872821438876872e-04,-1.30135797592669552e-03, 2.94148344858886079e-02,-7.37418431124218330e+01, 4.92424216164951800e-01, 2.21225792013099565e-05, 1.79816647742732266e-06
 2.00313511390646859e+01, 2.02872636606267503e-04,-1.30026986553327477e-03, 3.79253273122146517e-02,-7.33509748978692926e+01, 4.92424388922235168e-01, 2.21225887850740638e-05, 1.79816676974917930e-06
 2.00391737701943704e+01, 2.02872455671551129e-04,-1.30087790976146037e-03, 4.59318913422778474e-02,-7.29601715396331798e+01, 4.92424561662029636e-01, 2.21226009580472137e-05, 1.79816727945781495e-06
 2.00469964013240549e+01, 2.02872278634984868e-04,-1.30322971128289623e-03, 5.34269097444553809e-02,-7.25694289682717084e+01, 4.92424734391863350e-01, 2.21226158745356750e-05, 1.79816801626168026e-06
 2.00548190324537394e+01, 2.02872105443801306e-04,-1.30737620728680367e-03, 6.03890755679412916e-02,-7.21787429851497393e+01, 4.92424907119581257e-01, 2.21226336156852211e-05, 1.79816898621615194e-06
 2.00626416635834239e+01, 2.02871936037915746e-04,-1.31337157927784924e-03, 6.67877011170635027e-02,-7.17881092377369043e+01, 4.92425079845907221e-01, 2.21226542414730182e-05, 1.79817019434983041e-06
 2.00767801843079745e+01, 2.02871639239272223e-04,-1.32919483909178511e-03, 7.67991315905233729e-02,-7.10821950056911618e+01, 4.92425392019940789e-01, 2.21226991184365357e-05, 1.79817300540430662e-06
 2.01014075762148607e+01, 2.02871150370049775e-04,-1.37335175746601209e-03, 8.86193447429107772e-02,-6.98528362041317621e+01, 4.92425935755190614e-01, 2.21228018650122283e-05, 1.79817993060367470e-06
 2.01260349681217470e+01, 2.02870696354512099e-04,-1.44026211961614911e-03, 9.11058822289539105e-02,-6.86236335641598743e+01, 4.92426479453721810e-01, 2.21229374474433612e-05, 1.79818956598958091e-06
 2.01506623600286332e+01, 2.02870276127587308e-04,-1.53272962648164199e-03, 8.02091660745782309e-02,-6.73943049690116851e+01, 4.92427023116904394e-01, 2.21231081611239153e-05, 1.79820210135995861e-06
 2.01752897519355194e+01, 2.02869888755645412e-04,-1.65424279179747936e-03, 4.95730163629205245e-02,-6.61644323209756209e+01, 4.92427566746238110e-01, 2.21233165657085374e-05, 1.79821774903516807e-06
 2.01999171438424057e+01, 2.02869533474713947e-04,-1.80902378110284873e-03,-1.03188195824221174e-02,-6.49333958387499877e+01, 4.92428110343088421e-01, 2.21235655032235144e-05, 1.79823674528604788e-06
 2.02245445357492919e+01, 2.02869209706764539e-04,-2.00213401458203440e-03,-1.13164761626503477e-01,-6.37002835601451665e+01, 4.92428653908731251e-01, 2.21238581458777508e-05, 1.79825935434665728e-06
 2.02491719276561781e+01, 2.02868917073321128e-04,-2.23962244892479028e-03,-2.78026809523887863e-01,-6.24637731246485330e+01, 4.92429197444383404e-01, 2.21241980622688023e-05, 1.79828587402804844e-06
 2.02737993195630644e+01, 2.02868655414203334e-04,-2.52872138595408059e-03,-5.30650899171953849e-01,-6.12219826201062745e+01, 4.92429740951211892e-01, 2.21245893014322036e-05, 1.79831664286337795e-06
 2.02984267114699506e+01, 2.02868424815276337e-04,-2.87810571365596131e-03,-9.04905638586207650e-01,-5.99722875467608176e+01, 4.92430284430340592e-01, 2.21250364979542077e-05, 1.79835204905708857e-06
 2.03230541033768368e+01, 2.02868225648083805e-04,-3.29824224265027081e-03,-1.44433624176802322e+00,-5.87111010838142064e+01, 4.92430827882857747e-01, 2.21255450037862846e-05, 1.79839254172799978e-06
 2.03476814952837231e+01, 2.02868058624354296e-04,-3.80187002707326697e-03,-2.20386870969135495e+00,-5.74336142883085827e+01, 4.92431371309825727e-01, 2.21261210550336743e-05, 1.79843864516739733e-06
 2.03723088871906093e+01, 2.02867924869029256e-04,-4.40467356578770446e-03,-3.25175879728277550e+00,-5.61334911058491528e+01, 4.92431914712292251e-01, 2.21267719855558315e-05, 1.79849097714646471e-06
 2.03969362790974955e+01, 2.02867826016626566e-04,-5.12624318622960026e-03,-4.67196155172012162e+00,-5.48025096191448924e+01, 4.92432458091304315e-01, 2.21275065044531188e-05, 1.79855027276989519e-06
 2.04215636710043817e+01, 2.02867764337627689e-04,-5.99146841318170913e-03,-6.56720539103138190e+00,-5.34301352063785373e+01, 4.92433001447925012e-01, 2.21283350625066086e-05, 1.79861741608120451e-06
 2.04461910629112680e+01, 2.02867742904570537e-04,-7.03259429694437586e-03,-9.06320536216867012e+00,-5.20030023535697410e+01, 4.92433544783255128e-01, 2.21292703451456782e-05, 1.79869348273821515e-06
 2.04708184548181542e+01, 2.02867765812332867e-04,-8.29231219965730418e-03,-1.23146752355656002e+01,-5.05042683002932620e+01, 4.92434088098459788e-01, 2.21303279495614111e-05, 1.79877979886715869e-06
 2.04954458467250404e+01, 2.02867838474901429e-04,-9.82850143094762645e-03,-1.65141459495048863e+01,-4.89127810859524672e+01, 4.92434631394802147e-01, 2.21315273365496056e-05, 1.79887802415975968e-06
 2.05000000000000000e+01, 2.02867858145354087e-04,-1.01534241694390074e-02,-1.74142163175906397e+01,-4.86054070320331633e+01, 4.92434731860483699e-01, 2.21317673693797114e-05, 1.79889772453756167e-06
 2.05038060350050522e+01, 2.02867875782646810e-04,-1.04573134463735468e-02,-1.82122792014448933e+01,-4.85360904598707705e+01, 4.92434815821729321e-01, 2.21319726429885490e-05, 1.79891455778305720e-06
 2.05076120700101043e+01, 2.02867894080820035e-04,-1.07620053605792521e-02,-1.90203693383442207e+01,-4.84636968617279322e+01, 4.92434899782554059e-01, 2.21321819884192186e-05, 1.79893171699192630e-06
 2.05166751322033534e+01, 2.02867939379484377e-04,-1.14912281236623798e-02,-2.09882656732555688e+01,-4.82794228476998342e+01, 4.92435099711357405e-01, 2.21326956416656032e-05, 1.79897380305995532e-06
 2.05257381943966024e+01, 2.02867986540535591e-04,-1.22261118392888897e-02,-2.30203967606030773e+01,-4.80788985988195634e+01, 4.92435299637972612e-01, 2.21332294194393376e-05, 1.79901752863796966e-06
 2.05348012565898514e+01, 2.02868035553210668e-04,-1.29691287603640425e-02,-2.51122050113496584e+01,-4.78603318342923814e+01, 4.92435499562172807e-01, 2.21337850986253997e-05, 1.79906304842523940e-06
 2.05497273180052495e+01, 2.02868121034760945e-04,-1.42188849980894871e-02,-2.86966825286766714e+01,-4.74579967608217359e+01, 4.92435828814062282e-01, 2.21347507212813925e-05, 1.79914217156145774e-06
