"environment.time","calcium.Ca_i","calcium.Ca_sr","membrane.V","ryr.J_serca","ryr.J_SRleak"
 0.00000000000000000e+00, 1.34623954874812712e-04, 5.14366057330247872e-01,-7.58462032295178403e+01, 2.53102815115257358e-04, 2.74942202011128756e-06
 3.34669300678824208e-02, 1.34622183787014592e-04, 5.14369176422065588e-01,-7.58462276444549275e+01, 2.53094750661094522e-04, 2.74943870646428660e-06
 8.59595888940123953e-02, 1.34619362869171309e-04, 5.14373514331403991e-01,-7.58462659351690149e+01, 2.53081965426793195e-04, 2.74946191550397922e-06
 2.05443282824232604e-01, 1.34612796541015185e-04, 5.14383297689183006e-01,-7.58463530606500029e+01, 2.53052235261870886e-04, 2.74951426020337489e-06
 5.92705750774173534e-01, 1.34590973868625442e-04, 5.14414980566183178e-01,-7.58466351035164621e+01, 2.52953515691897539e-04, 2.74968377597344396e-06
 2.76841612093122569e+00, 1.34467347748771658e-04, 5.14592433123423065e-01,-7.58482092955089513e+01, 2.52394689656264032e-04, 2.75063321638354263e-06
 9.79261348719050240e+00, 1.34073938641298573e-04, 5.15159734747032583e-01,-7.58531895418577875e+01, 2.50618752018871090e-04, 2.75366849259832168e-06
 2.00000000000000000e+01, 1.33515026088436165e-04, 5.15973150565403382e-01,-7.58602237746504500e+01, 2.48101910935110955e-04, 2.75802054665359338e-06
 2.00008750212426705e+01, 1.33514977868992888e-04, 5.15973203661549085e-01,-7.57814744468251860e+01, 2.48101695766915411e-04, 2.75802082831797221e-06
 2.00017500424853409e+01, 1.33514929656045230e-04, 5.15973259853199084e-01,-7.57027270834859394e+01, 2.48101480334050612e-04, 2.75802112429726925e-06
 2.00038912863632703e+01, 1.33514811716432455e-04, 5.15973406356548203e-01,-7.55100339936975757e+01, 2.48100952481165621e-04, 2.75802188898686781e-06
 2.00060325302411997e+01, 1.33514693848868059e-04, 5.15973561595686747e-01,-7.53173510510937376e+01, 2.48100424115652604e-04, 2.75802269150462278e-06
 2.00081737741191290e+01, 1.33514576078729475e-04, 5.15973723131973316e-01,-7.51246789056027922e+01, 2.48099895578962279e-04, 2.75802351966507034e-06
 2.00129028906923736e+01, 1.33514316438923726e-04, 5.15974089953140092e-01,-7.46991844472664894e+01, 2.48098729339117944e-04, 2.75802538215236308e-06
 2.00176320072656182e+01, 1.33514057513629407e-04, 5.15974464650849174e-01,-7.42737408707221931e+01, 2.48097565469242794e-04, 2.75802726523896939e-06
 2.00262472607869135e+01, 1.33513587914652326e-04, 5.15975152036970197e-01,-7.34988137123788903e+01, 2.48095453885095892e-04, 2.75803068837550457e-06
 2.00348625143082089e+01, 1.33513121212336508e-04, 5.15975839564923322e-01,-7.27240355671027459e+01, 2.48093354916888479e-04, 2.75803408647235966e-06
 2.00434777678295042e+01, 1.33512657530587993e-04, 5.15976525864455748e-01,-7.19493931242031408e+01, 2.48091269234207879e-04, 2.75803746334799136e-06
 2.00520930213507995e+01, 1.33512196909208033e-04, 5.15977211847305384e-01,-7.11748726816155113e+01, 2.48089196924082675e-04, 2.75804082720133727e-06
 2.00607082748720948e+01, 1.33511739352759764e-04, 5.15977898055809181e-01,-7.04004605318832546e+01, 2.48087137954943664e-04, 2.75804418059433704e-06
 2.00693235283933902e+01, 1.33511284862771314e-04, 5.15978584441695642e-01,-6.96261427129527561e+01, 2.48085092337907334e-04, 2.75804752223396904e-06
 2.00779387819146855e+01, 1.33510833446970470e-04, 5.15979270844848403e-01,-6.88519045413756174e+01, 2.48083060121696267e-04, 2.75805085047964693e-06
 2.01007412704185526e+01, 1.33509653611049776e-04, 5.15981087526103721e-01,-6.68029323627160636e+01, 2.48077746529867251e-04, 2.75805958876368009e-06
 2.01235437589224198e+01, 1.33508495729611098e-04, 5.15982904034423262e-01,-6.47539793198348406e+01, 2.48072528665229221e-04, 2.75806821070454463e-06
 2.01463462474262869e+01, 1.33507360236586567e-04, 5.15984720478014136e-01,-6.27043732773554581e+01, 2.48067408406493610e-04, 2.75807669403802570e-06
 2.01691487359301540e+01, 1.33506247745825190e-04, 5.15986536907980686e-01,-6.06528815179692131e+01, 2.48062388421804985e-04, 2.75808501042698163e-06
 2.01919512244340211e+01, 1.33505159099442242e-04, 5.15988353298081792e-01,-5.85971872031808871e+01, 2.48057472381329894e-04, 2.75809312118238381e-06
 2.02147537129378883e+01, 1.33504095443221605e-04, 5.15990169633441798e-01,-5.65329856712596595e+01, 2.48052665277413470e-04, 2.75810097470705847e-06
 2.02375562014417554e+01, 1.33503058339354139e-04, 5.15991985915982943e-01,-5.44524992204120721e+01, 2.48047973915309665e-04, 2.75810850270462769e-06
 2.02825124640754133e+01, 1.33501102372299122e-04, 5.15995566663108973e-01,-5.02286937915685883e+01, 2.48039111432655558e-04, 2.75812193404905131e-06
 2.03110133759338147e+01, 1.33499932837518036e-04, 5.15997836649610964e-01,-4.73884243763047479e+01, 2.48033800112636778e-04, 2.75812910815909442e-06
 2.03395142877922162e+01, 1.33498832429850461e-04, 5.16000106559872274e-01,-4.42788957053702816e+01, 2.48028790063005975e-04, 2.75813462277726403e-06
 2.03680151996506176e+01, 1.33497822624222158e-04, 5.16002376395387485e-01,-4.06768295798401383e+01, 2.48024174855976224e-04, 2.75813751777659405e-06
 2.03965161115090190e+01, 1.33496941624698093e-04, 5.16004646158032543e-01,-3.62148862396348505e+01, 2.48020120959955919e-04, 2.75813569624790220e-06
 2.04130682081125094e+01, 1.33496510287084625e-04, 5.16005964305406351e-01,-3.30324066866050572e+01, 2.48018116592717004e-04, 2.75813169062475697e-06
 2.04296203047159999e+01, 1.33496161484917923e-04, 5.16007282429741476e-01,-2.92334224323467353e+01, 2.48016471882317013e-04, 2.75812379278303942e-06
 2.04461724013194903e+01, 1.33495927457614013e-04, 5.16008600532276485e-01,-2.46502558709643260e+01, 2.48015327310170967e-04, 2.75810871202049879e-06
 2.04557472850589690e+01, 1.33495860133638002e-04, 5.16009363005002997e-01,-2.15824888312027277e+01, 2.48014961756430315e-04, 2.75809658068061150e-06
 2.04653221687984477e+01, 1.33495856547373009e-04, 5.16010125471244141e-01,-1.81826937671742535e+01, 2.48014873941354303e-04, 2.75808045519975434e-06
 2.04748970525379264e+01, 1.33495930611941994e-04, 5.16010887931413809e-01,-1.44459654648020166e+01, 2.48015124491583522e-04, 2.75805958253761947e-06
 2.04844719362774050e+01, 1.33496099821200958e-04, 5.16011650386009380e-01,-1.03866864502857510e+01, 2.48015789637423133e-04, 2.75803207546819036e-06
 2.04940468200168837e+01, 1.33496384154108057e-04, 5.16012412835414658e-01,-6.04494710771168897e+00, 2.48016956439069103e-04, 2.75799808702858148e-06
 2.05000000000000000e+01, 1.33496627503948526e-04, 5.16012886885450550e-01,-3.23120749731928747e+00, 2.48017971962448739e-04, 2.75797428545527375e-06
 2.05000053335860812e+01, 1.33496627746925768e-04, 5.16012887310161705e-01,-3.22912884873446560e+00, 2.48017972981020576e-04, 2.75797426410234988e-06
 2.05006160107948006e+01, 1.33496656160684879e-04, 5.16012935938098161e-01,-2.99028485567441971e+00, 2.48018092191077657e-04, 2.75797176552913520e-06
 2.05021070467356843e+01, 1.33496727913227236e-04, 5.16013054668499005e-01,-2.40391252003115596e+00, 2.48018393614488520e-04, 2.75796547317801129e-06
 2.05035980826765680e+01, 1.33496802862877401e-04, 5.16013173398791047e-01,-1.81347601521302138e+00, 2.48018708969577296e-04, 2.75795895402375766e-06
 2.05050891186174518e+01, 1.33496881316171772e-04, 5.16013292128966738e-01,-1.21891800542803197e+00, 2.48019039592110066e-04, 2.75795222260814616e-06
 2.05077604753533969e+01, 1.33497031126688140e-04, 5.16013504846981941e-01,-1.44383540854338133e-01, 2.48019672258731902e-04, 2.75793973407112094e-06
 2.05088584018165996e+01, 1.33497096154358807e-04, 5.16013592273881772e-01, 3.00580022607789654e-01, 2.48019947342630813e-04, 2.75793445332364052e-06
 2.05099563282798023e+01, 1.33497163248327101e-04, 5.16013679700714545e-01, 7.47223346708776548e-01, 2.48020231430647270e-04, 2.75792910790008444e-06
 2.05110542547430050e+01, 1.33497232432090338e-04, 5.16013767127478817e-01, 1.19539393723322118e+00, 2.48020524625183899e-04, 2.75792370828983849e-06
 2.05137002354194067e+01, 1.33497407877204342e-04, 5.16013977823928993e-01, 2.28072946859761050e+00, 2.48021269188848474e-04, 2.75791053140115403e-06
 2.05163462160958083e+01, 1.33497595775297748e-04, 5.16014188519950290e-01, 3.37209894307843561e+00, 2.48022068018020664e-04, 2.75789719492931466e-06
 2.05189921967722100e+01, 1.33497796272181627e-04, 5.16014399215517838e-01, 4.46755695889461979e+00, 2.48022921748273443e-04, 2.75788379364321339e-06
 2.05235649897426136e+01, 1.33498172620811513e-04, 5.16014763339171512e-01, 6.36438196105529297e+00, 2.48024527240820673e-04, 2.75786073090201296e-06
 2.05324079549834160e+01, 1.33499005912620440e-04, 5.16015467484600587e-01, 1.00135324879280141e+01, 2.48028091718035474e-04, 2.75781767110429551e-06
 2.05412509202242184e+01, 1.33499972647437910e-04, 5.16016171622775577e-01, 1.35833171212664681e+01, 2.48032237709215023e-04, 2.75777822706755214e-06
 2.05500938854650208e+01, 1.33501060687547308e-04, 5.16016875752364101e-01, 1.70189583006952887e+01, 2.48036912332891398e-04, 2.75774380982536528e-06
 2.05589368507058232e+01, 1.33502253556531237e-04, 5.16017579872024568e-01, 2.02781943396381408e+01, 2.48042043800736876e-04, 2.75771466999520531e-06
 2.05677798159466256e+01, 1.33503533208785324e-04, 5.16018283980476666e-01, 2.33321056929126627e+01, 2.48047553485205956e-04, 2.75769047934029184e-06
 2.05766227811874280e+01, 1.33504882160443111e-04, 5.16018988076532015e-01, 2.61641519471274364e+01, 2.48053365204878307e-04, 2.75767061428702537e-06
 2.05854657464282305e+01, 1.33506284762835903e-04, 5.16019692159101928e-01, 2.87683675763710127e+01, 2.48059410773667432e-04, 2.75765429175131883e-06
 2.05943087116690329e+01, 1.33507727794989687e-04, 5.16020396227188316e-01, 3.11471061232747921e+01, 2.48065632582896171e-04, 2.75764067609982774e-06
 2.06031516769098353e+01, 1.33509200610019751e-04, 5.16021100279863587e-01, 3.33087644476195237e+01, 2.48071984239554540e-04, 2.75762897738551609e-06
