"environment.time","calcium.Ca_i","calcium.Ca_sr","membrane.V","ryr.J_serca","ryr.J_SRleak"
 0.00000000000000000e+00, 1.17333453745066161e-04, 3.52909992294072328e-01,-7.92342790838021216e+01, 2.06708224634977259e-04, 2.35765785590762842e-06
 2.86881245135949536e-01, 1.17321781923451887e-04, 3.52925442112484444e-01,-7.92343474554016467e+01, 2.06659745401923821e-04, 2.35776117962672899e-06
 2.06952384932450473e+00, 1.17248949116235555e-04, 3.53021077241976233e-01,-7.92347706901337432e+01, 2.06357373190971401e-04, 2.35840076099122585e-06
 7.73304100846547549e+00, 1.17020036887513417e-04, 3.53322866862194107e-01,-7.92360996056065829e+01, 2.05408063009445178e-04, 2.36041904096669278e-06
 1.33965581676064467e+01, 1.16793823521420671e-04, 3.53622677777813810e-01,-7.92374123941797279e+01, 2.04471511428277265e-04, 2.36242408106323020e-06
 2.00000000000000000e+01, 1.16535031221252127e-04, 3.53968594176065965e-01,-7.92389117358794266e+01, 2.03401938752933406e-04, 2.36473744650458609e-06
 2.00008926276157730e+01, 1.16534995854799888e-04, 3.53968629569787419e-01,-7.91585801393832895e+01, 2.03401793387790930e-04, 2.36473767974329257e-06
 2.00017852552315460e+01, 1.16534960494760786e-04, 3.53968667190459274e-01,-7.90782531865202429e+01, 2.03401647925982126e-04, 2.36473792470642286e-06
 2.00037841515504233e+01, 1.16534881345199098e-04, 3.53968756917697469e-01,-7.88983891678792162e+01, 2.03401322021822076e-04, 2.36473850075494511e-06
 2.00057830478693006e+01, 1.16534802254256184e-04, 3.53968852026661618e-01,-7.87185452527248373e+01, 2.03400996059017829e-04, 2.36473910220714885e-06
 2.00088080279515133e+01, 1.16534682727924412e-04, 3.53969002545293343e-01,-7.84464239748771774e+01, 2.03400503073639560e-04, 2.36474003922617947e-06
 2.00118330080337259e+01, 1.16534563437237668e-04, 3.53969157903490095e-01,-7.81743514775478445e+01, 2.03400010777608607e-04, 2.36474099202180648e-06
 2.00148579881159385e+01, 1.16534444420841619e-04, 3.53969315570301368e-01,-7.79023267482529889e+01, 2.03399519467097832e-04, 2.36474194798263001e-06
 2.00204191712035282e+01, 1.16534226424429600e-04, 3.53969607460586033e-01,-7.74023510307882958e+01, 2.03398619388450475e-04, 2.36474369776073173e-06
 2.00259803542911179e+01, 1.16534009547381839e-04, 3.53969899976593894e-01,-7.69025241101622044e+01, 2.03397723815965434e-04, 2.36474543352447428e-06
 2.00345588271002768e+01, 1.16533677317450624e-04, 3.53970351104677894e-01,-7.61317814489307665e+01, 2.03396351741146059e-04, 2.36474809023477991e-06
 2.00431372999094357e+01, 1.16533347985659281e-04, 3.53970801691399217e-01,-7.53613418236402737e+01, 2.03394991451836318e-04, 2.36475073027807625e-06
 2.00517157727185946e+01, 1.16533021579303994e-04, 3.53971252172376738e-01,-7.45911760476037102e+01, 2.03393643034625556e-04, 2.36475336044052363e-06
 2.00602942455277535e+01, 1.16532698094699928e-04, 3.53971702812051370e-01,-7.38212562903619300e+01, 2.03392306459905867e-04, 2.36475598221011795e-06
 2.00688727183369124e+01, 1.16532377527391905e-04, 3.53972153559089675e-01,-7.30515560910644552e+01, 2.03390981712347390e-04, 2.36475859458775038e-06
 2.01053634910873846e+01, 1.16531046623730985e-04, 3.53974070935810181e-01,-6.97793395975411812e+01, 2.03385479240246545e-04, 2.36476959070218334e-06
 2.01320916880853353e+01, 1.16530105507745929e-04, 3.53975475178644694e-01,-6.73837177689469229e+01, 2.03381585668062668e-04, 2.36477751334457455e-06
 2.01588198850832860e+01, 1.16529193211778128e-04, 3.53976879413658352e-01,-6.49881405987803475e+01, 2.03377808987627079e-04, 2.36478531017697914e-06
 2.01855480820812367e+01, 1.16528310170371219e-04, 3.53978283634146407e-01,-6.25913385102150670e+01, 2.03374150958753644e-04, 2.36479295891025535e-06
 2.02122762790791874e+01, 1.16527457010352716e-04, 3.53979687814782285e-01,-6.01909462313142640e+01, 2.03370614121999808e-04, 2.36480042827048437e-06
 2.02390044760771382e+01, 1.16526634626318336e-04, 3.53981091953721794e-01,-5.77821861173755451e+01, 2.03367202102401444e-04, 2.36480767551791893e-06
 2.02657326730750889e+01, 1.16525844303832075e-04, 3.53982496054710771e-01,-5.53554105168974928e+01, 2.03363920109982804e-04, 2.36481464056171875e-06
 2.02924608700730396e+01, 1.16525087937525995e-04, 3.53983900118738259e-01,-5.28917405174385635e+01, 2.03360775824524908e-04, 2.36482123660855099e-06
 2.03191890670709903e+01, 1.16524368419555847e-04, 3.53985304145798818e-01,-5.03556778830995810e+01, 2.03357780970504938e-04, 2.36482733452174016e-06
 2.03459172640689410e+01, 1.16523690329215526e-04, 3.53986708136222128e-01,-4.76830183600272264e+01, 2.03354954113139588e-04, 2.36483273411519198e-06
 2.03726454610668917e+01, 1.16523061168772354e-04, 3.53988112090548646e-01,-4.47614509214709457e+01, 2.03352325669216625e-04, 2.36483710694475294e-06
 2.03993736580648424e+01, 1.16522493641347722e-04, 3.53989516009403149e-01,-4.13998748984129605e+01, 2.03349947143012858e-04, 2.36483987039981331e-06
 2.04261018550627931e+01, 1.16522010079347601e-04, 3.53990919893664768e-01,-3.72838153041538689e+01, 2.03347909081873517e-04, 2.36483987223941217e-06
 2.04429021717483046e+01, 1.16521763430361942e-04, 3.53991802304117753e-01,-3.41145585288149960e+01, 2.03346860370418492e-04, 2.36483810353495853e-06
 2.04597024884338161e+01, 1.16521577691430165e-04, 3.53992684701900429e-01,-3.02967533324892138e+01, 2.03346058631526149e-04, 2.36483370757689739e-06
 2.04765028051193276e+01, 1.16521476402753677e-04, 3.53993567087922234e-01,-2.56290118200267223e+01, 2.03345599311681132e-04, 2.36482406529619953e-06
 2.04860642343101631e+01, 1.16521467423275559e-04, 3.53994069268269651e-01,-2.25210545645176055e+01, 2.03345535227864049e-04, 2.36481658295394334e-06
 2.04956256635009986e+01, 1.16521503129352896e-04, 3.53994571445346795e-01,-1.90479607509406250e+01, 2.03345652329177829e-04, 2.36480647422148914e-06
 2.05000000000000000e+01, 1.16521536893009222e-04, 3.53994801189441100e-01,-1.73334898125677128e+01, 2.03345776568387705e-04, 2.36480083531691014e-06
 2.05011658406850827e+01, 1.16521548285869253e-04, 3.53994862420320910e-01,-1.69641263943879821e+01, 2.03345819388221213e-04, 2.36479921184801465e-06
 2.05023316813701655e+01, 1.16521560552809185e-04, 3.53994923651159588e-01,-1.65886907665924923e+01, 2.03345865752164822e-04, 2.36479751090758550e-06
 2.05058127195533011e+01, 1.16521602517493923e-04, 3.53995106477695276e-01,-1.54320121067130902e+01, 2.03346025829512683e-04, 2.36479200349447465e-06
 2.05092937577364367e+01, 1.16521651843164614e-04, 3.53995289303927818e-01,-1.42284487756965454e+01, 2.03346215753308151e-04, 2.36478596108925017e-06
 2.05127747959195723e+01, 1.16521709515844831e-04, 3.53995472129839228e-01,-1.29753696287258755e+01, 2.03346439521591595e-04, 2.36477938243967507e-06
 2.05162558341027079e+01, 1.16521776216159807e-04, 3.53995654955426120e-01,-1.16732740107238069e+01, 2.03346699894125404e-04, 2.36477227861330503e-06
 2.05197368722858435e+01, 1.16521852543615976e-04, 3.53995837780689493e-01,-1.03240198353358554e+01, 2.03346999301774441e-04, 2.36476466069171455e-06
 2.05252347531249448e+01, 1.16521993925186584e-04, 3.53996126530533251e-01,-8.10277582041653055e+00, 2.03347556645813607e-04, 2.36475162011562598e-06
 2.05307326339640461e+01, 1.16522162745339456e-04, 3.53996415279577092e-01,-5.78212609374180619e+00, 2.03348225245424911e-04, 2.36473741799520366e-06
 2.05362305148031474e+01, 1.16522361308395061e-04, 3.53996704027815579e-01,-3.37839500185617947e+00, 2.03349014444380744e-04, 2.36472217849270909e-06
 2.05417283956422487e+01, 1.16522591609381310e-04, 3.53996992775228114e-01,-9.10049857202139822e-01, 2.03349932332507903e-04, 2.36470606218902362e-06
 2.05472262764813500e+01, 1.16522855185942860e-04, 3.53997281521775620e-01, 1.60348936045587021e+00, 2.03350985145232626e-04, 2.36468928010717091e-06
 2.05527241573204513e+01, 1.16523153139539673e-04, 3.53997570267397754e-01, 4.14227524576390227e+00, 2.03352177349533239e-04, 2.36467211426440414e-06
 2.05582220381595526e+01, 1.16523486115882393e-04, 3.53997859012011418e-01, 6.68625551945529573e+00, 2.03353511564605268e-04, 2.36465490860098883e-06
 2.05637199189986539e+01, 1.16523854226203928e-04, 3.53998147755512194e-01, 9.21590867017095405e+00, 2.03354988242621977e-04, 2.36463802746737898e-06
 2.05723531017937518e+01, 1.16524501500413840e-04, 3.53998601159557169e-01, 1.31166994993661046e+01, 2.03357587793214883e-04, 2.36461305184321727e-06
 2.05809862845888496e+01, 1.16525229168522388e-04, 3.53999054560046211e-01, 1.68766898870189621e+01, 2.03360513337881213e-04, 2.36459071142269365e-06
 2.05896194673839474e+01, 1.16526030139543356e-04, 3.53999507956483161e-01, 2.04467684626259611e+01, 2.03363736129759848e-04, 2.36457140670678718e-06
 2.05982526501790453e+01, 1.16526895542052938e-04, 3.53999961348402947e-01, 2.37926407036369056e+01, 2.03367220202411270e-04, 2.36455514336615900e-06
 2.06068858329741431e+01, 1.16527815880276755e-04, 3.54000414735384239e-01, 2.68944615088760699e+01, 2.03370927057172266e-04, 2.36454172284555183e-06
 2.06155190157692410e+01, 1.16528781914902041e-04, 3.54000868117052558e-01, 2.97446832880129932e+01, 2.03374819234492508e-04, 2.36453079124412249e-06
 2.06286586234671638e+01, 1.16530321270062498e-04, 3.54001558147952200e-01, 3.36052610198074930e+01, 2.03381023184360014e-04, 2.36451779682261696e-06
 2.06417982311650867e+01, 1.16531922309710430e-04, 3.54002248164789257e-01, 3.69209862614427422e+01, 2.03387477343601816e-04, 2.36450715712785666e-06
 2.06549378388630096e+01, 1.16533566268452760e-04, 3.54002938166586179e-01, 3.97502052535081347e+01, 2.03394105627136430e-04, 2.36449764636534025e-06
 2.06680774465609325e+01, 1.16535239603348970e-04, 3.54003628152248062e-01, 4.21565648694915893e+01, 2.03400853123746300e-04, 2.36448877846983873e-06
 2.06812170542588554e+01, 1.16536932022450425e-04, 3.54004318120544337e-01, 4.42033650475403448e+01, 2.03407678102700685e-04, 2.36448017209141566e-06
 2.06943566619567783e+01, 1.16538635524247324e-04, 3.54005008070122862e-01, 4.59450256267854513e+01, 2.03414548119297008e-04, 2.36447131793360735e-06
 2.07074962696547011e+01, 1.16540344292112431e-04, 3.54005697999488111e-01, 4.74304190526178218e+01, 2.03421439587393683e-04, 2.36446195740695438e-06
 2.07206358773526240e+01, 1.16542054449184551e-04, 3.54006387906990572e-01, 4.86989114604831670e+01, 2.03428336785972338e-04, 2.36445211449735966e-06
 2.07406615798916825e+01, 1.16544656772885047e-04, 3.54007439329285079e-01, 5.02968884514033974e+01, 2.03438832258574353e-04, 2.36443655189412702e-06
 2.07606872824307409e+01, 1.16547247219398267e-04, 3.54008490689859012e-01, 5.15677782439570507e+01, 2.03449279788161630e-04, 2.36442062540510699e-06
 2.07807129849697994e+01, 1.16549820917974181e-04, 3.54009541981572085e-01, 5.25782637682104408e+01, 2.03459659618308289e-04, 2.36440371332923365e-06
 2.08007386875088578e+01, 1.16552375317269090e-04, 3.54010593196825707e-01, 5.33905699147989026e+01, 2.03469961397760243e-04, 2.36438616103740991e-06
 2.08207643900479162e+01, 1.16554909303128815e-04, 3.54011644327698327e-01, 5.40365365270172120e+01, 2.03480180603358952e-04, 2.36436846965666403e-06
 2.08407900925869747e+01, 1.16557422513620393e-04, 3.54012695366130115e-01, 5.45511362020291486e+01, 2.03490315762514976e-04, 2.36435033113758155e-06
 2.08608157951260331e+01, 1.16559915244550565e-04, 3.54013746303861399e-01, 5.49634297309030799e+01, 2.03500368070316399e-04, 2.36433180307087530e-06
 2.08808414976650916e+01, 1.16562388467486016e-04, 3.54014797132453207e-01, 5.52954503232191215e+01, 2.03510341462886213e-04, 2.36431317180158284e-06
 2.09008672002041500e+01, 1.16564843275747981e-04, 3.54015847843373643e-01, 5.55617842320849391e+01, 2.03520240370553543e-04, 2.36429467287044717e-06
 2.09379250212306474e+01, 1.16569341263608519e-04, 3.54017791858163344e-01, 5.59208479362197082e+01, 2.03538377787773628e-04, 2.36426041022153906e-06
 2.09749828422571447e+01, 1.16573787621701471e-04, 3.54019735385996959e-01, 5.61389380057505392e+01, 2.03556306463714758e-04, 2.36422655000441274e-06
 2.10120406632836421e+01, 1.16578190480045237e-04, 3.54021678371914783e-01, 5.62454463459278173e+01, 2.03574059358429670e-04, 2.36419286188340708e-06
 2.10490984843101394e+01, 1.16582559950816051e-04, 3.54023620760915814e-01, 5.62678402174969463e+01, 2.03591677477830708e-04, 2.36415907812762685e-06
 2.10861563053366368e+01, 1.16586907069875074e-04, 3.54025562497806867e-01, 5.62295943182771438e+01, 2.03609205580978939e-04, 2.36412547237425560e-06
 2.11232141263631341e+01, 1.16591241250788642e-04, 3.54027503527171106e-01, 5.61471723155332469e+01, 2.03626681851731318e-04, 2.36409225887385935e-06
 2.11602719473896315e+01, 1.16595569635552599e-04, 3.54029443793448084e-01, 5.60308925308791785e+01, 2.03644135263351603e-04, 2.36405943608623492e-06
 2.11973297684161288e+01, 1.16599898169318718e-04, 3.54031383240992370e-01, 5.58875753217435260e+01, 2.03661589937287904e-04, 2.36402697976145157e-06
 2.12343875894426262e+01, 1.16604232319054372e-04, 3.54033321814113233e-01, 5.57224700813496412e+01, 2.03679068058187950e-04, 2.36399490303735837e-06
 2.12714454104691235e+01, 1.16608577029195102e-04, 3.54035259457082252e-01, 5.55399081976413100e+01, 2.03696589693623910e-04, 2.36396320329742691e-06
 2.13085032314956209e+01, 1.16612936655736778e-04, 3.54037196114095565e-01, 5.53433287125044302e+01, 2.03714172526304219e-04, 2.36393184942197504e-06
 2.13455610525221182e+01, 1.16617315097845113e-04, 3.54039131729221968e-01, 5.51353066784834454e+01, 2.03731832387721052e-04, 2.36390080760053620e-06
