"environment.time","calcium.Ca_i","calcium.Ca_sr","membrane.V","ryr.J_serca","ryr.J_SRleak"
 0.00000000000000000e+00, 1.15725243194226578e-04, 3.53971792067831581e-01,-7.92430876153950550e+01, 2.06926032903421189e-04, 2.36476237461118540e-06
 7.77815687794884258e-03, 1.15724928605323785e-04, 3.53972211178150808e-01,-7.92430894281452680e+01, 2.06924699946405536e-04, 2.36476517748788377e-06
 1.55563137558976852e-02, 1.15724614022283328e-04, 3.53972630357767271e-01,-7.92430912387500115e+01, 2.06923367013332131e-04, 2.36476798082969725e-06
 2.75083368175567666e-02, 1.15724130638662708e-04, 3.53973274505805569e-01,-7.92430940191097051e+01, 2.06921318852366541e-04, 2.36477228869120309e-06
 4.90071847584662088e-02, 1.15723261179079547e-04, 3.53974433179823078e-01,-7.92430990175929963e+01, 2.06917634853231059e-04, 2.36478003754422259e-06
 8.63203526581528546e-02, 1.15721752255632838e-04, 3.53976444101146315e-01,-7.92431076903737761e+01, 2.06911241429656430e-04, 2.36479348596454964e-06
 1.23633520557839494e-01, 1.15720243460124250e-04, 3.53978454934879838e-01,-7.92431163618315679e+01, 2.06904848620681860e-04, 2.36480693379916527e-06
 1.60946688457526133e-01, 1.15718734792319024e-04, 3.53980465678138290e-01,-7.92431250326950192e+01, 2.06898456425470725e-04, 2.36482038102820908e-06
 3.43286226936642569e-01, 1.15711365586371374e-04, 3.53990289242638312e-01,-7.92431673845933204e+01, 2.06867234249014537e-04, 2.36488607798042857e-06
 1.25921830148746472e+00, 1.15674420489934895e-04, 3.54039580434846735e-01,-7.92433796507398540e+01, 2.06710729084318043e-04, 2.36521572199082991e-06
 6.71862952514435108e+00, 1.15456717068246171e-04, 3.54331456293965452e-01,-7.92446285556881378e+01, 2.05789364873446945e-04, 2.36716768937979218e-06
 1.21780407488012372e+01, 1.15241526315819381e-04, 3.54621477558009712e-01,-7.92458611249777647e+01, 2.04880132903392369e-04, 2.36910724688996495e-06
 2.00000000000000000e+01, 1.14939326964939354e-04, 3.55032448778869913e-01,-7.92475867954368738e+01, 2.03605727185933851e-04, 2.37185565691797807e-06
 2.00008927147495932e+01, 1.14939292142587782e-04, 3.55032483186469183e-01,-7.91672473557523944e+01, 2.03605581232844420e-04, 2.37185588360408299e-06
 2.00017854294991864e+01, 1.14939257326330619e-04, 3.55032520031066390e-01,-7.90869125646241002e+01, 2.03605435170094769e-04, 2.37185612345647778e-06
 2.00037840504503386e+01, 1.14939179411129974e-04, 3.55032608515857939e-01,-7.89070733415754546e+01, 2.03605107963001101e-04, 2.37185669148930322e-06
 2.00057826714014908e+01, 1.14939101551587362e-04, 3.55032702888477880e-01,-7.87272542340096066e+01, 2.03604780660402937e-04, 2.37185728844033026e-06
 2.00088084161499609e+01, 1.14938983834676816e-04, 3.55032852972964608e-01,-7.84550642575910189e+01, 2.03604285397776183e-04, 2.37185822337874345e-06
 2.00118341608984309e+01, 1.14938866342015450e-04, 3.55033008357163504e-01,-7.81829231290718809e+01, 2.03603790769870167e-04, 2.37185917736441956e-06
 2.00148599056469010e+01, 1.14938749110605744e-04, 3.55033166269644318e-01,-7.79108298345474282e+01, 2.03603297083174367e-04, 2.37186013612842579e-06
 2.00204184111357115e+01, 1.14938534515530175e-04, 3.55033458590509332e-01,-7.74110952906648464e+01, 2.03602393197977399e-04, 2.37186189132131056e-06
