"environment.time","calcium_concentration.Cai","calcium_concentration.CaJSR","calcium_concentration.Cass","calcium_fluxes.J_rel","calcium_fluxes.J_up","membrane.V","non_inactivating_steady_state_potassium_current.i_Kss","sodium_calcium_exchange_current.i_NaCa","sodium_concentration.Nai"
 0.00000000000000000e+00, 1.20331667390856170e-01, 8.03865385022258124e+02, 1.20307947330299939e-01,-6.42870055524024671e-12, 1.71597343232655873e-02,-8.22175730520989276e+01, 4.23373011236855695e-02, 3.80876982605295004e-03, 1.70359957014209031e+04
 7.16260705948057880e-02, 1.20331166024710001e-01, 8.03868066585299175e+02, 1.20322449112088156e-01,-6.41003194405757105e-12, 1.71592987299285654e-02,-8.22175710478088320e+01, 4.23373171857228323e-02, 3.80893416522943250e-03, 1.70359951726963736e+04
 1.43252141189611576e-01, 1.20330665378729884e-01, 8.03870747640383797e+02, 1.20327581031336686e-01,-6.39141767265357871e-12, 1.71588636102345225e-02,-8.22175690441117837e+01, 4.23373332246329837e-02, 3.80909826625763868e-03, 1.70359946439696432e+04
 2.98995987256343798e-01, 1.20329578181317440e-01, 8.03876574931023015e+02, 1.20329146585026761e-01,-6.35119542382723926e-12, 1.71579184543096189e-02,-8.22175646901194597e+01, 4.23373679888513765e-02, 3.80945461935901838e-03, 1.70359934942949840e+04
 6.33685278918506345e-01, 1.20327246061692872e-01, 8.03889086553530092e+02, 1.20327463510155150e-01,-6.26590978086451483e-12, 1.71558903747498770e-02,-8.22175553467123308e+01, 4.23374421827875311e-02, 3.81021899474862785e-03, 1.70359910236275318e+04
 1.62525771347727677e+00, 1.20320371380602517e-01, 8.03926057598453667e+02, 1.20320667015207355e-01,-6.02293169822299050e-12, 1.71499068288124105e-02,-8.22175277809790401e+01, 4.23376575005158240e-02, 3.81247199267525493e-03, 1.70359837034482771e+04
 6.52818461271503825e+00, 1.20287205119013654e-01, 8.04106550694398379e+02, 1.20287496659360213e-01,-5.01918662012146385e-12, 1.71209171198739366e-02,-8.22173942602928776e+01, 4.23386141942378655e-02, 3.82333541391708265e-03, 1.70359474981470230e+04
 2.00000000000000000e+01, 1.20205664206850374e-01, 8.04575696068093293e+02, 1.20205937648670630e-01,-3.57105899578705863e-12, 1.70481900443704565e-02,-8.22170597219319177e+01, 4.23399904715060851e-02, 3.84997283426766071e-03, 1.70358479035563505e+04
 2.00026432086534989e+01, 1.20205647975684476e-01, 8.04575790258100596e+02, 1.20205920909790820e-01,-3.57067524306919700e-12, 1.70481755620279091e-02,-8.20056990797255878e+01, 5.05197181553727892e-02, 4.19651635758484451e-03, 1.70358478835167298e+04
 2.00052864173069977e+01, 1.20205632279684435e-01, 8.04575884447471367e+02, 1.20205904231175692e-01,-3.57029153158842067e-12, 1.70481614198449670e-02,-8.17944330243065565e+01, 5.86957842618515135e-02, 4.54373041169791551e-03, 1.70358478629694946e+04
 2.00141766414075803e+01, 1.20205583542416172e-01, 8.04576201241199556e+02, 1.20205849023740541e-01,-3.56900125890321853e-12, 1.70481164311280936e-02,-8.10845446296669223e+01, 8.61686915606296316e-02, 5.71647338328603021e-03, 1.70358477900371399e+04
 2.00230668655081629e+01, 1.20205540242067505e-01, 8.04576518028526493e+02, 1.20205795516529754e-01,-3.56771140233413441e-12, 1.70480748981648271e-02,-8.03755360613610890e+01, 1.13607536411094293e-01, 6.89706757656998078e-03, 1.70358477120133321e+04
 2.00319570896087455e+01, 1.20205502869120059e-01, 8.04576834808919102e+02, 1.20205744458067865e-01,-3.56642199518212975e-12, 1.70480371326854827e-02,-7.96674338913831406e+01, 1.41011289307647031e-01, 8.08543528968506259e-03, 1.70358476284831195e+04
 2.00474389001068509e+01, 1.20205452555704931e-01, 8.04577386446540004e+02, 1.20205663722648695e-01,-3.56417767326597431e-12, 1.70479807536923003e-02,-7.84363547440689786e+01, 1.88654360685369976e-01, 1.01735760052569305e-02, 1.70358474694947472e+04
 2.00629207106049563e+01, 1.20205421204464757e-01, 8.04577938062416251e+02, 1.20205595153698205e-01,-3.56193475794301583e-12, 1.70479364269039008e-02,-7.72076759262633487e+01, 2.36204484901141459e-01, 1.22856226937521906e-02, 1.70358472933554767e+04
 2.00871143644380901e+01, 1.20205410756122344e-01, 8.04578800037048836e+02, 1.20205516558320971e-01,-3.55843254241469408e-12, 1.70478916551725819e-02,-7.52918927579214028e+01, 3.10345562216406745e-01, 1.56345787527520826e-02, 1.70358469838732999e+04
 2.01113080182712238e+01, 1.20205448177110236e-01, 8.04579661958392080e+02, 1.20205477796413690e-01,-3.55493376962875827e-12, 1.70478773079359124e-02,-7.33805506314424889e+01, 3.84314582382154768e-01, 1.90436116811034811e-02, 1.70358466329975709e+04
 2.01355016721043576e+01, 1.20205534512819595e-01, 8.04580523826428134e+02, 1.20205483229758450e-01,-3.55143843801778716e-12, 1.70478940490226410e-02,-7.14727341701882892e+01, 4.58146924830421132e-01, 2.25140465943754232e-02, 1.70358462413990346e+04
