environment.time,calcium_concentration.Cai,calcium_concentration.CaJSR,calcium_concentration.Cass,calcium_fluxes.J_rel,calcium_fluxes.J_up,membrane.V,non_inactivating_steady_state_potassium_current.i_Kss,sodium_calcium_exchange_current.i_NaCa,sodium_concentration.Nai,,,,36.64530754,0,0.53458117,0.413297478
0.00E+00,1.21E-01,1.26E+03,1.21E-01,1.23E-12,2.36E-02,-8.22E+01,4.24E-02,3.16E-03,1.70E+04,,,,36.94904495,0.30373741,0.53456862,0.413284928
2.62E-02,1.21E-01,1.26E+03,1.21E-01,1.23E-12,2.36E-02,-8.22E+01,4.24E-02,3.16E-03,1.70E+04,,,,37.25278236,0.607474819,0.534333254,0.413049562
5.24E-02,1.21E-01,1.26E+03,1.21E-01,1.23E-12,2.36E-02,-8.22E+01,4.24E-02,3.16E-03,1.70E+04,,,,37.55651977,0.911212229,0.533891813,0.412608121
9.34E-02,1.21E-01,1.26E+03,1.21E-01,1.22E-12,2.36E-02,-8.22E+01,4.24E-02,3.16E-03,1.70E+04,,,,37.86025718,1.214949639,0.533259717,0.411976025
1.57E-01,1.21E-01,1.26E+03,1.21E-01,1.22E-12,2.36E-02,-8.22E+01,4.24E-02,3.16E-03,1.70E+04,,,,38.16399459,1.518687048,0.532451999,0.411168307
2.78E-01,1.21E-01,1.26E+03,1.21E-01,1.22E-12,2.36E-02,-8.22E+01,4.24E-02,3.16E-03,1.70E+04,,,,38.467732,1.822424458,0.5314834,0.410199708
5.85E-01,1.21E-01,1.26E+03,1.21E-01,1.20E-12,2.36E-02,-8.22E+01,4.24E-02,3.16E-03,1.70E+04,,,,38.77146941,2.126161867,0.530367385,0.409083693
8.93E-01,1.21E-01,1.26E+03,1.21E-01,1.19E-12,2.36E-02,-8.22E+01,4.24E-02,3.16E-03,1.70E+04,,,,39.07520682,2.429899277,0.529116108,0.407832415
1.20E+00,1.21E-01,1.26E+03,1.21E-01,1.17E-12,2.36E-02,-8.22E+01,4.24E-02,3.16E-03,1.70E+04,,,,39.37894423,2.733636687,0.527741158,0.406457466
1.51E+00,1.21E-01,1.26E+03,1.21E-01,1.16E-12,2.36E-02,-8.22E+01,4.24E-02,3.16E-03,1.70E+04,,,,39.68268164,3.037374096,0.526253708,0.404970016
2.30E+00,1.21E-01,1.26E+03,1.21E-01,1.12E-12,2.36E-02,-8.22E+01,4.24E-02,3.16E-03,1.70E+04,,,,39.98641905,3.341111506,0.52466402,0.403380328
3.10E+00,1.21E-01,1.26E+03,1.21E-01,1.08E-12,2.36E-02,-8.22E+01,4.24E-02,3.16E-03,1.70E+04,,,,40.45090973,3.80560219,0.522056008,0.400772316
4.34E+00,1.21E-01,1.26E+03,1.21E-01,1.03E-12,2.36E-02,-8.22E+01,4.24E-02,3.16E-03,1.70E+04,,,,40.91540042,4.270092874,0.519261208,0.397977516
1.43E+01,1.21E-01,1.26E+03,1.21E-01,7.32E-13,2.35E-02,-8.22E+01,4.24E-02,3.16E-03,1.70E+04,,,,41.3798911,4.734583558,0.516307863,0.395024171
2.00E+01,1.21E-01,1.26E+03,1.21E-01,6.46E-13,2.35E-02,-8.22E+01,4.24E-02,3.16E-03,1.70E+04,,,,41.84438178,5.199074242,0.513221177,0.391937485
2.00E+01,1.21E-01,1.26E+03,1.21E-01,6.45E-13,2.35E-02,-8.20E+01,5.06E-02,3.50E-03,1.70E+04,,,,42.30887247,5.663564926,0.510023319,0.388739627
2.00E+01,1.21E-01,1.26E+03,1.21E-01,6.45E-13,2.35E-02,-8.18E+01,5.88E-02,3.85E-03,1.70E+04,,,,42.77336315,6.12805561,0.506733535,0.385449842
2.00E+01,1.21E-01,1.26E+03,1.21E-01,6.45E-13,2.35E-02,-8.11E+01,8.63E-02,5.02E-03,1.70E+04,,,,43.23785384,6.592546294,0.503368554,0.382084862
2.00E+01,1.21E-01,1.26E+03,1.21E-01,6.45E-13,2.35E-02,-8.04E+01,1.14E-01,6.20E-03,1.70E+04,,,,43.70234452,7.057036978,0.499943198,0.378659506
2.00E+01,1.21E-01,1.26E+03,1.21E-01,6.45E-13,2.35E-02,-7.97E+01,1.41E-01,7.38E-03,1.70E+04,,,,44.1668352,7.521527662,0.4964707,0.375187008
2.00E+01,1.21E-01,1.26E+03,1.21E-01,6.44E-13,2.35E-02,-7.84E+01,1.89E-01,9.47E-03,1.70E+04,,,,44.63132589,7.986018345,0.492962692,0.371679
2.01E+01,1.21E-01,1.26E+03,1.21E-01,6.44E-13,2.35E-02,-7.72E+01,2.37E-01,1.16E-02,1.70E+04,,,,45.09581657,8.450509029,0.489429258,0.368145566
2.01E+01,1.21E-01,1.26E+03,1.21E-01,6.43E-13,2.35E-02,-7.53E+01,3.11E-01,1.49E-02,1.70E+04,,,,45.98125314,9.335945593,0.482651949,0.361368257
2.01E+01,1.21E-01,1.26E+03,1.21E-01,6.43E-13,2.35E-02,-7.34E+01,3.85E-01,1.83E-02,1.70E+04,,,,46.8666897,10.22138216,0.475860984,0.354577292
2.01E+01,1.21E-01,1.26E+03,1.21E-01,6.42E-13,2.35E-02,-7.15E+01,4.59E-01,2.18E-02,1.70E+04,,,,47.75212626,11.10681872,0.469094459,0.347810767
2.02E+01,1.21E-01,1.26E+03,1.21E-01,6.41E-13,2.35E-02,-6.96E+01,5.33E-01,2.53E-02,1.70E+04,,,,48.63756283,11.99225529,0.462379601,0.341095909
2.02E+01,1.21E-01,1.26E+03,1.21E-01,6.41E-13,2.35E-02,-6.77E+01,6.06E-01,2.89E-02,1.70E+04,,,,49.52299939,12.87769185,0.455735454,0.334451761
2.02E+01,1.21E-01,1.26E+03,1.21E-01,6.40E-13,2.35E-02,-6.58E+01,6.80E-01,3.25E-02,1.70E+04,,,,50.40843596,13.76312841,0.449174921,0.327891229
2.02E+01,1.21E-01,1.26E+03,1.21E-01,6.39E-13,2.35E-02,-6.39E+01,7.54E-01,3.62E-02,1.70E+04,,,,51.29387252,14.64856498,0.442706295,0.321422602
2.03E+01,1.21E-01,1.26E+03,1.21E-01,6.39E-13,2.35E-02,-6.20E+01,8.27E-01,4.00E-02,1.70E+04,,,,52.17930908,15.53400154,0.436334602,0.31505091
2.03E+01,1.21E-01,1.26E+03,1.21E-01,6.38E-13,2.35E-02,-6.01E+01,9.01E-01,4.39E-02,1.70E+04,,,,53.06474565,16.41943811,0.430062686,0.308778994
2.03E+01,1.21E-01,1.26E+03,1.21E-01,6.38E-13,2.35E-02,-5.82E+01,9.74E-01,4.78E-02,1.70E+04,,,,53.95018221,17.30487467,0.423892126,0.302608434
2.03E+01,1.21E-01,1.26E+03,1.21E-01,6.37E-13,2.35E-02,-5.63E+01,1.05E+00,5.17E-02,1.70E+04,,,,54.83561878,18.19031123,0.417823862,0.29654017
2.04E+01,1.21E-01,1.26E+03,1.21E-01,6.36E-13,2.35E-02,-5.44E+01,1.12E+00,5.58E-02,1.70E+04,,,,55.72105534,19.0757478,0.411858621,0.290574929
2.04E+01,1.21E-01,1.26E+03,1.21E-01,6.36E-13,2.35E-02,-5.25E+01,1.19E+00,5.99E-02,1.70E+04,,,,56.6064919,19.96118436,0.4059973,0.284713608
2.04E+01,1.21E-01,1.26E+03,1.21E-01,6.35E-13,2.35E-02,-5.06E+01,1.27E+00,6.41E-02,1.70E+04,,,,57.49192847,20.84662093,0.400241257,0.278957565
2.04E+01,1.21E-01,1.26E+03,1.21E-01,6.35E-13,2.35E-02,-4.87E+01,1.34E+00,6.84E-02,1.70E+04,,,,58.37736503,21.73205749,0.394592347,0.273308655
2.04E+01,1.21E-01,1.26E+03,1.21E-01,6.36E-13,2.35E-02,-4.68E+01,1.42E+00,7.28E-02,1.70E+04,,,,59.2628016,22.61749405,0.389052716,0.267769024
2.05E+01,1.21E-01,1.26E+03,1.21E-01,6.39E-13,2.35E-02,-4.48E+01,1.49E+00,7.72E-02,1.70E+04,,,,60.14823816,23.50293062,0.383624656,0.262340964
2.05E+01,1.21E-01,1.26E+03,1.21E-01,6.45E-13,2.35E-02,-4.37E+01,1.54E+00,7.99E-02,1.70E+04,,,,61.03367472,24.38836718,0.378311455,0.257027762
2.05E+01,1.21E-01,1.26E+03,1.21E-01,6.53E-13,2.35E-02,-4.28E+01,1.57E+00,8.21E-02,1.70E+04,,,,61.91911129,25.27380375,0.373117676,0.251833983
2.05E+01,1.21E-01,1.26E+03,1.21E-01,6.53E-13,2.35E-02,-4.28E+01,1.57E+00,8.21E-02,1.70E+04,,,,62.80454785,26.15924031,0.368048569,0.246764877
2.05E+01,1.21E-01,1.26E+03,1.21E-01,6.56E-13,2.35E-02,-4.28E+01,1.57E+00,8.21E-02,1.70E+04,,,,63.68998442,27.04467687,0.363107812,0.24182412
2.05E+01,1.21E-01,1.26E+03,1.21E-01,6.76E-13,2.35E-02,-4.28E+01,1.57E+00,8.21E-02,1.70E+04,,,,64.57542098,27.93011344,0.35829601,0.237012317
2.05E+01,1.21E-01,1.26E+03,1.21E-01,7.06E-13,2.35E-02,-4.28E+01,1.57E+00,8.22E-02,1.70E+04,,,,65.46085754,28.81555,0.353610758,0.232327065
