environment.time,calcium_concentration.Cai,calcium_concentration.CaJSR,calcium_concentration.Cass,calcium_fluxes.J_rel,calcium_fluxes.J_up,membrane.V,non_inactivating_steady_state_potassium_current.i_Kss,sodium_calcium_exchange_current.i_NaCa,sodium_concentration.Nai,,,,39.16683597,0,0.391778304,0.271834143
0.00E+00,1.20E-01,7.42E+02,1.20E-01,-1.75E-10,1.67E-02,-8.22E+01,4.24E-02,4.09E-03,1.70E+04,,,,39.59462652,0.427790552,0.391982759,0.272038598
3.10E-02,1.20E-01,7.42E+02,1.20E-01,-1.75E-10,1.67E-02,-8.22E+01,4.24E-02,4.09E-03,1.70E+04,,,,40.02241707,0.855581104,0.391997014,0.272052853
6.20E-02,1.20E-01,7.42E+02,1.20E-01,-1.74E-10,1.67E-02,-8.22E+01,4.24E-02,4.09E-03,1.70E+04,,,,40.45020763,1.283371656,0.391835622,0.271891461
1.10E-01,1.20E-01,7.42E+02,1.20E-01,-1.74E-10,1.67E-02,-8.22E+01,4.24E-02,4.09E-03,1.70E+04,,,,40.87799818,1.711162208,0.391512235,0.271568074
1.90E-01,1.20E-01,7.42E+02,1.20E-01,-1.74E-10,1.67E-02,-8.22E+01,4.24E-02,4.10E-03,1.70E+04,,,,41.30578873,2.13895276,0.391039646,0.271095484
3.34E-01,1.20E-01,7.42E+02,1.20E-01,-1.73E-10,1.67E-02,-8.22E+01,4.24E-02,4.10E-03,1.70E+04,,,,41.73357928,2.566743313,0.390429832,0.270485671
5.67E-01,1.20E-01,7.42E+02,1.20E-01,-1.71E-10,1.67E-02,-8.22E+01,4.24E-02,4.10E-03,1.70E+04,,,,42.16136983,2.994533865,0.389693985,0.269749824
8.00E-01,1.20E-01,7.42E+02,1.20E-01,-1.69E-10,1.67E-02,-8.22E+01,4.24E-02,4.10E-03,1.70E+04,,,,42.58916039,3.422324417,0.388842516,0.268898355
1.03E+00,1.20E-01,7.42E+02,1.20E-01,-1.68E-10,1.67E-02,-8.22E+01,4.24E-02,4.10E-03,1.70E+04,,,,43.01695094,3.850114969,0.387885091,0.267940929
2.19E+00,1.20E-01,7.42E+02,1.20E-01,-1.60E-10,1.67E-02,-8.22E+01,4.24E-02,4.10E-03,1.70E+04,,,,43.44474149,4.277905521,0.386830664,0.266886502
3.35E+00,1.20E-01,7.42E+02,1.20E-01,-1.53E-10,1.67E-02,-8.22E+01,4.24E-02,4.11E-03,1.70E+04,,,,43.87253204,4.705696073,0.385687528,0.265743366
4.51E+00,1.20E-01,7.42E+02,1.20E-01,-1.46E-10,1.67E-02,-8.22E+01,4.24E-02,4.11E-03,1.70E+04,,,,44.30032259,5.133486625,0.384463354,0.264519192
7.61E+00,1.20E-01,7.43E+02,1.20E-01,-1.28E-10,1.66E-02,-8.22E+01,4.24E-02,4.12E-03,1.70E+04,,,,44.72811315,5.561277177,0.383165232,0.263221071
1.42E+01,1.20E-01,7.43E+02,1.20E-01,-9.76E-11,1.66E-02,-8.22E+01,4.24E-02,4.14E-03,1.70E+04,,,,45.1559037,5.989067729,0.381799719,0.261855557
2.00E+01,1.19E-01,7.43E+02,1.19E-01,-7.67E-11,1.66E-02,-8.22E+01,4.24E-02,4.16E-03,1.70E+04,,,,45.58369425,6.416858281,0.380372864,0.260428703
2.00E+01,1.19E-01,7.43E+02,1.19E-01,-7.67E-11,1.66E-02,-8.20E+01,5.06E-02,4.50E-03,1.70E+04,,,,46.0114848,6.844648833,0.378890265,0.258946103
2.00E+01,1.19E-01,7.43E+02,1.19E-01,-7.67E-11,1.66E-02,-8.18E+01,5.87E-02,4.85E-03,1.70E+04,,,,46.43927535,7.272439386,0.377357097,0.257412936
2.00E+01,1.19E-01,7.43E+02,1.19E-01,-7.67E-11,1.66E-02,-8.11E+01,8.62E-02,6.02E-03,1.70E+04,,,,46.86706591,7.700229938,0.375778163,0.255834002
2.00E+01,1.19E-01,7.43E+02,1.19E-01,-7.67E-11,1.66E-02,-8.04E+01,1.14E-01,7.20E-03,1.70E+04,,,,47.29485646,8.12802049,0.374157911,0.25421375
2.00E+01,1.19E-01,7.43E+02,1.19E-01,-7.66E-11,1.66E-02,-7.97E+01,1.41E-01,8.39E-03,1.70E+04,,,,47.72264701,8.555811042,0.372500476,0.252556315
2.00E+01,1.19E-01,7.43E+02,1.19E-01,-7.66E-11,1.66E-02,-7.84E+01,1.89E-01,1.05E-02,1.70E+04,,,,48.15043756,8.983601594,0.370809726,0.250865565
2.01E+01,1.19E-01,7.43E+02,1.19E-01,-7.65E-11,1.66E-02,-7.72E+01,2.36E-01,1.26E-02,1.70E+04,,,,48.57822812,9.411392146,0.369089279,0.249145117
2.01E+01,1.19E-01,7.43E+02,1.19E-01,-7.65E-11,1.66E-02,-7.53E+01,3.10E-01,1.59E-02,1.70E+04,,,,49.00601867,9.839182698,0.367342525,0.247398364
