environment.time,calcium_concentration.Cai,calcium_concentration.CaJSR,calcium_concentration.Cass,calcium_fluxes.J_rel,calcium_fluxes.J_up,membrane.V,non_inactivating_steady_state_potassium_current.i_Kss,sodium_calcium_exchange_current.i_NaCa,sodium_concentration.Nai,,,,39.56253578,0,0.402386637,0.282421675
0.00E+00,1.20E-01,7.77E+02,1.20E-01,2.65E-12,1.70E-02,-8.22E+01,4.24E-02,3.96E-03,1.70E+04,,,,40.06115297,0.498617196,0.402236541,0.282271579
4.95E-02,1.20E-01,7.77E+02,1.20E-01,2.64E-12,1.70E-02,-8.22E+01,4.24E-02,3.96E-03,1.70E+04,,,,40.55977017,0.997234393,0.401845344,0.281880382
9.89E-02,1.20E-01,7.77E+02,1.20E-01,2.64E-12,1.70E-02,-8.22E+01,4.24E-02,3.96E-03,1.70E+04,,,,41.05838736,1.495851589,0.40123591,0.281270948
1.86E-01,1.20E-01,7.77E+02,1.20E-01,2.63E-12,1.70E-02,-8.22E+01,4.24E-02,3.96E-03,1.70E+04,,,,41.55700456,1.994468786,0.40042932,0.280464358
3.36E-01,1.20E-01,7.77E+02,1.20E-01,2.61E-12,1.70E-02,-8.22E+01,4.24E-02,3.96E-03,1.70E+04,,,,42.05562176,2.493085982,0.399445025,0.279480063
6.54E-01,1.20E-01,7.77E+02,1.20E-01,2.58E-12,1.70E-02,-8.22E+01,4.24E-02,3.96E-03,1.70E+04,,,,42.55423895,2.991703178,0.398300872,0.27833591
1.58E+00,1.20E-01,7.77E+02,1.20E-01,2.49E-12,1.70E-02,-8.22E+01,4.24E-02,3.96E-03,1.70E+04,,,,43.05285615,3.490320375,0.397013167,0.277048205
5.97E+00,1.20E-01,7.78E+02,1.20E-01,2.11E-12,1.69E-02,-8.22E+01,4.24E-02,3.97E-03,1.70E+04,,,,43.55147335,3.988937571,0.39559676,0.275631798
2.00E+01,1.20E-01,7.78E+02,1.20E-01,1.47E-12,1.68E-02,-8.22E+01,4.24E-02,4.01E-03,1.70E+04,,,,44.05009054,4.487554767,0.394065156,0.274100194
2.00E+01,1.20E-01,7.78E+02,1.20E-01,1.47E-12,1.68E-02,-8.20E+01,5.06E-02,4.35E-03,1.70E+04,,,,44.54870774,4.986171964,0.392430625,0.272465663
