"environment.time","calcium_concentration.Cai","calcium_concentration.CaJSR","calcium_concentration.Cass","calcium_fluxes.J_rel","calcium_fluxes.J_up","membrane.V","non_inactivating_steady_state_potassium_current.i_Kss","sodium_calcium_exchange_current.i_NaCa","sodium_concentration.Nai"
 0.00000000000000000e+00, 1.20099362458997647e-01, 6.50290868704329455e+02, 1.20128746374757081e-01,-5.30919679362094141e-11, 1.58790946173643401e-02,-8.22208762377004376e+01, 4.22574953105891923e-02, 4.05165698240594636e-03, 1.70584291468608717e+04
 6.54825680893158096e-02, 1.20098439579202326e-01, 6.50294225251510170e+02, 1.20110475246276757e-01,-5.29511002085727162e-11, 1.58785805837227782e-02,-8.22208728791171808e+01, 4.22575691385291136e-02, 4.05196266870531258e-03, 1.70584286585428272e+04
 1.30965136178631619e-01, 1.20097516311195932e-01, 6.50297581295351506e+02, 1.20102662766618018e-01,-5.28106048308742158e-11, 1.58780663858679970e-02,-8.22208695210366329e+01, 4.22576429467000081e-02, 4.05226848196540632e-03, 1.70584281702210028e+04
 2.65625832424289055e-01, 1.20095617955516307e-01, 6.50304480656449641e+02, 1.20097327609658716e-01,-5.25232433586045619e-11, 1.58770091490047366e-02,-8.22208626174935659e+01, 4.22577946449538139e-02, 4.05289726949991606e-03, 1.70584271660025515e+04
 5.39005756442039741e-01, 1.20091767401538763e-01, 6.50318478558156357e+02, 1.20092525510619968e-01,-5.19462176895582502e-11, 1.58748645399896804e-02,-8.22208486113211592e+01, 4.22581022621558375e-02, 4.05417266955358443e-03, 1.70584251272337751e+04
 1.27941887542507127e+00, 1.20081365760611014e-01, 6.50356325926064187e+02, 1.20081980153409304e-01,-5.04286332526909850e-11, 1.58690698779623204e-02,-8.22208107462809039e+01, 4.22589327142172469e-02, 4.05761788647513149e-03, 1.70584196050186802e+04
 4.41799393525055084e+00, 1.20037757724005489e-01, 6.50515620471726038e+02, 1.20038357237648496e-01,-4.47158859180405653e-11, 1.58447516432837533e-02,-8.22206516080602512e+01, 4.22623995588564255e-02, 4.07206024672005038e-03, 1.70583961880653624e+04
 2.00000000000000000e+01, 1.19833820996105303e-01, 6.51277060745451422e+02, 1.19834389840416070e-01,-2.79843698074710296e-11, 1.57303753844007625e-02,-8.22199022598095013e+01, 4.22780273323813266e-02, 4.13955530776134294e-03, 1.70582797098103838e+04
 2.00026431954217436e+01, 1.19833786720179469e-01, 6.51277190414207553e+02, 1.19834355056342864e-01,-2.79813648122939777e-11, 1.57303561222330163e-02,-8.20085426098977166e+01, 5.04521885330016656e-02, 4.48663421031270538e-03, 1.70582796895473730e+04
 2.00052863908434873e+01, 1.19833752979345926e-01, 6.51277320082197662e+02, 1.19834320332443164e-01,-2.79783601397552114e-11, 1.57303371024343705e-02,-8.17972775401515975e+01, 5.86226908872236260e-02, 4.83438713892044361e-03, 1.70582796687761947e+04
 2.00141762114541955e+01, 1.19833643553506355e-01, 6.51277756186881561e+02, 1.19834204434296987e-01,-2.79682569988879656e-11, 1.57302749697637335e-02,-8.10874210493254566e+01, 8.60757973155362732e-02, 6.00892074959113575e-03, 1.70582795950896179e+04
 2.00230660320649037e+01, 1.19833539563699035e-01, 6.51278192283864314e+02, 1.19834090233521220e-01,-2.79581571128484563e-11, 1.57302152993145927e-02,-8.03784442505846215e+01, 1.13494869512674262e-01, 7.19134529429410908e-03, 1.70582795163064293e+04
 2.00319558526756119e+01, 1.19833441500525564e-01, 6.51278628372504386e+02, 1.19833978477621339e-01,-2.79480607425467226e-11, 1.57301583132856554e-02,-7.96703737105888479e+01, 1.40878878875608238e-01, 8.38158328581412385e-03, 1.70582794320111971e+04
 2.00474381931903594e+01, 1.19833285485905133e-01, 6.51279387835524176e+02, 1.19833792015646548e-01,-2.79304857517659030e-11, 1.57300657575456838e-02,-7.84392513969115299e+01, 1.88491421078480048e-01, 1.04732449078834347e-02, 1.70582792716629992e+04
 2.00629205337051069e+01, 1.19833148436091649e-01, 6.51280147272377576e+02, 1.19833617707842163e-01,-2.79129217668466790e-11, 1.57299817916116344e-02,-7.72105293840180309e+01, 2.36011080058207479e-01, 1.25889405977039973e-02, 1.70582790941429521e+04
 2.00871156768981542e+01, 1.19832972814915020e-01, 6.51281334035468603e+02, 1.19833373844331834e-01,-2.78854955949776576e-11, 1.57298680356515071e-02,-7.52946263074347257e+01, 3.10106688022174393e-01, 1.59439529832272366e-02, 1.70582787824511943e+04
 2.01113108200912016e+01, 1.19832845080082809e-01, 6.51282520734423883e+02, 1.19833169796333419e-01,-2.78580963621588855e-11, 1.57297759685251851e-02,-7.33831642383937606e+01, 3.84030356470960121e-01, 1.93593719701896962e-02, 1.70582784293103141e+04
 2.01355059632842490e+01, 1.19832766282965242e-01, 6.51283707369215904e+02, 1.19833009936846618e-01,-2.78307240559678386e-11, 1.57297060660808834e-02,-7.14752275954914751e+01, 4.57817448848008179e-01, 2.28365317198485351e-02, 1.70582780353895869e+04
 2.01597011064772964e+01, 1.19832737435106265e-01, 6.51284893939862627e+02, 1.19832896803241731e-01,-2.78033786466695744e-11, 1.57296587861445909e-02,-6.95700484151591354e+01, 5.31497608868610416e-01, 2.63766595168542159e-02, 1.70582776017133474e+04
 2.01838962496703438e+01, 1.19832759504900813e-01, 6.51286080446390088e+02, 1.19832831873404100e-01,-2.77760601030189608e-11, 1.57296345670251934e-02,-6.76670338355559409e+01, 6.05093695966408496e-01, 2.99808038480888911e-02, 1.70582771297947402e+04
 2.02080913928633912e+01, 1.19832833464072627e-01, 6.51287266888816248e+02, 1.19832816373145870e-01,-2.77487683969077608e-11, 1.57296338485561488e-02,-6.57657123031106323e+01, 6.78623863047983056e-01, 3.36499148347955343e-02, 1.70582766218933903e+04
 2.02322865360564386e+01, 1.19832960311767073e-01, 6.51288453267153841e+02, 1.19832851547814020e-01,-2.77215034983144008e-11, 1.57296570830009787e-02,-6.38656873323932643e+01, 7.52103341424060434e-01, 3.73849210925162323e-02, 1.70582760814215071e+04
 2.02564816792494859e+01, 1.19833141071975208e-01, 6.51289639581416509e+02, 1.19832938617854559e-01,-2.76942653604969206e-11, 1.57297047338871114e-02,-6.19666148116061564e+01, 8.25545314717594736e-01, 4.11867688047794847e-02, 1.70582755135505067e+04
