"environment.time","calcium_concentration.Cai","calcium_concentration.CaJSR","calcium_concentration.Cass","calcium_fluxes.J_rel","calcium_fluxes.J_up","membrane.V","non_inactivating_steady_state_potassium_current.i_Kss","sodium_calcium_exchange_current.i_NaCa","sodium_concentration.Nai"
 0.00000000000000000e+00, 1.11452090519688379e-01, 8.15139384449132876e+02, 1.11456408853701519e-01, 7.18346966677476166e-12, 2.13004816978076550e-02,-8.21899275680741539e+01, 4.34253582257387305e-02, 6.74729495423713726e-03, 1.70321173584837379e+04
 1.98140786241257111e-01, 1.11447336656231411e-01, 8.15154433830280709e+02, 1.11449024300785515e-01, 7.12611456793072630e-12, 2.12987506427620224e-02,-8.21899121834291435e+01, 4.34257781642894483e-02, 6.74887233133377503e-03, 1.70321157862529872e+04
 5.73243858303140397e-01, 1.11438345353393795e-01, 8.15182906717687047e+02, 1.11439495443930475e-01, 7.01915292317174516e-12, 2.12954767451841998e-02,-8.21898830723755935e+01, 4.34265726075507702e-02, 6.75185572744429075e-03, 1.70321128096298198e+04
 1.71563753539503816e+00, 1.11411040967179131e-01, 8.15269462241950805e+02, 1.11412125471016948e-01, 6.70770458626717980e-12, 2.12855360320765574e-02,-8.21897945626554502e+01, 4.34289862384886274e-02, 6.76091551141095193e-03, 1.70321037422324844e+04
 7.41855209383257019e+00, 1.11276677480726491e-01, 8.15697633599257756e+02, 1.11277744909651366e-01, 5.44264767740904591e-12, 2.12366470717040776e-02,-8.21893576534904469e+01, 4.34408418759340553e-02, 6.80549478254584977e-03, 1.70320584291005471e+04
 2.00000000000000000e+01, 1.10993216982921264e-01, 8.16616164307132635e+02, 1.10994253681248156e-01, 3.82406655457455063e-12, 2.11336653185544530e-02,-8.21884333534408569e+01, 4.34654526253485385e-02, 6.89950803764954532e-03, 1.70319581406820580e+04
 2.00026434575451617e+01, 1.10993157087881725e-01, 8.16616358967708379e+02, 1.10994193318134898e-01, 3.82365599407803305e-12, 2.11336435811049946e-02,-8.19770524577426016e+01, 5.16452628372165920e-02, 7.23704652084214677e-03, 1.70319581191277466e+04
 2.00052869150903234e+01, 1.10993097686507072e-01, 8.16616553627470012e+02, 1.10994133007981041e-01, 3.82324547765581977e-12, 2.11336220228286152e-02,-8.17657659356124640e+01, 5.98214200327489842e-02, 7.57526485138016251e-03, 1.70319580970702045e+04
 2.00141816400027643e+01, 1.10992901556835860e-01, 8.16617208613887215e+02, 1.10993930862232720e-01, 3.82186450137278681e-12, 2.11335508424269937e-02,-8.10555148269580030e+01, 8.73060080684916473e-02, 8.71829344482959179e-03, 1.70319580190574161e+04
 2.00230763649152053e+01, 1.10992710449125467e-01, 8.16617863592111348e+02, 1.10993730224096102e-01, 3.82048397009078017e-12, 2.11334814847198085e-02,-8.03461421175151997e+01, 1.14756591744281766e-01, 9.86928244322815389e-03, 1.70319579359930358e+04
 2.00319710898276462e+01, 1.10992524818118291e-01, 8.16618518561459837e+02, 1.10993531764928474e-01, 3.81910391950286784e-12, 2.11334141147363139e-02,-7.96376742241712350e+01, 1.42172147638445295e-01, 1.10281599272642871e-02, 1.70319578474653790e+04
 2.00474476464194069e+01, 1.10992215460264040e-01, 8.16619658166785598e+02, 1.10993193761521169e-01, 3.81670385392671269e-12, 2.11333018414899994e-02,-7.84069942488985419e+01, 1.89795687602791807e-01, 1.30634954410924348e-02, 1.70319576800292707e+04
 2.00629242030111676e+01, 1.10991923609985429e-01, 8.16620797744324250e+02, 1.10992866674286109e-01, 3.81430529036426578e-12, 2.11331959223879200e-02,-7.71787056436984500e+01, 2.37326634924922120e-01, 1.51230654723796733e-02, 1.70319574956057186e+04
 2.00871046593917697e+01, 1.10991503222997182e-01, 8.16622578156003215e+02, 1.10992381381208746e-01, 3.81056080427247503e-12, 2.11330433547888517e-02,-7.52639099408591505e+01, 3.11423143343580122e-01, 1.83900218201896309e-02, 1.70319571735753198e+04
 2.01112851157723718e+01, 1.10991127076995988e-01, 8.16624358499603204e+02, 1.10991932206677357e-01, 3.80681999270492831e-12, 2.11329068436059038e-02,-7.33535352314891327e+01, 3.85348384762345841e-01, 2.17179010692082307e-02, 1.70319568105662620e+04
 2.01354655721529738e+01, 1.10990796182479326e-01, 8.16626138775092841e+02, 1.10991523350597629e-01, 3.80308285361390607e-12, 2.11327867554356001e-02,-7.14466693494366609e+01, 4.59137611273637447e-01, 2.51080621551399569e-02, 1.70319564072478170e+04
 2.01596460285335759e+01, 1.10990511513218537e-01, 8.16627918982489291e+02, 1.10991157321489925e-01, 3.79934938234444054e-12, 2.11326834435583769e-02,-6.95425474479016117e+01, 5.32820363407673026e-01, 2.85617603270136335e-02, 1.70319559646448906e+04
 2.01838264849141780e+01, 1.10990274002106259e-01, 8.16629699121817680e+02, 1.10990835613915748e-01, 3.79561957384574427e-12, 2.11325972464328909e-02,-6.76405791961514780e+01, 6.06419416063760597e-01, 3.20800769013138143e-02, 1.70319554842725520e+04
 2.02080069412947800e+01, 1.10990084585401549e-01, 8.16631479193094606e+02, 1.10990559454054505e-01, 3.79189342412616999e-12, 2.11325285037546884e-02,-6.57402950815899629e+01, 6.79952853794516199e-01, 3.56639970332561368e-02, 1.70319549683943733e+04
