"environment.time","calcium_concentration.Cai","calcium_concentration.CaJSR","calcium_concentration.Cass","calcium_fluxes.J_rel","calcium_fluxes.J_up","membrane.V","non_inactivating_steady_state_potassium_current.i_Kss","sodium_calcium_exchange_current.i_NaCa","sodium_concentration.Nai"
 0.00000000000000000e+00, 1.11453618053278733e-01, 8.15097653477131416e+02, 1.11680114331560582e-01,-2.77880295543655562e-10, 2.13010379412000503e-02,-8.21899023949150944e+01, 4.34247827439273523e-02, 6.74646664601100815e-03, 1.70320695587769223e+04
 2.37156158772714280e-02, 1.11453052971217062e-01, 8.15099459057271019e+02, 1.11602002981396303e-01,-2.77613008313155913e-10, 2.13008321687933738e-02,-8.21899005359514092e+01, 4.34248336865260334e-02, 6.74665418403701603e-03, 1.70320693706066668e+04
 4.74312317545428561e-02, 1.11452486390341624e-01, 8.15101264567139083e+02, 1.11550575151825898e-01,-2.77345963461326389e-10, 2.13006258514486860e-02,-8.21898986771377906e+01, 4.34248846232463681e-02, 6.74684221517425197e-03, 1.70320691824355672e+04
 8.50019715478428084e-02, 1.11451587220855339e-01, 8.15104124776620665e+02, 1.11497570626003475e-01,-2.76923311239012820e-10, 2.13002984255153960e-02,-8.21898957325931150e+01, 4.34249653093745289e-02, 6.74714061780557275e-03, 1.70320688843298849e+04
 1.22572711341142754e-01, 1.11450686694079398e-01, 8.15106984828433497e+02, 1.11469525211638359e-01,-2.76501222953283802e-10, 2.12999705074813951e-02,-8.21898927883379571e+01, 4.34250459841196632e-02, 6.74743946671677638e-03, 1.70320685862223036e+04
 2.34556600580498764e-01, 1.11448000184730472e-01, 8.15115508490870070e+02, 1.11436337973237751e-01,-2.75246931298467727e-10, 2.12989922540913375e-02,-8.21898840144190928e+01, 4.34252863748592205e-02, 6.74833100250840645e-03, 1.70320676976659161e+04
 3.46540489819854747e-01, 1.11445312448726852e-01, 8.15124030604639643e+02, 1.11437796619385951e-01,-2.73998244617331177e-10, 2.12980135731624526e-02,-8.21898752430600581e+01, 4.34255266649599750e-02, 6.74922293763057998e-03, 1.70320668090908766e+04
 4.58524379059210729e-01, 1.11442625374795809e-01, 8.15132551158763476e+02, 1.11441009146382206e-01,-2.72755197306652019e-10, 2.12970351524402399e-02,-8.21898664742349041e+01, 4.34257668554273793e-02, 6.75011465040833026e-03, 1.70320659204970434e+04
 1.00180971730836799e+00, 1.11429610480451746e-01, 8.15173847731960564e+02, 1.11430487213521764e-01,-2.66866225729589705e-10, 2.12922964234832021e-02,-8.21898239982676841e+01, 4.34269295683017489e-02, 6.75443362398358421e-03, 1.70320616090310068e+04
 1.54509505555752513e+00, 1.11416613699397052e-01, 8.15215107596328835e+02, 1.11417683789213698e-01,-2.61104326248838661e-10, 2.12875647373511785e-02,-8.21897815817998918e+01, 4.34280899417136129e-02, 6.75874653166120935e-03, 1.70320572971224028e+04
