"environment.time","calcium_concentration.Cai","calcium_concentration.CaJSR","calcium_concentration.Cass","calcium_fluxes.J_rel","calcium_fluxes.J_up","membrane.V","non_inactivating_steady_state_potassium_current.i_Kss","sodium_calcium_exchange_current.i_NaCa","sodium_concentration.Nai"
 0.00000000000000000e+00, 1.11454905079578476e-01, 8.15087615391825352e+02, 1.11455972955313121e-01, 2.58818433299367621e-14, 2.13015066099137805e-02,-8.21899340914283556e+01, 4.34244911215782847e-02, 6.74618966760142172e-03, 1.70320953471157773e+04
 6.86451812976500387e-04, 1.11454888589955961e-01, 8.15087667716039846e+02, 1.11455956754818716e-01, 2.58811217467167933e-14, 2.13015006052145080e-02,-8.21899340373020948e+01, 4.34244926084535326e-02, 6.74619514028739539e-03, 1.70320953416692100e+04
 2.10026494458979096e+00, 1.11404722021785252e-01, 8.15247154933129764e+02, 1.11405803721513000e-01, 2.38451154319891235e-14, 2.12832357738445312e-02,-8.21897696111600169e+01, 4.34289965850776852e-02, 6.76284360052594163e-03, 1.70320786762125535e+04
 1.74980096268376286e+01, 1.11050652323975277e-01, 8.16388482880877973e+02, 1.11051695588316249e-01, 1.46175579800089516e-14, 2.11545144643961631e-02,-8.21886121228743889e+01, 4.34601401487249295e-02, 6.88030169512012305e-03, 1.70319561147233799e+04
 2.00000000000000000e+01, 1.10995275517911607e-01, 8.16569538641320378e+02, 1.10996312743094100e-01, 1.36912171937979169e-14, 2.11344124196077045e-02,-8.21884313493059864e+01, 4.34649154485953482e-02, 6.89866536710029895e-03, 1.70319361462492416e+04
 2.00026434576554273e+01, 1.10995215594406102e-01, 8.16569733827261757e+02, 1.10996252348735863e-01, 1.36897472788489834e-14, 2.11343906714996435e-02,-8.19770504443664265e+01, 5.16446773117431868e-02, 7.23620500791661778e-03, 1.70319361246954250e+04
 2.00052869153108546e+01, 1.10995156164574366e-01, 8.16569929012373677e+02, 1.10996192007491098e-01, 1.36882775217134016e-14, 2.11343691025705945e-02,-8.17657639131883371e+01, 5.98207861728244430e-02, 7.57442449058826420e-03, 1.70319361026383740e+04
 2.00141816405738524e+01, 1.10994959939218096e-01, 8.16570585766376666e+02, 1.10995989758168601e-01, 1.36833332623150504e-14, 2.11342978863698350e-02,-8.10555127771717991e+01, 8.73052116115891064e-02, 8.71745691738059700e-03, 1.70319360246272372e+04
 2.00230763658368502e+01, 1.10994768735912214e-01, 8.16571242512032427e+02, 1.10995789017699659e-01, 1.36783905963996239e-14, 2.11342284929235714e-02,-8.03461400422836363e+01, 1.14755632818706932e-01, 9.86844968688764534e-03, 1.70319359415645085e+04
 2.00319710910998481e+01, 1.10994583009406692e-01, 8.16571899248645650e+02, 1.10995590457373144e-01, 1.36734496518841397e-14, 2.11341610872662795e-02,-7.96376721255527684e+01, 1.42171026373113130e-01, 1.10273308782906313e-02, 1.70319358530385034e+04
 2.00474476481130317e+01, 1.10994273485631414e-01, 8.16573041928534735e+02, 1.10995252280237294e-01, 1.36648567868166085e-14, 2.11340487521116428e-02,-7.84069921295502752e+01, 1.89794283567303962e-01, 1.30626726631182903e-02, 1.70319356856052582e+04
 2.00629242051262153e+01, 1.10993981469736602e-01, 8.16574184580114320e+02, 1.10994925021677820e-01, 1.36562693025543409e-14, 2.11339427713078225e-02,-7.71787035098136016e+01, 2.37324948430959359e-01, 1.51222487643492207e-02, 1.70319355011845619e+04
 2.00871046614519706e+01, 1.10993560824615478e-01, 8.16575969793551053e+02, 1.10994439464601552e-01, 1.36428630767185418e-14, 2.11337901077281280e-02,-7.52639078528408731e+01, 3.11421013870248897e-01, 1.83892140853958233e-02, 1.70319351791586232e+04
 2.01112851177777259e+01, 1.10993184421229171e-01, 8.16577754937629038e+02, 1.10993990029180964e-01, 1.36294700421608700e-14, 2.11336535010782089e-02,-7.33535332035175855e+01, 3.85345812780732322e-01, 2.17171017858673286e-02, 1.70319348161540038e+04
 2.01354655741034811e+01, 1.10992853270077921e-01, 8.16579540012316670e+02, 1.10993580914191106e-01, 1.36160902590468429e-14, 2.11335333179610216e-02,-7.14466673952150728e+01, 4.59134597063382888e-01, 2.51072707855081283e-02, 1.70319344128399898e+04
 2.01596460304292364e+01, 1.10992568344935150e-01, 8.16581325017631571e+02, 1.10993214627588099e-01, 1.36027239319508329e-14, 2.11334299116629869e-02,-6.95425455806331456e+01, 5.32816907091881453e-01, 2.85609763170697299e-02, 1.70319339702414836e+04
 2.01838264867549917e+01, 1.10992330578695231e-01, 8.16583109953599433e+02, 1.10992892663711304e-01, 1.35893718011972114e-14, 2.11333436206483996e-02,-6.76405774285472035e+01, 6.06415517648977498e-01, 3.20792996804274907e-02, 1.70319334898735615e+04
 2.02080069430807470e+01, 1.10992140907618955e-01, 8.16584894820237309e+02, 1.10992616248619752e-01, 1.35760365130659011e-14, 2.11332747846184436e-02,-6.57402934258816742e+01, 6.79948513198170512e-01, 3.56632260142107152e-02, 1.70319329739997993e+04
 2.02321873994065022e+01, 1.10992000294544688e-01, 8.16586679617556229e+02, 1.10992386606871551e-01, 1.35627274498084952e-14, 2.11332237529361887e-02,-6.38412987542771120e+01, 7.53431069343071469e-01, 3.93137188018456360e-02, 1.70319324260390640e+04
 2.02563678557322575e+01, 1.10991909726572205e-01, 8.16588464345568013e+02, 1.10992204931580199e-01, 1.35494775418740675e-14, 2.11331908837872201e-02,-6.19432506093265829e+01, 8.26876326716346366e-01, 4.30317578459624914e-02, 1.70319318511730162e+04
 2.02805483120580128e+01, 1.10991870206387663e-01, 8.16590249004287671e+02, 1.10992072334198555e-01, 1.35364006708815247e-14, 2.11331765410325001e-02,-6.00458402173743053e+01, 9.00296082613329829e-01, 4.68183725125765615e-02, 1.70319312572452582e+04
 2.03047287683837681e+01, 1.10991882749076176e-01, 8.16592033593732708e+02, 1.10991989861117996e-01, 1.35238833212961223e-14, 2.11331810930529204e-02,-5.81487639018966931e+01, 9.73701905688557856e-01, 5.06747011748772125e-02, 1.70319306560844634e+04
 2.03289092247095233e+01, 1.10991948384922517e-01, 8.16593818113921770e+02, 1.10991958537811908e-01, 1.35132088809458351e-14, 2.11332049137671202e-02,-5.62516792452689600e+01, 1.04710682659246279e+00, 5.46020880765327662e-02, 1.70319300654329272e+04
 2.03530896810352786e+01, 1.10992068164982471e-01, 8.16595602564874753e+02, 1.10991979398021204e-01, 1.35085381205212575e-14, 2.11332483846549055e-02,-5.43541466784831755e+01, 1.12052759165400162e+00, 5.86022210991096124e-02, 1.70319295117239490e+04
 2.03772701373610339e+01, 1.10992243167962204e-01, 8.16597386946612119e+02, 1.10992053493131362e-01, 1.35230167138101019e-14, 2.11333118972554246e-02,-5.24555542544843476e+01, 1.19398756649673854e+00, 6.26773196891017709e-02, 1.70319290340282860e+04
 2.04014505936867891e+01, 1.10992474509294295e-01, 8.16599171259155924e+02, 1.10992181895421566e-01, 1.35970497132529732e-14, 2.11333958564627160e-02,-5.05550193302069246e+01, 1.26752053248843621e+00, 6.68303921739081402e-02, 1.70319286895799487e+04
 2.04256310500125444e+01, 1.10992763354279864e-01, 8.16600955502529473e+02, 1.10992365705233187e-01, 1.38512424908518177e-14, 2.11335006852970339e-02,-4.86512582001339524e+01, 1.34117572279567576e+00, 7.10655902612129242e-02, 1.70319285613908942e+04
 2.04498115063382997e+01, 1.10993110937276651e-01, 8.16602739676757551e+02, 1.10992606064112528e-01, 1.46346858272690270e-14, 2.11336268318705958e-02,-4.67424132785793915e+01, 1.41502450090336063e+00, 7.53886955832276939e-02, 1.70319287685641721e+04
 2.04739919626640550e+01, 1.10993518606854011e-01, 8.16604523781866305e+02, 1.10992904183611948e-01, 1.71857720006982788e-14, 2.11337747857777321e-02,-4.48257259334775640e+01, 1.48917300814622133e+00, 7.98080142116005808e-02, 1.70319294861956987e+04
 2.04883622583170677e+01, 1.10993789932313278e-01, 8.16605584031765375e+02, 1.10993109235014015e-01, 2.07670521988552872e-14, 2.11338732570980244e-02,-4.36815353848148789e+01, 1.53343489065717797e+00, 8.24842256372715632e-02, 1.70319302429142008e+04
 2.05000000000000000e+01, 1.10994025820811040e-01, 8.16606442654149760e+02, 1.10993290773988881e-01, 2.62829156191697633e-14, 2.11339588675489611e-02,-4.27512548496687543e+01, 1.56942066230207677e+00, 8.46813437985015072e-02, 1.70319310905625061e+04
 2.05000239624522500e+01, 1.10994026321531047e-01, 8.16606444422061941e+02, 1.10993291162217872e-01, 2.62978009677341348e-14, 2.11339590492742382e-02,-4.27512526148059138e+01, 1.56942072701800006e+00, 8.46813490515602313e-02, 1.70319310925482314e+04
 2.05029439120534462e+01, 1.10994087330692201e-01, 8.16606659850362689e+02, 1.10993339298755045e-01, 2.83580147265849811e-14, 2.11339811912079900e-02,-4.27506896888425487e+01, 1.56943985701576771e+00, 8.46826788215870874e-02, 1.70319313524223689e+04
 2.05153932480929662e+01, 1.10994347413524430e-01, 8.16607578326380235e+02, 1.10993553018569516e-01, 4.09822963152454367e-14, 2.11340755826648977e-02,-4.27445531741609486e+01, 1.56966598940222068e+00, 8.46972163292128155e-02, 1.70319326906115857e+04
 2.05278425841324861e+01, 1.10994607512847190e-01, 8.16608496786131468e+02, 1.10993776310209624e-01, 6.00492451372406913e-14, 2.11341699802863325e-02,-4.27331513368881915e+01, 1.57009584107717637e+00, 8.47242523530196689e-02, 1.70319343532106614e+04
 2.05402919201720060e+01, 1.10994867713949980e-01, 8.16609415228263856e+02, 1.10994008017939530e-01, 8.81390093516276667e-14, 2.11342644150264644e-02,-4.27156722530002000e+01, 1.57076081827471281e+00, 8.47657184327039459e-02, 1.70319363902623627e+04
 2.05527412562115259e+01, 1.10995128120756154e-01, 8.16610333652329359e+02, 1.10994246550181183e-01, 1.28217627113453609e-13, 2.11343589246024942e-02,-4.26915402037242018e+01, 1.57168318643051541e+00, 8.48229887510208308e-02, 1.70319388372638241e+04
 2.05651905922510458e+01, 1.10995388849016025e-01, 8.16611252058181321e+02, 1.10994490457197281e-01, 1.83827903852650915e-13, 2.11344535510242897e-02,-4.26602613540666766e+01, 1.57288204158534661e+00, 8.48972470318803407e-02, 1.70319417246741068e+04
 2.05873324986166004e+01, 1.10995853780746750e-01, 8.16612885454097977e+02, 1.10994934034245443e-01, 3.35978294420574353e-13, 2.11346222897059871e-02,-4.25854827828485298e+01, 1.57575499127709073e+00, 8.50748814153438476e-02, 1.70319480401439796e+04
 2.06094744049821550e+01, 1.10996320860574468e-01, 8.16614518792217837e+02, 1.10995386900193241e-01, 5.81551220897533917e-13, 2.11347918085791966e-02,-4.24842878447010150e+01, 1.57964981011490324e+00, 8.53154823837895399e-02, 1.70319559838302775e+04
 2.06316163113477096e+01, 1.10996790919812266e-01, 8.16616152072540103e+02, 1.10995846329386208e-01, 9.62943996162743693e-13, 2.11349624093647472e-02,-4.23542721487893914e+01, 1.58465944182704677e+00, 8.56249566129640288e-02, 1.70319657042140061e+04
 2.06681463172195237e+01, 1.10997575517652547e-01, 8.16618846553445564e+02, 1.10996616209493568e-01, 2.08009302476103407e-12, 2.11352471684153401e-02,-4.20703453134661061e+01, 1.59560962838905462e+00, 8.63021227168955518e-02, 1.70319860218548092e+04
 2.07046763230913378e+01, 1.10998375436210703e-01, 8.16621540877200573e+02, 1.10997400043966701e-01, 4.21225919769569899e-12, 2.11355374895937503e-02,-4.16907191046045966e+01, 1.61026095689001170e+00, 8.72103833873424938e-02, 1.70320122420439802e+04
 2.07412063289631519e+01, 1.10999195800971243e-01, 8.16624235043910971e+02, 1.10998200542888253e-01, 8.17116025650958369e-12, 2.11358352332494219e-02,-4.12045620694561450e+01, 1.62903191171434680e+00, 8.83782815874041006e-02, 1.70320450351193213e+04
 2.07777363348349660e+01, 1.11000042384583109e-01, 8.16626929053685103e+02, 1.10999022935543562e-01, 1.54544365391840797e-11, 2.11361424946637164e-02,-4.06003132527325761e+01, 1.65236908220782386e+00, 8.98373482684592245e-02, 1.70320851171322902e+04
 2.08142663407067801e+01, 1.11000921684937581e-01, 8.16629622906631539e+02, 1.10999873794683887e-01, 2.87756749679374398e-11, 2.11364616323986183e-02,-3.98649970217325134e+01, 1.68077364159836717e+00, 9.16241377763650500e-02, 1.70321332922017573e+04
 2.08507963465785942e+01, 1.11001841053501873e-01, 8.16632316602859191e+02, 1.11000760566964743e-01, 5.27583373975406277e-11, 2.11367953148885943e-02,-3.89834837478823673e+01, 1.71482990796513257e+00, 9.37825616543081497e-02, 1.70321904982940287e+04
 2.08873263524504083e+01, 1.11002808876776077e-01, 8.16635010142478450e+02, 1.11001691154365256e-01, 9.44859229603505387e-11, 2.11371465863177295e-02,-3.79374962902696566e+01, 1.75524372750466107e+00, 9.63671012341656280e-02, 1.70322578686909983e+04
 2.09238563583222223e+01, 1.11003834844575086e-01, 8.16637703525601978e+02, 1.11002673449185296e-01, 1.63312578353544572e-10, 2.11375189640163504e-02,-3.67047753637230656e+01, 1.80287469384191534e+00, 9.94460193037124546e-02, 1.70323367839333296e+04
 2.09603863641940364e+01, 1.11004930293370066e-01, 8.16640396752345850e+02, 1.11003715754791552e-01, 2.70476636716515042e-10, 2.11379165631097946e-02,-3.52578944036581916e+01, 1.85878192386771257e+00, 1.03106006782119466e-01, 1.70324289454639111e+04
 2.09969163700658505e+01, 1.11006108663820061e-01, 8.16643089822829324e+02, 1.11004828298489774e-01, 4.32461248684012110e-10, 2.11383442626259903e-02,-3.35629870137301580e+01, 1.92427323447996823e+00, 1.07457916013696669e-01, 1.70325364549629085e+04
 2.10334463759376646e+01, 1.11007386096084418e-01, 8.16645782737176319e+02, 1.11006024640252388e-01, 6.79694206465942896e-10, 2.11388079216302156e-02,-3.15785346996681291e+01, 2.00095208102078326e+00, 1.12643615796876553e-01, 1.70326618904108691e+04
 2.10699763818094787e+01, 1.11008782184762483e-01, 8.16648475495515413e+02, 1.11007322299898820e-01, 1.06691395718946843e-09, 2.11393146533252335e-02,-2.92545936899805916e+01, 2.09074778791720339e+00, 1.18843528264305401e-01, 1.70328083557593236e+04
 2.11065063876812928e+01, 1.11010320892535888e-01, 8.16651168097981213e+02, 1.11008742995370308e-01, 1.68768958518150773e-09, 2.11398731567932208e-02,-2.65333970745292689e+01, 2.19589325875378316e+00, 1.26282940468167654e-01, 1.70329794468331238e+04
 2.11430363935531069e+01, 1.11012031549677218e-01, 8.16653860544715144e+02, 1.11010313713157102e-01, 2.70412165029375755e-09, 2.11404940799586397e-02,-2.33532893185151096e+01, 2.31877519375869090e+00, 1.35231905219544535e-01, 1.70331790131953749e+04
 2.11663440584561862e+01, 1.11013228349840731e-01, 8.16655578356534761e+02, 1.11011409005098691e-01, 3.68395956572123593e-09, 2.11409284912913824e-02,-2.10580469263439589e+01, 2.40747152573679646e+00, 1.41868194064439429e-01, 1.70333228807386186e+04
 2.11896517233592654e+01, 1.11014519917013124e-01, 8.16657296105056844e+02, 1.11012591926968524e-01, 5.08922544192361613e-09, 2.11413973051672102e-02,-1.85417898817643731e+01, 2.50471959882992357e+00, 1.49321038189714511e-01, 1.70334804979297332e+04
 2.12129593882623446e+01, 1.11015918103544858e-01, 8.16659013790323229e+02, 1.11013884151423992e-01, 7.16504140281061407e-09, 2.11419048247989579e-02,-1.58012052931553910e+01, 2.61065645279077296e+00, 1.57657507452453938e-01, 1.70336520972342223e+04
 2.12277019591526539e+01, 1.11016863121894432e-01, 8.16660100228460692e+02, 1.11014770638203655e-01, 9.06786259320891144e-09, 2.11422478544765341e-02,-1.39527795229570089e+01, 2.68212142974419132e+00, 1.63413835532745993e-01, 1.70337678167146478e+04
 2.12424445300429632e+01, 1.11017859119004303e-01, 8.16661186641318182e+02, 1.11015729739255276e-01, 1.17388407158993616e-08, 2.11426093913642359e-02,-1.20208416047812960e+01, 2.75683056248698533e+00, 1.69549156148810137e-01, 1.70338887679626860e+04
 2.12571871009332725e+01, 1.11018909421329776e-01, 8.16662273028905815e+02, 1.11016791167383083e-01, 1.57047231382927152e-08, 2.11429906433498356e-02,-1.00131942346506513e+01, 2.83448703623827258e+00, 1.76057524545247979e-01, 1.70340144802092691e+04
