"environment.time","calcium_concentration.Cai","calcium_concentration.CaJSR","calcium_concentration.Cass","calcium_fluxes.J_rel","calcium_fluxes.J_up","membrane.V","non_inactivating_steady_state_potassium_current.i_Kss","sodium_calcium_exchange_current.i_NaCa","sodium_concentration.Nai"
 0.00000000000000000e+00, 1.11454323766571356e-01, 8.15165148637173388e+02, 1.11455603477266185e-01, 2.76165762516856956e-12, 2.13012949251031487e-02,-8.21899169361712438e+01, 4.34253832517936256e-02, 6.74645893647521713e-03, 1.70321019509330872e+04
 8.10027491789252707e-01, 1.11434921119883776e-01, 8.15226517988019395e+02, 1.11436015774998953e-01, 2.67365132728602871e-12, 2.12942299755295786e-02,-8.21898545976793855e+01, 4.34270784651892630e-02, 6.75289610575612216e-03, 1.70320955228275161e+04
 3.66763393336315913e+00, 1.11366962938183461e-01, 8.15442032166269087e+02, 1.11368039903472230e-01, 2.39517315029175523e-12, 2.12694927035825092e-02,-8.21896351833068763e+01, 4.34330387560048353e-02, 6.77544271565991545e-03, 1.70320728336597931e+04
 1.90710190919039739e+01, 1.11014352235572308e-01, 8.16576326558981009e+02, 1.11015391033695107e-01, 1.46807014930532935e-12, 2.11413364398007030e-02,-8.21884879746824737e+01, 4.34637767215756213e-02, 6.89240312768033426e-03, 1.70319501918848691e+04
 2.00000000000000000e+01, 1.10993880645128273e-01, 8.16643150667100940e+02, 1.10994917233103715e-01, 1.43349849634942057e-12, 2.11339061792665296e-02,-8.21884212674908952e+01, 4.34655337068322323e-02, 6.89919130649950009e-03, 1.70319427756032528e+04
 2.00026434576057675e+01, 1.10993820760520792e-01, 8.16643345056915564e+02, 1.10994856876418233e-01, 1.43334459215610703e-12, 2.11338844454975923e-02,-8.19770403673598054e+01, 5.16453537769412108e-02, 7.23672987004191776e-03, 1.70319427540491379e+04
 2.00052869152115349e+01, 1.10993761369578919e-01, 8.16643539445924375e+02, 1.10994796572912807e-01, 1.43319070448458380e-12, 2.11338628909028686e-02,-8.17657538407385402e+01, 5.98215208286426575e-02, 7.57494827823478132e-03, 1.70319427319917922e+04
 2.00141816419570766e+01, 1.10993565274982192e-01, 8.16644193521493776e+02, 1.10994594450973191e-01, 1.43267302662233415e-12, 2.11337917228850494e-02,-8.10555025865941161e+01, 8.73061470422304975e-02, 8.71797732306466185e-03, 1.70319426539796514e+04
 2.00230763687026183e+01, 1.10993374202355347e-01, 8.16644847588954008e+02, 1.10994393838387564e-01, 1.43215551557343527e-12, 2.11337223775737576e-02,-8.03461297313988467e+01, 1.14756768865736339e-01, 9.86896674473093302e-03, 1.70319425709159186e+04
 2.00319710954481600e+01, 1.10993188606441556e-01, 8.16645501647629430e+02, 1.10994195406393256e-01, 1.43163818471686430e-12, 2.11336550199993575e-02,-7.96376616920134808e+01, 1.42172362877295011e-01, 1.10278446235895465e-02, 1.70319424823889094e+04
 2.00474476497492766e+01, 1.10992879309779524e-01, 8.16646639668231728e+02, 1.10993857453445560e-01, 1.43073848758506607e-12, 2.11335427684159124e-02,-7.84069818971901498e+01, 1.89795952255470218e-01, 1.30631800307327486e-02, 1.70319423149539871e+04
 2.00629242040503932e+01, 1.10992587520711769e-01, 8.16647777661331475e+02, 1.10993530419798564e-01, 1.42983935348170692e-12, 2.11334368710142211e-02,-7.71786934696021376e+01, 2.37326948991532033e-01, 1.51227498496679710e-02, 1.70319421305316355e+04
 2.00871046547361232e+01, 1.10992167229430949e-01, 8.16649555597909853e+02, 1.10993045215001460e-01, 1.42843568209726504e-12, 2.11332843374084159e-02,-7.52638982060231427e+01, 3.11423528158459362e-01, 1.83897053615141373e-02, 1.70319418085031684e+04
 2.01112851054218531e+01, 1.10991791179174321e-01, 8.16651333467105928e+02, 1.10992596132204135e-01, 1.42703338797571949e-12, 2.11331478603100122e-02,-7.33535239286573812e+01, 3.85348840403361093e-01, 2.17175834946759655e-02, 1.70319414454960825e+04
 2.01354655561075830e+01, 1.10991460380438431e-01, 8.16653111268888665e+02, 1.10992187369625753e-01, 1.42563247016410592e-12, 2.11330278063170153e-02,-7.14466584720538691e+01, 4.59138137833269733e-01, 2.51077431770783573e-02, 1.70319410421796529e+04
 2.01596460067933130e+01, 1.10991175806993622e-01, 8.16654889003274889e+02, 1.10991821434962251e-01, 1.42423292660104599e-12, 2.11329245287112458e-02,-6.95425369899272994e+01, 5.32820960993448778e-01, 2.85614396501247605e-02, 1.70319405995787856e+04
 2.01838264574790429e+01, 1.10990938391731478e-01, 8.16656666670289269e+02, 1.10991499822461051e-01, 1.42283475498048297e-12, 2.11328383659526824e-02,-6.76405691515874707e+01, 6.06420084808522497e-01, 3.20797542234925945e-02, 1.70319401192085534e+04
 2.02080069081647729e+01, 1.10990749070909986e-01, 8.16658444269948177e+02, 1.10991223758131932e-01, 1.42143795377050600e-12, 2.11327696577381444e-02,-6.57402854440057922e+01, 6.79953593869234263e-01, 3.56636720465561899e-02, 1.70319396033325320e+04
 2.02321873588505028e+01, 1.10990608807364693e-01, 8.16660221802262413e+02, 1.10990994466485207e-01, 1.42004252581585809e-12, 2.11327187534262641e-02,-6.38412910484938436e+01, 7.53436663900216796e-01, 3.93141566140560172e-02, 1.70319390553695848e+04
 2.02563678095362327e+01, 1.10990518588192574e-01, 8.16661999267243004e+02, 1.10990813140594821e-01, 1.41864849298901944e-12, 2.11326860111981166e-02,-6.19432431599467606e+01, 8.26882435654894832e-01, 4.30321877404365380e-02, 1.70319384805013760e+04
