"environment.time","calcium_concentration.Cai","calcium_concentration.CaJSR","calcium_concentration.Cass","calcium_fluxes.J_rel","calcium_fluxes.J_up","membrane.V","non_inactivating_steady_state_potassium_current.i_Kss","sodium_calcium_exchange_current.i_NaCa","sodium_concentration.Nai"
 0.00000000000000000e+00, 1.11451009148071323e-01, 8.15037790105795807e+02, 1.11560297810146633e-01,-5.63095913650197733e-10, 2.13000879257077141e-02,-8.21899369926561718e+01, 4.34251258862475564e-02, 6.74757559968352551e-03, 1.70321094815541437e+04
 3.42404506606056314e-02, 1.11450189563317953e-01, 8.15040396810490506e+02, 1.11512866363568733e-01,-5.62314242018264614e-10, 2.12997894830880587e-02,-8.21899343010265824e+01, 4.34251997341853005e-02, 6.74784760364095793e-03, 1.70321092098662302e+04
 6.84809013212112627e-02, 1.11449368895637987e-01, 8.15043003368770314e+02, 1.11485515735382068e-01,-5.61533632399333385e-10, 2.12994906479154859e-02,-8.21899316097218247e+01, 4.34252735694024214e-02, 6.74811996351468765e-03, 1.70321089381765560e+04
 1.21271987565940431e-01, 1.11448102695095405e-01, 8.15047021867521039e+02, 1.11461205983224537e-01,-5.60331792698931085e-10, 2.12990295814021874e-02,-8.21899274608173442e+01, 4.34253873877383303e-02, 6.74854018172695285e-03, 1.70321085192893261e+04
 2.11759039519463177e-01, 1.11445931267825732e-01, 8.15053909041649376e+02, 1.11444965745311764e-01,-5.58277437849220424e-10, 2.12982389010564314e-02,-8.21899203509069167e+01, 4.34255824180041147e-02, 6.74926081496110206e-03, 1.70321078012824910e+04
 3.71894307156807935e-01, 1.11442088460257063e-01, 8.15066094834876367e+02, 1.11437634985841014e-01,-5.54659931598286469e-10, 2.12968396527390517e-02,-8.21899077733015702e+01, 4.34259273743543839e-02, 6.75053612210051602e-03, 1.70321065305934571e+04
 6.18441110417726536e-01, 1.11436174905531746e-01, 8.15084850083370839e+02, 1.11428686671867630e-01,-5.49135662725582173e-10, 2.12946864775622850e-02,-8.21898884205765086e+01, 4.34264580056074670e-02, 6.75249863244577631e-03, 1.70321045741457674e+04
 8.64987913678645137e-01, 1.11430264569796517e-01, 8.15103597804329638e+02, 1.11427917829692316e-01,-5.43666055363397554e-10, 2.12925345670031407e-02,-8.21898690822897890e+01, 4.34269880704361774e-02, 6.75446005837865293e-03, 1.70321026176073246e+04
 1.27109842599796474e+00, 1.11420537487547169e-01, 8.15134462428704978e+02, 1.11421532532285331e-01,-5.34775014349064291e-10, 2.12889932080655639e-02,-8.21898372597447349e+01, 4.34278599594671993e-02, 6.75768809261743670e-03, 1.70320993946090093e+04
 1.67720893831728457e+00, 1.11410820657030146e-01, 8.15165306515048883e+02, 1.11411937964332936e-01,-5.26029381501616040e-10, 2.12854558317506250e-02,-8.21898054759092673e+01, 4.34287303297333713e-02, 6.76091268570247136e-03, 1.70320961713630059e+04
