"environment.time","calcium_concentration.Cai","calcium_concentration.CaJSR","calcium_concentration.Cass","calcium_fluxes.J_rel","calcium_fluxes.J_up","membrane.V","non_inactivating_steady_state_potassium_current.i_Kss","sodium_calcium_exchange_current.i_NaCa","sodium_concentration.Nai"
 0.00000000000000000e+00, 1.11454540873378222e-01, 8.15147842863671713e+02, 1.11464446798374486e-01,-3.58420057093857201e-10, 2.13013739843222957e-02,-8.21899170366768885e+01, 4.34249782310506746e-02, 6.74620122724726556e-03, 1.70320776275274147e+04
 1.19947420371084093e-01, 1.11451661957301287e-01, 8.15156954877666863e+02, 1.11455165693736924e-01,-3.56682381454530578e-10, 2.13003256401590943e-02,-8.21899076400200670e+01, 4.34252356747571316e-02, 6.74715660951742159e-03, 1.70320766757992060e+04
 3.07033213107643310e-01, 1.11447173291330512e-01, 8.15171162867655880e+02, 1.11448730877602681e-01,-3.53992395010410020e-10, 2.12986911567079641e-02,-8.21898929910747142e+01, 4.34256369310856982e-02, 6.74864618699344814e-03, 1.70320751913059030e+04
 7.30953783778076405e-01, 1.11437013065242438e-01, 8.15203334884355741e+02, 1.11438143756773536e-01,-3.47999424118603138e-10, 2.12949916529516330e-02,-8.21898598342086046e+01, 4.34265447191835921e-02, 6.75201785523726287e-03, 1.70320718272997583e+04
 2.09393722656879966e+00, 1.11404458645298951e-01, 8.15306546507077996e+02, 1.11405541430049881e-01,-3.29731829259527036e-10, 2.12831399003432301e-02,-8.21897536007477214e+01, 4.34294488809842116e-02, 6.76282069570091279e-03, 1.70320610086136403e+04
 9.36429827583057062e+00, 1.11233951748539506e-01, 8.15850758790788063e+02, 1.11235014661129394e-01,-2.54307280229632168e-10, 2.12211110862359151e-02,-8.21891971924371347e+01, 4.34445394711546612e-02, 6.81939249857938749e-03, 1.70320032224243296e+04
 2.00000000000000000e+01, 1.10995559697151594e-01, 8.16624699093564914e+02, 1.10996596672844922e-01,-1.90625329387411775e-10, 2.11345155572420715e-02,-8.21884190546388851e+01, 4.34652185729175397e-02, 6.89845577499295041e-03, 1.70319184144476130e+04
 2.00026434576647247e+01, 1.10995499787017421e-01, 8.16624893766496484e+02, 1.10996536292474357e-01,-1.90604863884999157e-10, 2.11344938139416717e-02,-8.19770381491130138e+01, 5.16450303705123306e-02, 7.23599502336075111e-03, 1.70319183928939492e+04
 2.00052869153294495e+01, 1.10995440370556309e-01, 8.16625088438614057e+02, 1.10996475965183417e-01,-1.90584400579454013e-10, 2.11344722498204018e-02,-8.17657516173346437e+01, 5.98211891442893481e-02, 7.57421411085261887e-03, 1.70319183708370547e+04
 2.00141816423612404e+01, 1.10995244190146544e-01, 8.16625743466734548e+02, 1.10996273762547504e-01,-1.90515562053252429e-10, 2.11344010497840316e-02,-8.10555003405817445e+01, 8.73057877352223927e-02, 8.71724541180268070e-03, 1.70319182928264272e+04
 2.00230763693930314e+01, 1.10995053031781768e-01, 8.16626398486663447e+02, 1.10996073068499110e-01,-1.90446745707933248e-10, 2.11343316725039407e-02,-8.03461274651477879e+01, 1.14756381879626126e-01, 9.86823702703041802e-03, 1.70319182097642079e+04
 2.00319710964248223e+01, 1.10994867350211454e-01, 8.16627053497718521e+02, 1.10995874554345994e-01,-1.90377953322762793e-10, 2.11342642830147816e-02,-7.96376594080510358e+01, 1.42171948150600330e-01, 1.10271170355685458e-02, 1.70319181212387120e+04
 2.00474476510325488e+01, 1.10994557904713798e-01, 8.16628193175198930e+02, 1.10995536457202948e-01,-1.90258315549738717e-10, 2.11341519760356797e-02,-7.84069796037540669e+01, 1.89795488516678545e-01, 1.30624559679715525e-02, 1.70319179538064272e+04
 2.00629242056402752e+01, 1.10994265967064978e-01, 8.16629332824897688e+02, 1.10995209278151583e-01,-1.90138752645690109e-10, 2.11340460234090040e-02,-7.71786911744570432e+01, 2.37326436036178395e-01, 1.51220291108472588e-02, 1.70319177693867096e+04
 2.00871046556386972e+01, 1.10993845444172415e-01, 8.16631113349088196e+02, 1.10994723844638710e-01,-1.89952098606250503e-10, 2.11338934038716175e-02,-7.52638960159235069e+01, 3.11422934310855992e-01, 1.83889892435642292e-02, 1.70319174473623789e+04
 2.01112851056371191e+01, 1.10993469162923977e-01, 8.16632893805213030e+02, 1.10994274532210183e-01,-1.89765627737260209e-10, 2.11337568412642667e-02,-7.33535218617806208e+01, 3.85348165137691434e-01, 2.17168714734793447e-02, 1.70319170843594366e+04
 2.01354655556355411e+01, 1.10993138133816671e-01, 8.16634674193240812e+02, 1.10993865539884745e-01,-1.89579339952661991e-10, 2.11336367021895538e-02,-7.14466565461469543e+01, 4.59137380603832634e-01, 2.51070347128287130e-02, 1.70319166810471615e+04
 2.01596460056339630e+01, 1.10992853330620769e-01, 8.16636454513188596e+02, 1.10993499375733565e-01,-1.89393235047989418e-10, 2.11335333399335218e-02,-6.95425352223157063e+01, 5.32820121240237699e-01, 2.85607341870877211e-02, 1.70319162384504634e+04
 2.01838264556323850e+01, 1.10992615686227633e-01, 8.16638234765081620e+02, 1.10993177534136372e-01,-1.89207312808578598e-10, 2.11334470929601427e-02,-6.76405675594472484e+01, 6.06419161953716590e-01, 3.20790511893696839e-02, 1.70319157580844148e+04
 2.02080069056308069e+01, 1.10992426136894973e-01, 8.16640014948936482e+02, 1.10992901241172323e-01,-1.89021573045088097e-10, 2.11333783009702153e-02,-6.57402840447046231e+01, 6.79952587308872314e-01, 3.56629708519103639e-02, 1.70319152422125990e+04
 2.02321873556292289e+01, 1.10992285645458003e-01, 8.16641795064763755e+02, 1.10992671721417788e-01,-1.88836015576176815e-10, 2.11333273133264728e-02,-6.38412898598827780e+01, 7.53435572995931446e-01, 3.93134566519300829e-02, 1.70319146942538828e+04
 2.02563678056276508e+01, 1.10992195199013224e-01, 8.16643575112575036e+02, 1.10992490168000321e-01,-1.88650640192996408e-10, 2.11332944882140772e-02,-6.19432422006685712e+01, 8.26881259724102091e-01, 4.30314883859612626e-02, 1.70319141193899341e+04
 2.02805482556260728e+01, 1.10992155800243422e-01, 8.16645355092384875e+02, 1.10992357692379459e-01,-1.88465446593847170e-10, 2.11332801894936022e-02,-6.00458322934459972e+01, 9.00301444859156863e-01, 4.68180954139756217e-02, 1.70319135254643552e+04
 2.03047287056244947e+01, 1.10992168464230254e-01, 8.16647135004210668e+02, 1.10992275340947480e-01,-1.88280434190583137e-10, 2.11332847855454815e-02,-5.81487564616933454e+01, 9.73707697126139249e-01, 5.06744161030403123e-02, 1.70319129243058233e+04
 2.03289091556229167e+01, 1.10992234221255051e-01, 8.16648914848070604e+02, 1.10992244139176105e-01,-1.88095601479604271e-10, 2.11333086502879554e-02,-5.62516722877838475e+01, 1.04711304725505139e+00, 5.46017946903612147e-02, 1.70319123336566299e+04
